status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2022-06-27,A,121.83,122.295,119.85,120.57,1805698.0,120.59,121.4
OK,2022-06-28,A,120.45,121.24,116.72,117.06,1426079.0,117.06,122.04
OK,2022-06-29,A,117.19,118.54,116.24,117.9,906648.0,117.9,117.06
OK,2022-06-30,A,116.0,119.95,116.0,118.77,1611981.0,118.43,116.24
OK,2022-07-01,A,118.79,119.76,116.7,119.21,1119770.0,119.21,118.79
OK,2022-07-05,A,117.75,120.675,116.49,120.56,1484902.0,120.56,117.75
OK,2022-07-06,A,120.8,122.34,120.555,121.18,1642289.0,121.18,120.8
OK,2022-07-07,A,120.99,123.22,120.62,123.15,1221228.0,123.15,120.99
OK,2022-07-08,A,120.96,123.21,120.96,122.51,1267400.0,121.54,121.41
OK,2022-07-11,A,121.61,123.46,121.01,123.12,1304407.0,123.12,121.61
OK,2022-07-12,A,122.43,123.41,118.75,119.24,1196763.0,119.24,122.43
OK,2022-07-13,A,117.41,119.7,116.86,118.65,1378011.0,118.46,117.8
OK,2022-07-14,A,117.1,117.73,113.02,115.88,1347360.0,116.0,117.8
OK,2022-07-15,A,117.78,118.88,116.0,118.83,969438.0,118.83,115.8
OK,2022-07-18,A,118.95,119.39,114.46,115.11,1178166.0,115.11,119.6
OK,2022-07-19,A,116.99,119.34,116.37,119.06,1296959.0,119.06,116.99
OK,2022-07-20,A,119.93,121.21,119.25,119.86,1316597.0,119.86,119.59
OK,2022-07-21,A,122.12,127.34,122.12,127.19,1682559.0,126.25,120.0
OK,2022-07-22,A,127.41,128.5399,124.31,125.04,1079466.0,125.04,127.13
OK,2022-07-25,A,125.05,125.41,123.19,124.26,1044007.0,124.26,124.74
OK,2022-07-26,A,124.66,125.63,123.37,125.17,1259957.0,125.17,124.0
OK,2022-07-27,A,125.04,128.33,124.71,127.71,1395945.0,127.56,124.61
OK,2022-07-28,A,128.17,131.825,126.78,131.11,1861392.0,131.75,128.0
OK,2022-07-29,A,131.27,134.5,130.9,134.1,2214917.0,134.1,131.27
OK,2022-08-01,A,133.51,135.23,133.26,133.43,1081837.0,133.8,133.51
OK,2022-08-02,A,132.41,134.68,131.09,131.28,1398687.0,131.0,132.21
OK,2022-08-03,A,133.45,135.26,133.02,134.56,2113206.0,134.56,132.64
OK,2022-08-04,A,134.69,135.0,132.74,133.77,895554.0,133.77,134.69
OK,2022-08-05,A,132.27,133.84,131.75,133.61,675823.0,133.61,132.27
OK,2022-08-08,A,134.2,134.42,132.14,132.52,1257078.0,132.52,134.2
OK,2022-08-09,A,132.5,132.5,128.02,128.88,894724.0,128.88,132.5
OK,2022-08-10,A,131.37,132.77,130.15,132.58,1022142.0,132.05,130.4
OK,2022-08-11,A,132.91,135.13,131.59,131.95,1162499.0,130.9999,133.0
OK,2022-08-12,A,132.26,133.63,131.43,133.55,865778.0,133.55,131.65
OK,2022-08-15,A,133.28,134.62,132.67,133.9,1291166.0,133.9,133.2
OK,2022-08-16,A,132.89,133.42,131.66,132.77,1809979.0,141.5,134.15
OK,2022-08-17,A,148.84,149.0,140.03,142.29,4110051.0,142.29,140.25
OK,2022-08-18,A,141.88,141.9632,138.76,139.97,1740337.0,139.97,142.3
OK,2022-08-19,A,139.35,139.73,137.26,137.62,1477480.0,137.62,139.7
OK,2022-08-22,A,135.3,136.03,133.56,133.94,1250729.0,133.99,135.1852
OK,2022-08-23,A,133.11,134.105,132.044,132.64,1188279.0,132.64,133.89
OK,2022-08-24,A,133.02,134.54,132.65,133.67,1020493.0,134.15,133.02
OK,2022-08-25,A,135.3,136.08,133.99,136.01,969054.0,135.5301,135.8
OK,2022-08-26,A,136.0,136.05,129.78,129.87,1252797.0,129.87,136.0
OK,2022-08-29,A,128.43,129.35,127.18,128.11,926015.0,128.33,128.43
OK,2022-08-30,A,128.51,129.019,127.155,128.28,1772371.0,128.2,130.36
OK,2022-08-31,A,129.38,130.23,128.0,128.25,1890926.0,127.05,129.38
OK,2022-09-01,A,127.63,129.11,126.21,128.93,1282033.0,128.61,127.63
OK,2022-09-02,A,129.79,130.27,127.12,128.01,1695916.0,128.01,129.79
OK,2022-09-06,A,129.38,130.57,127.72,129.3,1533541.0,129.3,130.1
OK,2022-09-07,A,128.97,131.825,128.61,131.43,1254602.0,131.43,128.97
OK,2022-09-08,A,130.93,135.27,130.705,135.19,1355167.0,135.19,130.93
OK,2022-09-09,A,135.98,137.92,135.43,137.63,2425230.0,137.63,135.98
OK,2022-09-12,A,137.53,140.0,137.23,139.87,1851144.0,140.0,137.71
OK,2022-09-13,A,136.32,137.41,133.44,133.54,1586967.0,133.54,140.37
OK,2022-09-14,A,133.8,135.36,132.095,133.25,1577007.0,133.5,133.8
OK,2022-09-15,A,133.81,135.51,132.655,133.16,1446479.0,133.16,134.0
OK,2022-09-16,A,132.12,132.13,128.28,129.89,2300604.0,129.89,132.2
OK,2022-09-19,A,128.79,130.79,128.36,130.72,1059566.0,130.5,128.79
OK,2022-09-20,A,129.1,129.605,126.82,128.14,1274706.0,128.0,129.1
OK,2022-09-21,A,128.73,130.575,126.325,126.48,1105658.0,126.48,128.73
OK,2022-09-22,A,125.55,126.04,123.7628,124.39,1378618.0,124.39,125.55
OK,2022-09-23,A,123.73,124.43,121.44,123.48,1481866.0,123.49,123.23
OK,2022-09-26,A,123.18,124.25,121.63,122.31,1733060.0,122.31,123.18
OK,2022-09-27,A,123.87,124.07,120.6,121.61,1040450.0,121.61,123.87
OK,2022-09-28,A,122.77,124.43,121.6,123.72,1361213.0,123.72,122.77
OK,2022-10-03,A,122.73,127.3,121.68,126.38,1343211.0,126.38,122.73
OK,2022-10-04,A,128.79,131.56,128.575,131.41,1647799.0,131.41,128.79
OK,2022-10-05,A,129.99,133.53,129.5,132.64,1567683.0,132.64,129.99
OK,2022-10-06,A,132.3,133.82,131.6,132.18,1218384.0,132.18,132.3
OK,2022-10-07,A,130.45,130.93,126.96,127.44,1154691.0,127.44,130.45
OK,2022-10-10,A,128.05,128.05,124.31,125.95,1246005.0,125.95,128.05
OK,2022-10-11,A,125.0,127.89,124.16,125.64,1985348.0,125.64,125.0
OK,2022-10-12,A,126.2,127.1,125.27,125.69,1069633.0,125.69,126.2
OK,2022-10-13,A,123.0,128.83,122.35,127.9,1553552.0,127.9,124.33
OK,2022-10-14,A,129.0,130.22,125.47,125.7,1217213.0,125.7,129.0
OK,2022-10-17,A,127.38,131.09,127.38,130.56,1197928.0,130.56,127.51
OK,2022-10-18,A,133.92,134.675,131.2,132.3,1038147.0,132.82,133.92
OK,2022-10-19,A,130.11,130.27,127.235,128.96,1033987.0,128.96,132.46
OK,2022-10-20,A,127.83,129.74,125.61,125.94,1897350.0,125.72,127.83
OK,2022-10-21,A,126.37,130.125,124.82,129.88,1067047.0,129.88,125.75
OK,2022-10-24,A,131.13,133.13,129.805,132.3,1045328.0,132.3,131.13
OK,2022-10-25,A,132.3,135.095,132.3,134.5,1205999.0,134.5,132.3
OK,2022-10-26,A,134.43,139.31,134.0,137.69,1381919.0,137.69,134.43
OK,2022-10-27,A,137.26,137.99,135.33,136.49,930704.0,136.49,137.26
OK,2022-10-28,A,136.38,139.1218,135.02,138.77,901955.0,138.74,135.96
OK,2022-10-31,A,137.69,138.93,137.35,138.35,1307634.0,138.35,137.69
OK,2022-11-01,A,139.5,141.35,138.06,140.89,1182851.0,140.89,139.5
OK,2022-11-02,A,140.61,140.94,135.21,135.27,1806134.0,135.27,140.48
OK,2022-11-03,A,133.77,135.865,130.66,134.46,1199461.0,134.46,133.77
OK,2022-11-04,A,135.65,137.005,133.11,136.08,1272088.0,136.08,139.3253
OK,2022-11-07,A,136.85,138.08,135.56,138.03,1213652.0,138.03,136.85
OK,2022-11-08,A,138.5,140.685,136.6,138.75,1028120.0,138.75,138.5
OK,2022-11-09,A,138.31,139.42,136.66,137.0,971246.0,137.0,138.31
OK,2022-11-10,A,142.87,146.72,142.53,146.3,1591960.0,146.3,141.98
OK,2022-11-11,A,147.12,149.74,146.35,148.31,1227498.0,148.31,147.43
OK,2022-11-14,A,149.01,149.71,146.3,146.38,1206578.0,146.38,148.31
OK,2022-11-15,A,148.27,149.46,146.495,148.0,1299334.0,148.0,148.27
OK,2022-11-16,A,148.19,148.75,146.35,147.12,1476733.0,147.12,148.19
OK,2022-11-17,A,145.33,145.56,142.16,144.44,1465186.0,144.44,145.33
OK,2022-11-18,A,146.68,147.955,144.15,146.19,1283616.0,146.2,146.63
OK,2022-11-21,A,145.62,147.16,144.43,145.14,1691900.0,151.5,146.19
OK,2022-11-22,A,151.98,157.44,151.98,156.86,3512716.0,157.0,151.28
OK,2022-11-23,A,156.67,157.28,154.35,155.35,1444152.0,155.37,156.52
OK,2022-11-25,A,155.09,156.96,154.71,156.96,642657.0,156.96,155.35
OK,2022-11-28,A,155.87,156.85,151.73,152.3,1386282.0,152.3,156.5
OK,2022-11-29,A,151.88,152.9,150.49,150.94,954556.0,150.94,151.88
OK,2022-11-30,A,151.38,154.98,149.1,154.98,2867702.0,154.98,151.38
OK,2022-12-01,A,156.73,156.99,154.42,156.12,1372400.0,156.2,156.73
OK,2022-12-02,A,153.97,156.73,153.59,155.67,1183218.0,155.67,153.97
OK,2022-12-05,A,153.84,153.89,151.25,152.7,1124725.0,152.7,153.84
OK,2022-12-06,A,152.15,153.0,149.91,151.35,1172286.0,151.35,152.15
OK,2022-12-07,A,151.23,154.355,151.13,153.73,1011085.0,153.73,151.23
OK,2022-12-08,A,154.42,156.99,153.4832,156.28,1289903.0,156.28,154.42
OK,2022-12-12,A,154.01,155.98,153.43,155.33,1071384.0,155.063775,154.01
OK,2022-12-13,A,159.2,160.265,156.76,157.66,1534443.0,157.5,159.0
OK,2022-12-14,A,157.26,158.44,154.16,154.81,1344449.0,154.81,157.26
OK,2022-12-16,A,149.61,149.95,147.905,149.3,2436691.0,149.3,149.61
OK,2022-12-19,A,148.91,149.13,146.24,146.95,1277354.0,146.95,148.96
OK,2022-12-20,A,147.27,149.175,145.88,147.93,1548169.0,147.93,147.61
OK,2022-12-21,A,148.94,150.27,147.89,150.09,1248131.0,150.09,148.94
OK,2022-12-22,A,148.41,149.19,146.61,149.01,1166795.0,149.01,148.41
OK,2022-12-23,A,149.01,150.25,148.22,149.23,779426.0,149.23,149.01
OK,2022-12-27,A,149.23,149.81,147.3,149.55,879543.0,149.55,149.23
OK,2022-12-28,A,149.78,151.37,147.64,148.09,784312.0,148.09,149.78
