status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2023-06-12,AACT,10.1,10.15,10.1,10.12,603102.0,10.2,10.1
OK,2023-06-16,AACT,10.12,10.12,10.11,10.11,250958.0,10.11,10.12
OK,2023-06-20,AACT,10.13,10.13,10.11,10.12,102816.0,10.12,10.13
OK,2023-06-21,AACT,10.13,10.13,10.12,10.12,8195.0,10.12,10.13
OK,2023-06-26,AACT,10.14,10.1703,10.13,10.1401,15478.0,10.1401,10.14
OK,2023-06-27,AACT,10.14,10.16,10.14,10.15,225169.0,10.16,10.14
OK,2023-06-28,AACT,10.16,10.1601,10.16,10.1601,93524.0,10.1601,10.16
OK,2023-06-29,AACT,10.19,10.19,10.15,10.16,155297.0,10.16,10.19
OK,2023-06-30,AACT,10.17,10.17,10.155,10.155,5184.0,10.155,10.17
OK,2023-07-05,AACT,10.15,10.17,10.15,10.17,2256.0,10.17,10.15
OK,2023-07-06,AACT,10.16,10.18,10.16,10.18,5181.0,10.18,10.16
OK,2023-07-07,AACT,10.17,10.175,10.17,10.17,17958.0,10.17,10.17
OK,2023-07-10,AACT,10.15,10.17,10.15,10.15,57522.0,10.15,10.15
OK,2023-07-11,AACT,10.15,10.17,10.15,10.16,54054.0,10.16,10.15
OK,2023-07-14,AACT,10.17,10.17,10.1663,10.1663,1511.0,10.1663,10.17
OK,2023-07-17,AACT,10.165,10.17,10.16,10.16,13460.0,10.16,10.165
OK,2023-07-19,AACT,10.16,10.16,10.16,10.16,10110.0,10.16,10.16
OK,2023-07-20,AACT,10.17,10.17,10.165,10.17,11039.0,10.17,10.17
OK,2023-07-25,AACT,10.17,10.19,10.17,10.19,82398.0,10.19,10.17
OK,2023-07-26,AACT,10.19,10.19,10.17,10.19,59951.0,10.19,10.19
OK,2023-07-27,AACT,10.17,10.19,10.17,10.19,3508.0,10.19,11.99
OK,2023-07-28,AACT,10.19,10.19,10.17,10.18,83518.0,10.18,12.08
OK,2023-07-31,AACT,10.17,10.19,10.17,10.19,3851.0,10.19,10.17
OK,2023-08-04,AACT,10.18,10.18,10.18,10.18,231949.0,10.18,10.18
OK,2023-08-08,AACT,10.18,10.2,10.18,10.2,58680.0,10.2,10.18
OK,2023-08-09,AACT,10.19,10.19,10.19,10.19,48516.0,10.19,10.19
OK,2023-08-14,AACT,10.2001,10.2001,10.2001,10.2001,400.0,10.2001,10.2001
OK,2023-08-16,AACT,10.23,10.23,10.21,10.21,203.0,10.21,10.23
OK,2023-08-17,AACT,10.23,10.24,10.2001,10.2001,599.0,10.2001,10.23
OK,2023-08-18,AACT,10.21,10.21,10.21,10.21,246.0,10.21,10.21
OK,2023-08-23,AACT,10.24,10.24,10.2,10.2,54216.0,10.2,10.24
OK,2023-08-25,AACT,10.2,10.23,10.19,10.22,3901348.0,10.22,10.2
OK,2023-08-28,AACT,10.21,10.22,10.21,10.21,874997.0,10.21,10.24
OK,2023-08-29,AACT,10.21,10.21,10.21,10.21,50002.0,10.21,10.21
OK,2023-09-01,AACT,10.23,10.24,10.23,10.24,550279.0,10.24,10.23
OK,2023-09-05,AACT,10.24,10.24,10.23,10.23,39055.0,10.23,10.24
OK,2023-09-06,AACT,10.23,10.24,10.23,10.23,45580.0,10.23,10.23
OK,2023-09-07,AACT,10.23,10.23,10.23,10.23,281152.0,10.23,10.23
OK,2023-09-15,AACT,10.24,10.25,10.24,10.25,14040.0,10.25,10.24
OK,2023-09-18,AACT,10.25,10.37,10.25,10.27,23034.0,10.27,10.25
OK,2023-09-21,AACT,10.2699,10.2699,10.265,10.265,1308.0,10.265,10.2699
OK,2023-09-22,AACT,10.26,10.265,10.26,10.26,104531.0,10.26,10.26
OK,2023-09-25,AACT,10.26,10.27,10.26,10.27,144002.0,10.27,10.26
OK,2023-09-26,AACT,10.26,10.27,10.26,10.26,33413.0,10.26,10.26
OK,2023-09-27,AACT,10.27,10.27,10.27,10.27,260094.0,10.27,10.26
OK,2023-10-02,AACT,10.28,10.28,10.265,10.27,17003.0,10.28,10.28
OK,2023-10-03,AACT,10.28,10.28,10.27,10.27,11740.0,10.27,10.28
OK,2023-10-04,AACT,10.3,10.3,10.275,10.275,4992.0,10.275,10.3
OK,2023-10-05,AACT,10.28,10.2807,10.28,10.28,11456.0,10.28,10.28
OK,2023-10-11,AACT,10.28,10.28,10.28,10.28,40730.0,10.28,10.28
OK,2023-10-12,AACT,10.2801,10.2833,10.28,10.2833,1919.0,10.2833,10.2801
OK,2023-10-13,AACT,10.29,10.29,10.29,10.29,22026.0,10.29,10.29
OK,2023-10-16,AACT,10.3,10.3,10.29,10.29,128759.0,10.29,10.3
OK,2023-10-17,AACT,10.29,10.3002,10.29,10.3,8916.0,10.3,10.29
OK,2023-10-20,AACT,10.29,10.3,10.2798,10.28,647555.0,10.28,10.29
OK,2023-10-23,AACT,10.295,10.31,10.28,10.31,178590.0,10.31,10.295
OK,2023-10-24,AACT,10.3,10.31,10.29,10.29,11071.0,10.29,10.3
OK,2023-10-25,AACT,10.29,10.3,10.29,10.29,1180.0,10.29,10.29
OK,2023-10-26,AACT,10.31,10.31,10.29,10.29,2301.0,10.29,10.31
OK,2023-11-06,AACT,10.32,10.3201,10.32,10.3201,3860.0,10.35,10.32
OK,2023-11-09,AACT,10.3202,10.3215,10.3202,10.3215,1860.0,10.3215,10.3202
