status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2022-06-27,AADI,12.29,12.615,11.96,12.1,165222.0,12.1,12.29
OK,2022-06-28,AADI,12.08,12.33,11.72,11.92,479875.0,11.92,12.08
OK,2022-07-01,AADI,12.36,12.85,12.26,12.77,58956.0,12.77,12.36
OK,2022-07-05,AADI,12.64,13.46,12.64,13.43,153439.0,13.43,12.64
OK,2022-07-06,AADI,13.5,14.1,13.305,13.45,114804.0,13.45,13.5
OK,2022-07-07,AADI,13.54,14.0,13.54,13.7,73687.0,13.7,13.54
OK,2022-07-12,AADI,13.4,13.4,12.66,12.95,68029.0,12.95,13.4
OK,2022-07-13,AADI,12.69,13.4,12.655,12.9,98577.0,12.9,12.69
OK,2022-07-14,AADI,12.77,13.02,12.6,12.77,64159.0,12.77,12.77
OK,2022-07-15,AADI,13.0,13.0,12.45,12.86,45030.0,12.86,13.0
OK,2022-07-18,AADI,12.97,13.2,12.09,12.15,61009.0,12.15,12.97
OK,2022-07-22,AADI,12.85,12.93,12.5,12.77,98198.0,12.77,12.85
OK,2022-07-25,AADI,12.7,13.01,12.41,12.85,341666.0,12.85,12.7
OK,2022-07-26,AADI,12.71,13.04,12.71,12.82,96802.0,12.82,12.71
OK,2022-07-27,AADI,13.07,13.1,12.8,13.0,235697.0,13.0,13.07
OK,2022-08-01,AADI,12.1552,12.74,12.01,12.43,220546.0,12.43,12.1552
OK,2022-08-02,AADI,12.36,13.47,12.36,13.43,198124.0,13.43,12.36
OK,2022-08-03,AADI,13.56,14.19,13.31,13.52,86025.0,13.52,13.56
OK,2022-08-04,AADI,13.62,14.26,13.62,14.11,117008.0,14.11,13.62
OK,2022-08-05,AADI,13.96,14.35,13.78,14.2,83472.0,14.2,13.96
OK,2022-08-12,AADI,13.26,13.98,13.19,13.95,129866.0,13.95,13.26
OK,2022-08-15,AADI,13.92,14.1,13.25,13.97,155029.0,13.97,13.92
OK,2022-08-16,AADI,13.97,14.07,13.45,13.48,69891.0,13.48,13.97
OK,2022-08-19,AADI,13.03,13.39,12.72,12.96,121009.0,12.96,13.03
OK,2022-08-22,AADI,12.68,13.18,12.68,12.86,113030.0,12.86,12.54
OK,2022-08-23,AADI,12.89,13.35,12.885,13.3,130217.0,13.3,12.89
OK,2022-08-24,AADI,13.24,13.98,13.155,13.77,70603.0,13.77,13.24
OK,2022-08-25,AADI,13.94,13.94,13.23,13.53,104827.0,13.53,13.94
OK,2022-08-31,AADI,13.16,13.57,13.09,13.55,105893.0,13.85,13.16
OK,2022-09-01,AADI,13.52,13.725,13.29,13.57,96864.0,13.57,13.52
OK,2022-09-02,AADI,13.83,13.83,13.3032,13.46,129512.0,13.46,13.83
OK,2022-09-08,AADI,13.0,13.12,12.65,12.87,82560.0,12.87,13.0
OK,2022-09-09,AADI,12.91,13.09,12.37,12.54,66323.0,12.54,12.91
OK,2022-09-12,AADI,12.64,12.64,11.76,12.41,128705.0,12.41,12.64
OK,2022-09-13,AADI,12.1,12.2,11.78,12.03,211583.0,12.03,12.1
OK,2022-09-14,AADI,12.08,12.26,11.66,12.24,186721.0,12.24,12.08
OK,2022-09-19,AADI,12.38,12.765,12.13,12.7,145922.0,12.7,12.38
