status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2023-12-18,AAGR,0.572,0.583,0.456,0.4887,819947.0,0.4795,0.6001
OK,2023-12-19,AAGR,0.4611,0.95,0.458,0.77,11649903.0,0.76,0.49
OK,2023-12-20,AAGR,0.6962,1.15,0.65,0.9927,6273859.0,0.9778,0.76
OK,2023-12-21,AAGR,0.9999,1.25,0.93,1.08,3405270.0,1.0399,0.9573
OK,2023-12-22,AAGR,1.08,1.21,0.953,1.04,1391459.0,1.06,1.04
OK,2024-01-05,AAGR,1.14,1.16,1.0,1.04,358419.0,1.02,1.15
OK,2024-01-08,AAGR,1.06,1.07,0.96,1.0,272969.0,1.0,1.02
OK,2024-01-09,AAGR,1.05,1.05,0.97,1.0,184648.0,0.98,1.02
OK,2024-01-10,AAGR,1.02,1.02,0.7902,0.8999,831393.0,0.8701,1.0
OK,2024-01-11,AAGR,0.875,0.9,0.7957,0.8596,712379.0,0.85,0.9
OK,2024-01-25,AAGR,0.9293,0.978,0.87,0.94,104658.0,0.92,0.95
OK,2024-01-26,AAGR,0.93,0.9674,0.9,0.94,62734.0,0.93,0.94
OK,2024-01-29,AAGR,0.94,1.09,0.93,1.09,162743.0,1.04,0.881
OK,2024-01-30,AAGR,1.1,1.13,1.01,1.12,235635.0,1.13,1.1
OK,2024-01-31,AAGR,1.119,1.12,0.96,1.05,203992.0,1.05,1.15
OK,2024-02-14,AAGR,0.94,0.94,0.801,0.87,146106.0,0.884,0.87
OK,2024-02-15,AAGR,0.91,0.91,0.811,0.83,67742.0,0.821,0.8701
OK,2024-02-16,AAGR,0.825,0.8482,0.761,0.829,91424.0,0.801,0.825
OK,2024-02-20,AAGR,0.8002,0.8499,0.7712,0.8,134695.0,0.833,0.8002
OK,2024-02-23,AAGR,0.7991,0.839,0.7151,0.763,200168.0,0.7513,0.7991
OK,2024-02-26,AAGR,0.7401,0.75,0.7101,0.75,181821.0,0.75,0.75
OK,2024-02-27,AAGR,0.75,0.75,0.7,0.746,86153.0,0.7283,0.75
OK,2024-02-28,AAGR,0.75,0.75,0.676,0.7125,107317.0,0.71,0.8476
OK,2024-02-29,AAGR,0.7017,0.75,0.6601,0.7,76138.0,0.735,0.71
OK,2024-03-14,AAGR,0.48,0.55,0.47,0.51,546774.0,0.5099,0.5007
OK,2024-03-15,AAGR,0.51,0.51,0.4301,0.4465,581177.0,0.4465,0.488
OK,2024-03-18,AAGR,0.48,0.5,0.4493,0.4792,76107.0,0.4792,0.41
OK,2024-03-19,AAGR,0.4764,0.4764,0.43105,0.4499,97755.0,0.431,0.4851
OK,2024-03-20,AAGR,0.4401,0.469,0.413,0.425,207979.0,0.42,0.4401
OK,2024-04-03,AAGR,0.309,0.3196,0.2901,0.2999,108451.0,0.3158,0.296
OK,2024-04-04,AAGR,0.3143,0.316136,0.291,0.3,74662.0,0.3,0.3088
OK,2024-04-05,AAGR,0.291,0.3125,0.291,0.3039,89353.0,0.3074,0.3
OK,2024-04-08,AAGR,0.31,0.3561,0.3074,0.3495,631973.0,0.3499,0.3166
OK,2024-04-09,AAGR,0.3557,0.4498,0.35,0.4498,600725.0,0.47,0.3479
OK,2024-04-23,AAGR,0.325,0.3847,0.315549,0.35,254598.0,0.35,0.336
OK,2024-04-24,AAGR,0.3399,0.45,0.3305,0.3999,360606.0,0.389,0.35
OK,2024-04-25,AAGR,0.42,0.42,0.351,0.3559,195369.0,0.36,0.4298
OK,2024-04-26,AAGR,0.365,0.3699,0.3,0.33,213526.0,0.32,0.3709
OK,2024-04-29,AAGR,0.3299,0.3466,0.3299,0.3379,112988.0,0.325,0.33
OK,2024-05-02,AAGR,0.3781,0.4001,0.3553,0.373,108865.0,0.3787,0.3781
OK,2024-05-03,AAGR,0.3605,0.373,0.33,0.349,90695.0,0.3492,0.3605
OK,2024-05-13,AAGR,0.41895,0.41895,0.371,0.402,56503.0,0.385,0.41
OK,2024-05-14,AAGR,0.357,0.3966,0.357,0.3756,90423.0,0.3756,0.3966
OK,2024-05-15,AAGR,0.3625,0.4081,0.351301,0.3751,28826.0,0.37,0.3625
OK,2024-05-16,AAGR,0.38,0.384,0.3675,0.3839,33195.0,0.378,0.38
OK,2024-05-17,AAGR,0.38,0.3898,0.36,0.37,55498.0,0.3696,0.381
OK,2024-05-22,AAGR,0.359,0.3879,0.34,0.36,202702.0,0.341999,0.359
OK,2024-05-31,AAGR,0.3969,0.397,0.3728,0.3828,34032.0,0.3828,0.4046
OK,2024-06-03,AAGR,0.399,0.399,0.3609,0.3799,80779.0,0.381,0.39
OK,2024-06-04,AAGR,0.367,0.3799,0.3401,0.37,47091.0,0.37,0.3938
OK,2024-06-05,AAGR,0.3549,0.3699,0.3549,0.3649,16492.0,0.3686,0.3549
OK,2024-06-06,AAGR,0.374,0.378,0.3445,0.3499,45039.0,0.3499,0.374
OK,2024-06-20,AAGR,0.35,0.35,0.2501,0.2904,237307.0,0.2986,0.3425
OK,2024-06-21,AAGR,0.3135,0.3135,0.2351,0.2573,404023.0,0.267,0.2853
OK,2024-06-24,AAGR,0.256,0.279,0.244101,0.2491,252117.0,0.2491,0.2677
