status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2022-06-27,AAL,13.955,13.96,13.38,13.56,26086239.0,13.59,14.0
OK,2022-06-30,AAL,12.6,12.8799,12.25,12.68,37521383.0,12.72,12.91
OK,2022-07-11,AAL,13.82,13.97,13.31,13.43,25215301.0,13.42,13.78
OK,2022-07-12,AAL,13.63,15.04,13.56,14.77,74980053.0,14.85,13.37
OK,2022-07-13,AAL,14.04,14.44,13.7,14.31,45289766.0,14.22,14.85
OK,2022-07-14,AAL,14.18,14.87,14.045,14.25,39441412.0,14.32,14.19
OK,2022-07-15,AAL,14.485,14.56,14.05,14.47,30181951.0,14.48,14.34
OK,2022-07-22,AAL,14.105,14.28,13.63,13.68,38342367.0,13.69,14.05
OK,2022-07-25,AAL,13.62,13.8,13.3031,13.75,28368493.0,13.66,13.69
OK,2022-07-26,AAL,13.52,13.65,13.35,13.43,23978120.0,13.55,13.5
OK,2022-07-29,AAL,13.59,13.915,13.49,13.71,26238206.0,13.65,13.76
OK,2022-08-01,AAL,13.67,14.32,13.515,14.28,32730815.0,14.22,13.8
OK,2022-08-02,AAL,14.05,14.4,13.899,14.06,27439970.0,14.12,14.08
OK,2022-08-03,AAL,14.2,14.7,14.15,14.63,28366546.0,14.51,14.13
OK,2022-08-04,AAL,14.53,14.97,14.51,14.86,27102862.0,14.86,14.6
OK,2022-08-15,AAL,15.27,15.55,15.25,15.33,18364004.0,15.31,15.23
OK,2022-08-18,AAL,14.98,15.02,14.725,14.84,19271215.0,14.83,14.94
OK,2022-08-19,AAL,14.5,14.57,13.96,14.17,31593327.0,14.07,14.8
OK,2022-08-22,AAL,13.78,13.92,13.61,13.71,25120706.0,13.81,14.1
OK,2022-08-23,AAL,13.78,13.925,13.59,13.82,25500102.0,13.85,13.77
OK,2022-08-24,AAL,13.84,14.05,13.77,13.99,17825078.0,14.0,13.82
OK,2022-08-29,AAL,13.51,13.7094,13.45,13.51,21391167.0,13.58,13.7
OK,2022-08-30,AAL,13.61,13.68,13.2,13.33,25076791.0,13.34,13.5
OK,2022-08-31,AAL,13.49,13.53,12.96,12.99,27923806.0,12.92,13.38
OK,2022-09-01,AAL,12.87,12.95,12.5,12.93,29871188.0,12.97,12.9
OK,2022-09-02,AAL,13.145,13.35,12.865,12.99,26922500.0,13.03,12.9
OK,2022-09-16,AAL,13.94,14.0207,13.62,13.75,27318978.0,13.78,14.0
OK,2022-09-19,AAL,13.6,14.2999,13.6,14.21,25403161.0,14.2,13.63
OK,2022-09-20,AAL,14.2,14.33,13.69,13.97,31083423.0,13.96,14.18
OK,2022-09-21,AAL,13.85,13.85,13.23,13.23,40988737.0,13.22,13.9
OK,2022-09-22,AAL,13.3,13.33,12.52,12.71,44037574.0,12.72,13.29
OK,2022-10-03,AAL,12.02,12.23,11.6514,11.92,41156749.0,11.97,12.05
OK,2022-10-06,AAL,12.77,13.0,12.4,12.73,31569282.0,12.68,12.87
OK,2022-10-07,AAL,12.5,12.54,11.945,12.18,37297665.0,12.14,12.67
OK,2022-10-10,AAL,12.2,12.32,11.86,12.05,29602582.0,12.07,12.25
OK,2022-10-11,AAL,12.74,12.855,11.79,12.26,64438050.0,12.26,12.0
OK,2022-10-12,AAL,12.21,12.83,11.975,12.7,40359164.0,12.8,12.3
OK,2022-10-17,AAL,13.53,13.585,12.92,13.2,39973756.0,13.28,13.18
OK,2022-10-18,AAL,13.57,13.88,13.46,13.7,38762392.0,14.2,13.35
OK,2022-10-19,AAL,13.98,14.28,13.72,13.99,55466449.0,14.11,14.09
OK,2022-10-20,AAL,13.95,14.27,13.425,13.46,58239740.0,13.41,13.77
OK,2022-10-21,AAL,13.36,13.865,13.21,13.71,36759998.0,13.74,13.31
OK,2022-10-26,AAL,14.14,14.44,13.9901,14.0,28326142.0,14.01,14.0
