status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2022-07-08,AAME,2.96,3.16,2.89,3.06,3935,3.06,2.96
OK,2022-07-11,AAME,3.11,3.2,2.99,3.13,15111,3.13,3.08
OK,2022-07-12,AAME,3.1,3.18,3.02,3.11,3635,3.11,3.1
OK,2022-07-13,AAME,2.78,3.04,2.7501,3.02,4558,3.02,2.78
OK,2022-07-14,AAME,3.05,3.05,2.8801,2.8801,2125,2.8801,3.05
OK,2022-07-19,AAME,2.9,2.91,2.72,2.73,2152,2.84,2.9
OK,2022-07-20,AAME,2.78,2.8,2.6642,2.76,1751,2.76,2.78
OK,2022-07-28,AAME,2.76,2.83,2.6,2.83,7585,2.83,2.76
OK,2022-07-29,AAME,2.62,2.94,2.62,2.92,5862,2.92,2.62
OK,2022-08-01,AAME,2.98,2.98,2.74,2.91,6946,2.91,2.98
OK,2022-08-02,AAME,2.83,2.884,2.7917,2.7917,4042,2.7917,2.83
OK,2022-08-03,AAME,2.97,2.99,2.8135,2.925,2977,2.925,2.97
OK,2022-08-08,AAME,3.0,3.0,2.81,2.93,1988,2.93,3.0
OK,2022-08-17,AAME,2.97,3.18,2.97,3.06,15653,3.06,2.97
OK,2022-08-18,AAME,3.01,3.17,3.0,3.1201,6010,3.1201,3.01
OK,2022-08-19,AAME,3.16,3.16,2.81,2.86,58312,2.89,3.16
OK,2022-08-22,AAME,2.9,3.1,2.85,3.1,10116,3.1,2.9
OK,2022-08-23,AAME,3.1,3.1,3.0191,3.0191,1796,3.0191,3.1
OK,2022-08-26,AAME,3.08,3.09,2.96,3.07,9006,3.07,3.08
OK,2022-09-01,AAME,3.05,3.05,2.86,2.97,5090,2.97,3.05
OK,2022-09-06,AAME,3.03,3.04,2.92,2.98,3540,2.98,3.38
OK,2022-09-07,AAME,2.82,3.04,2.82,2.99,3912,2.99,2.82
OK,2022-09-08,AAME,2.81,3.03,2.81,2.93,2158,2.93,2.81
OK,2022-09-09,AAME,2.86,3.05,2.86,3.03,2797,3.03,2.86
OK,2022-09-12,AAME,3.01,3.06,2.95,2.95,11121,3.01,3.01
OK,2022-09-16,AAME,3.04,3.08,2.99,2.99,3665,3.04,3.04
OK,2022-09-19,AAME,3.04,3.065,3.035,3.035,1411,3.035,3.04
OK,2022-09-20,AAME,3.12,3.15,2.88,3.09,15268,3.09,3.0
OK,2022-09-21,AAME,3.06,3.1,2.9415,3.09,2198,3.09,3.06
OK,2022-09-26,AAME,2.85,3.11,2.85,3.04,2568,3.04,2.75
OK,2022-09-27,AAME,2.85,3.04,2.85,2.95,4111,2.95,2.85
OK,2022-09-28,AAME,2.87,3.01,2.87,2.88,1511,3.01,2.87
OK,2022-09-29,AAME,2.925,2.98,2.85,2.98,2379,2.98,2.925
OK,2022-09-30,AAME,2.98,2.98,2.86,2.86,1939,2.95,2.98
OK,2022-10-05,AAME,2.83,2.83,2.8,2.8,993,2.81,2.83
OK,2022-10-14,AAME,2.92,2.92,2.76,2.77,820,2.77,2.92
OK,2022-10-17,AAME,2.85,2.85,2.7,2.7,2689,2.74,2.85
OK,2022-10-18,AAME,2.7708,2.855,2.75,2.75,1460,2.75,2.7708
OK,2022-10-19,AAME,2.85,2.85,2.7,2.7,3376,2.745,2.85
OK,2022-10-20,AAME,2.7,2.76,2.7,2.76,1206,2.75,2.7
OK,2022-11-03,AAME,3.02,3.04,2.84,2.886,1060,2.886,3.02
OK,2022-11-04,AAME,3.02,3.03,3.01,3.03,894,3.03,3.02
OK,2022-11-07,AAME,3.08,3.13,2.8887,2.9,3678,2.9,2.86
OK,2022-11-08,AAME,3.13,3.13,2.88,2.88,814,2.88,3.13
OK,2022-11-09,AAME,3.03,3.03,2.86,2.93,4100,2.93,3.03
OK,2022-11-14,AAME,3.12,3.12,2.88,3.0399,2752,2.84,3.12
OK,2022-11-15,AAME,3.05,3.14,2.96,2.96,5755,2.96,3.05
OK,2022-11-23,AAME,2.9799,2.9799,2.9799,2.9799,383,2.9799,2.9799
OK,2022-11-25,AAME,2.87,2.9125,2.84,2.9125,1027,2.9125,2.87
OK,2022-11-28,AAME,2.89,2.89,2.77,2.82,1709,2.82,2.89
OK,2022-11-29,AAME,2.88,2.88,2.825,2.825,1201,2.825,2.88
OK,2022-12-02,AAME,2.89,2.89,2.89,2.89,464,2.89,2.89
OK,2022-12-05,AAME,2.87,2.87,2.75,2.75,9068,2.75,2.87
OK,2022-12-06,AAME,2.7,2.7,2.6601,2.6601,2702,2.6601,2.7
OK,2022-12-13,AAME,2.5,2.67,2.5,2.67,8449,2.67,2.5
OK,2022-12-14,AAME,2.51,2.51,2.41,2.41,3447,2.4951,2.51
OK,2022-12-15,AAME,2.42,2.46,2.41,2.4139,5383,2.4139,2.42
OK,2022-12-16,AAME,2.46,2.6074,2.44,2.59,9673,2.56,2.46
OK,2022-12-19,AAME,2.48,2.48,2.48,2.48,6777,2.25,2.48
OK,2022-12-22,AAME,2.42,2.4999,2.41,2.4999,8380,2.4999,2.42
OK,2023-01-03,AAME,2.1,2.42,2.1,2.42,11143,2.42,2.1
OK,2023-01-04,AAME,2.35,2.49,2.35,2.43,2832,2.43,2.35
OK,2023-01-05,AAME,2.425,2.47,2.425,2.47,935,2.47,2.425
OK,2023-01-06,AAME,2.43,2.53,2.43,2.4401,1300,2.4401,2.43
OK,2023-01-20,AAME,2.45,2.5,2.37,2.5,5364,2.5,2.45
OK,2023-01-23,AAME,2.3944,2.56,2.38,2.56,7736,2.56,2.3944
OK,2023-01-24,AAME,2.55,2.56,2.44,2.505,7181,2.505,2.58
OK,2023-01-25,AAME,2.5,2.55,2.46,2.55,3896,2.55,2.5
OK,2023-01-26,AAME,2.54,2.55,2.53,2.55,1943,2.55,2.54
OK,2023-01-31,AAME,2.59,2.59,2.51,2.51,2230,2.51,2.59
OK,2023-02-01,AAME,2.51,2.55,2.48,2.48,3447,2.55,2.51
OK,2023-02-06,AAME,2.51,2.58,2.5,2.55,4552,2.55,2.51
OK,2023-02-09,AAME,2.57,2.57,2.35,2.42,6457,2.42,2.57
OK,2023-02-13,AAME,2.42,2.43,2.42,2.42,937,2.42,2.42
OK,2023-02-14,AAME,2.35,2.43,2.35,2.39,1955,2.39,2.35
OK,2023-02-15,AAME,2.35,2.37,2.2301,2.27,8641,2.31,2.35
OK,2023-03-01,AAME,2.54,2.54,2.4623,2.4623,973,2.4623,2.54
OK,2023-03-02,AAME,2.54,2.54,2.44,2.47,1180,2.47,2.54
OK,2023-03-03,AAME,2.55,2.56,2.33,2.3899,8813,2.3899,2.55
OK,2023-03-06,AAME,2.3212,2.41,2.3212,2.39,4020,2.39,2.3212
OK,2023-03-07,AAME,2.34,2.3999,2.34,2.39,3509,2.39,2.34
OK,2023-03-10,AAME,2.34,2.37,2.34,2.37,1022,2.37,2.34
OK,2023-03-21,AAME,2.48,2.5,2.48,2.48,2547,2.48,2.48
OK,2023-03-22,AAME,2.48,2.48,2.36,2.41,5739,2.48,2.48
OK,2023-03-23,AAME,2.46,2.49,2.4059,2.49,3505,2.49,2.46
OK,2023-03-24,AAME,2.39,2.49,2.35,2.49,3722,2.49,2.39
OK,2023-03-27,AAME,2.43,2.48,2.43,2.48,809,2.48,2.43
OK,2023-03-30,AAME,2.5,2.5,2.39,2.49,1924,2.49,2.5
OK,2023-04-10,AAME,2.44,2.48,2.44,2.48,2127,2.48,2.44
OK,2023-04-11,AAME,2.433,2.46,2.433,2.44,785,2.44,2.433
OK,2023-04-12,AAME,2.44,2.49,2.4299,2.453,9599,2.453,2.44
OK,2023-04-13,AAME,2.4324,2.49,2.42,2.48,10524,2.48,2.4324
OK,2023-04-14,AAME,2.49,2.49,2.4,2.49,8670,2.49,2.49
OK,2023-04-19,AAME,2.32,2.4299,2.24,2.31,10460,2.31,2.32
OK,2023-04-28,AAME,2.1801,2.1801,2.1801,2.1801,1373,2.1801,2.1801
OK,2023-05-01,AAME,2.2213,2.2213,2.2,2.2,790,2.2213,2.2213
OK,2023-05-02,AAME,2.2,2.2,2.2,2.2,545,2.2,2.2
OK,2023-05-03,AAME,2.18,2.28,2.18,2.19,2773,2.235,2.18
OK,2023-05-04,AAME,2.18,2.2,2.15,2.2,2580,2.2,2.18
OK,2023-05-09,AAME,2.16,2.2076,2.16,2.2076,1062,2.2076,2.16
OK,2023-05-12,AAME,2.2254,2.2254,2.2254,2.2254,165,2.2254,2.2254
OK,2023-05-15,AAME,2.25,2.25,2.22,2.25,4700,2.25,2.25
OK,2023-05-18,AAME,2.1901,2.1901,2.1901,2.1901,117,2.1901,2.1901
OK,2023-05-19,AAME,2.2,2.23,2.2,2.23,518,2.23,2.2
OK,2023-05-30,AAME,2.12,2.135,2.12,2.12,6406,2.12,2.12
