status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2022-06-27,AAN,16.37,16.549,15.907,16.08,264006.0,16.08,16.37
OK,2022-06-28,AAN,16.2,16.41,15.31,15.34,166740.0,15.34,16.2
OK,2022-06-29,AAN,15.08,15.08,14.455,14.79,448208.0,14.79,15.08
OK,2022-07-05,AAN,14.58,15.37,14.26,15.37,413102.0,15.37,14.58
OK,2022-07-13,AAN,14.88,14.96,14.6,14.83,213971.0,14.83,14.9
OK,2022-07-14,AAN,14.35,14.5,13.86,14.1,549900.0,14.1,14.41
OK,2022-07-15,AAN,14.37,14.69,14.34,14.67,1178462.0,14.67,14.37
OK,2022-07-18,AAN,15.01,15.64,15.01,15.38,366550.0,15.38,14.96
OK,2022-07-19,AAN,15.69,16.0,15.351,15.88,318204.0,15.88,15.69
OK,2022-07-22,AAN,16.38,16.45,15.72,16.01,264390.0,16.01,16.38
OK,2022-07-25,AAN,15.91,15.95,15.41,15.5,533447.0,11.5,15.91
OK,2022-08-02,AAN,12.97,13.04,12.575,12.98,472121.0,12.98,12.97
OK,2022-08-03,AAN,13.06,13.3,12.9,13.16,385438.0,13.16,13.06
OK,2022-08-04,AAN,13.23,13.79,13.23,13.34,263781.0,13.34,13.23
OK,2022-08-05,AAN,13.23,13.49,13.15,13.32,217938.0,13.32,13.23
OK,2022-08-08,AAN,13.64,15.1,13.38,14.6,401244.0,14.6,13.64
OK,2022-08-11,AAN,14.67,15.09,14.43,14.55,209696.0,14.55,14.67
OK,2022-08-12,AAN,14.74,14.7673,14.3,14.6,179295.0,14.6,14.74
OK,2022-08-15,AAN,14.69,14.71,14.3912,14.5,297837.0,14.5,14.69
OK,2022-08-22,AAN,13.75,13.9,13.58,13.76,294134.0,13.76,13.04
OK,2022-08-23,AAN,13.97,14.15,13.87,13.95,183766.0,13.95,13.97
OK,2022-08-24,AAN,13.79,13.96,13.51,13.58,148353.0,13.58,13.79
OK,2022-08-25,AAN,13.56,14.15,13.48,13.82,150101.0,13.82,13.56
OK,2022-08-26,AAN,13.83,13.96,12.68,12.8,232479.0,12.8,13.83
OK,2022-08-31,AAN,12.68,12.72,11.815,11.9,369851.0,11.9,12.68
OK,2022-09-06,AAN,11.8,11.9,11.27,11.54,447838.0,11.54,11.87
OK,2022-09-09,AAN,11.83,12.28,11.83,12.26,256561.0,12.15,11.83
OK,2022-09-12,AAN,12.43,12.84,12.26,12.56,207508.0,12.56,12.27
OK,2022-09-13,AAN,12.25,12.3799,11.98,12.2,361511.0,12.2,12.38
OK,2022-09-20,AAN,11.96,11.96,11.45,11.51,441557.0,11.51,11.96
OK,2022-09-21,AAN,11.61,11.99,11.49,11.5,268924.0,11.5,11.61
OK,2022-09-22,AAN,11.44,11.44,10.96,10.98,400692.0,10.98,11.44
OK,2022-09-23,AAN,10.81,10.91,10.59,10.8,208905.0,10.8,10.81
OK,2022-09-26,AAN,10.74,11.04,10.57,10.59,272690.0,10.59,10.74
OK,2022-09-29,AAN,10.54,10.55,10.1,10.51,327999.0,9.99,10.54
OK,2022-10-10,AAN,9.47,9.47,9.01,9.03,413497.0,9.03,9.47
OK,2022-10-11,AAN,8.93,9.22,8.79,8.91,719690.0,8.91,8.93
OK,2022-10-12,AAN,8.96,9.14,8.8,9.11,421723.0,9.11,8.96
OK,2022-10-13,AAN,8.84,9.36,8.76,9.21,316697.0,9.21,9.03
OK,2022-10-14,AAN,9.24,9.35,8.84,8.86,271129.0,8.86,9.24
OK,2022-10-19,AAN,8.83,8.88,8.35,8.53,414200.0,8.53,8.83
OK,2022-10-28,AAN,10.46,10.77,10.3,10.33,625793.0,10.28,10.46
OK,2022-10-31,AAN,10.22,10.57,10.18,10.42,472375.0,10.42,10.35
OK,2022-11-01,AAN,10.63,10.82,10.15,10.26,1009846.0,10.2,10.63
OK,2022-11-02,AAN,10.19,10.39,9.76,9.77,422840.0,9.77,10.19
OK,2022-11-03,AAN,9.74,10.07,9.57,9.88,350733.0,9.88,9.7
OK,2022-11-08,AAN,9.98,10.13,9.73,10.12,432251.0,10.12,9.98
OK,2022-11-09,AAN,10.08,10.1,9.8,10.02,359549.0,10.02,10.08
OK,2022-11-17,AAN,10.06,10.54,9.9,10.51,269189.0,10.51,10.06
OK,2022-11-18,AAN,10.67,11.06,10.5,11.05,422011.0,11.05,10.67
OK,2022-11-21,AAN,10.96,11.2,10.85,11.04,507677.0,11.04,11.1
OK,2022-11-22,AAN,11.22,11.84,11.11,11.69,573001.0,11.69,11.22
OK,2022-11-23,AAN,11.55,11.98,11.42,11.85,507155.0,11.85,11.55
OK,2022-12-07,AAN,12.17,12.225,11.94,12.01,201134.0,12.01,12.17
OK,2022-12-08,AAN,12.04,12.085,11.78,11.85,270078.0,11.85,12.04
OK,2022-12-09,AAN,11.66,11.94,11.49,11.73,192114.0,11.73,11.66
OK,2022-12-12,AAN,11.82,12.29,11.61,12.21,310297.0,12.21,11.82
OK,2022-12-13,AAN,12.55,12.81,11.97,12.41,665745.0,12.41,12.55
OK,2022-12-16,AAN,11.87,12.09,11.805,11.9,1165635.0,11.9,12.09
OK,2022-12-27,AAN,11.38,11.41,11.19,11.35,130001.0,11.35,11.38
OK,2022-12-28,AAN,11.36,11.6499,11.21,11.32,248993.0,11.32,11.36
OK,2022-12-29,AAN,11.44,11.83,11.44,11.8,170563.0,11.8,11.44
OK,2022-12-30,AAN,11.59,12.06,11.59,11.95,317283.0,11.95,11.59
OK,2023-01-05,AAN,12.58,12.77,12.33,12.75,211165.0,12.75,12.58
OK,2023-01-17,AAN,14.43,14.43,13.86,13.86,217554.0,13.86,14.43
OK,2023-01-18,AAN,14.01,14.38,13.85,13.88,155189.0,13.88,14.01
OK,2023-01-19,AAN,13.67,13.84,13.291,13.65,272791.0,13.65,13.67
OK,2023-01-20,AAN,13.69,14.22,13.52,14.18,203634.0,14.18,13.69
OK,2023-01-25,AAN,13.71,13.99,13.66,13.94,179759.0,13.94,13.71
OK,2023-02-03,AAN,15.5,15.74,15.37,15.47,257560.0,15.47,15.5
OK,2023-02-06,AAN,15.34,15.625,14.96,14.99,200494.0,14.99,15.34
OK,2023-02-07,AAN,14.86,15.26,14.645,15.13,317487.0,15.13,14.86
OK,2023-02-08,AAN,15.03,15.18,14.93,15.05,176819.0,15.05,15.03
OK,2023-02-09,AAN,15.19,15.35,14.86,14.88,196597.0,14.88,15.19
OK,2023-02-23,AAN,13.97,14.34,13.96,14.15,186836.0,14.15,14.01
OK,2023-02-24,AAN,13.8,14.225,13.65,14.13,281781.0,14.13,13.8
OK,2023-02-27,AAN,14.33,14.5,14.13,14.28,224409.0,14.28,14.33
