status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2019-06-28,AAP,151.98,154.45,151.4,154.14,950055.0,154.14,151.98
OK,2019-07-01,AAP,155.71,158.45,155.57,156.59,1154574.0,153.57,155.71
OK,2019-07-02,AAP,157.0,160.49,156.315,159.79,1394126.0,159.79,157.0
OK,2019-07-03,AAP,159.51,161.63,158.67,160.63,588405.0,160.63,159.51
OK,2019-07-05,AAP,160.14,161.01,159.25,160.62,604421.0,160.62,160.14
OK,2019-07-08,AAP,160.6,163.23,158.11,158.19,1588408.0,158.19,160.6
OK,2019-07-09,AAP,157.77,158.8795,154.03,155.5,1040661.0,155.5,157.77
OK,2019-07-10,AAP,155.59,156.81,154.59,156.43,833850.0,156.43,155.59
OK,2019-07-11,AAP,155.86,157.52,155.08,156.29,970339.0,156.29,154.87
OK,2019-07-12,AAP,156.24,159.1125,155.89,158.58,648668.0,158.58,156.24
OK,2019-07-15,AAP,159.01,159.14,156.63,158.92,487605.0,158.92,159.01
OK,2019-07-16,AAP,158.87,162.7099,158.87,161.76,763617.0,161.76,158.87
OK,2019-07-17,AAP,161.15,161.405,156.35,157.67,1116368.0,157.67,161.15
OK,2019-07-18,AAP,154.75,158.09,152.33,157.9,1127366.0,157.9,154.75
OK,2019-07-19,AAP,158.09,158.725,156.1414,156.93,965344.0,156.93,158.09
OK,2019-07-22,AAP,157.28,160.17,157.24,158.9,840876.0,158.9,157.28
OK,2019-07-23,AAP,159.49,159.895,155.35,157.64,894693.0,157.64,159.49
OK,2019-07-24,AAP,157.64,159.22,157.075,158.5,865691.0,158.5,157.64
OK,2019-07-25,AAP,156.9,158.21,149.94,150.03,1703338.0,150.03,156.9
OK,2019-07-26,AAP,150.1,152.83,149.5,152.62,881543.0,152.62,150.1
OK,2019-07-29,AAP,152.29,153.42,150.94,153.04,782681.0,151.28,152.29
OK,2019-07-30,AAP,152.52,154.66,150.91,151.8,875407.0,151.8,152.52
OK,2019-07-31,AAP,151.65,152.48,149.705,150.64,1057309.0,150.64,151.65
OK,2019-08-01,AAP,150.52,153.52,149.72,149.95,1460503.0,149.5,150.52
OK,2019-08-02,AAP,149.6,150.04,145.71,145.78,1212892.0,145.75,149.6
OK,2019-08-05,AAP,142.95,143.4,139.96,143.16,1604819.0,143.16,142.7
OK,2019-08-06,AAP,143.09,146.11,141.63,145.64,1594066.0,145.64,143.09
OK,2019-08-07,AAP,144.41,145.31,142.21,144.04,1524009.0,144.05,146.0
OK,2019-08-08,AAP,144.9,146.62,144.0901,144.43,1291934.0,144.0,144.9
OK,2019-08-09,AAP,144.54,146.94,143.21,144.33,1332700.0,144.33,144.54
OK,2019-08-12,AAP,143.4,145.355,140.81,142.16,1647867.0,142.16,143.4
OK,2019-08-13,AAP,130.8,144.059,130.09,142.23,5912046.0,142.23,137.99
OK,2019-08-14,AAP,138.24,140.46,135.44,136.49,2424587.0,136.49,140.37
OK,2019-08-15,AAP,137.21,138.27,135.46,137.5,1976832.0,137.5,137.21
OK,2019-08-16,AAP,137.73,139.69,136.428,136.59,1302625.0,136.59,137.5
OK,2019-08-19,AAP,138.0,138.255,135.22,136.35,1297048.0,136.35,138.0
OK,2019-08-20,AAP,136.44,137.855,135.3,135.38,1003421.0,135.28,136.44
OK,2019-08-21,AAP,136.56,136.75,134.7,136.23,1353990.0,136.23,136.56
OK,2019-08-22,AAP,136.65,138.55,136.08,137.5,1309398.0,137.5,136.65
OK,2019-08-23,AAP,136.57,138.19,134.45,135.05,1091486.0,135.05,136.57
OK,2019-08-26,AAP,135.62,135.7,132.89,135.0,905090.0,135.0,135.69
OK,2019-08-27,AAP,135.82,137.13,134.87,134.89,750123.0,134.89,135.82
OK,2019-08-28,AAP,134.3,137.56,133.3,136.76,1813694.0,136.76,134.3
OK,2019-08-29,AAP,138.04,140.74,137.78,138.07,1208732.0,138.07,138.04
OK,2019-08-30,AAP,138.7,139.82,137.45,137.95,727024.0,137.9,138.7
OK,2019-09-03,AAP,137.19,140.43,136.77,140.36,1009777.0,140.36,135.97
OK,2019-09-04,AAP,141.57,142.31,138.515,141.89,1244523.0,141.89,141.48
OK,2019-09-05,AAP,143.08,147.12,143.07,146.55,780892.0,146.2,143.0
OK,2019-09-06,AAP,146.89,147.665,146.32,147.21,822539.0,147.21,146.89
OK,2019-09-09,AAP,147.4,147.81,145.57,147.43,1045640.0,147.2,147.4
OK,2019-09-10,AAP,147.37,155.38,146.79,154.7,1407768.0,154.7,147.37
OK,2019-09-11,AAP,154.96,158.89,154.68,158.86,1186158.0,158.86,155.37
OK,2019-09-12,AAP,160.0,160.15,155.08,155.2,1167452.0,155.03,160.0
OK,2019-09-13,AAP,159.1,159.32,154.85,157.0,1004983.0,157.0,156.8
OK,2019-09-16,AAP,156.0,158.2599,155.6976,156.07,908639.0,156.07,156.0
OK,2019-09-17,AAP,155.44,157.0,153.735,156.07,846906.0,156.07,155.44
