status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2019-06-28,AAT,46.3,47.2,46.2001,47.12,3985409.0,47.12,46.3
OK,2019-07-01,AAT,47.36,47.365,46.31,46.88,659827.0,46.88,47.36
OK,2019-07-02,AAT,47.05,47.38,46.73,47.36,411011.0,47.36,47.05
OK,2019-07-03,AAT,47.48,47.95,47.4,47.84,192660.0,47.84,47.48
OK,2019-07-05,AAT,47.48,47.66,46.92,47.62,373567.0,47.62,47.48
OK,2019-07-08,AAT,47.64,47.97,47.5,47.76,233788.0,47.76,47.64
OK,2019-07-09,AAT,47.71,48.06,47.5,47.88,369651.0,47.88,47.71
OK,2019-07-10,AAT,48.06,48.3,47.85,48.22,459804.0,48.22,48.06
OK,2019-07-11,AAT,48.18,48.2,47.3,47.61,318069.0,47.61,48.18
OK,2019-07-12,AAT,47.6,47.71,47.22,47.45,259120.0,47.45,47.6
OK,2019-07-15,AAT,47.54,47.54,46.84,47.02,293118.0,47.02,47.54
OK,2019-07-16,AAT,46.92,47.12,46.52,46.9,328866.0,46.9,47.02
OK,2019-07-17,AAT,46.99,47.06,46.19,46.44,658525.0,46.44,46.99
OK,2019-07-18,AAT,46.41,46.59,45.87,46.5,432720.0,46.5,46.41
OK,2019-07-19,AAT,46.39,46.54,45.66,45.82,401075.0,45.82,46.39
OK,2019-07-22,AAT,45.85,46.12,45.47,45.82,305222.0,45.82,45.85
OK,2019-07-23,AAT,45.99,46.95,45.81,46.76,390515.0,46.76,45.99
OK,2019-07-24,AAT,46.86,47.24,46.34,47.15,271351.0,47.15,46.86
OK,2019-07-25,AAT,47.4,47.4,46.64,46.64,230142.0,46.64,47.4
OK,2019-07-26,AAT,46.73,47.04,46.44,46.94,224045.0,46.94,46.73
OK,2019-07-29,AAT,47.07,47.375,46.83,47.0,200449.0,47.0,47.07
OK,2019-07-30,AAT,46.88,47.39,46.88,46.94,466436.0,46.94,46.88
OK,2019-07-31,AAT,46.71,46.71,45.8,46.4,723358.0,46.4,46.71
OK,2019-08-01,AAT,46.37,47.35,46.09,46.76,365822.0,46.76,46.37
OK,2019-08-02,AAT,46.62,46.88,46.24,46.83,332917.0,46.83,46.62
OK,2019-08-05,AAT,46.6,46.61,44.9,45.58,333970.0,45.58,46.6
OK,2019-08-06,AAT,45.55,46.08,45.29,46.08,396253.0,46.08,45.55
OK,2019-08-07,AAT,45.96,46.78,45.41,46.56,298170.0,46.56,45.96
OK,2019-08-08,AAT,46.67,47.63,46.23,47.59,310664.0,47.59,46.67
OK,2019-08-09,AAT,47.29,47.59,46.86,47.25,343555.0,47.25,47.29
OK,2019-08-12,AAT,47.22,47.28,46.5,46.75,189797.0,46.75,47.22
OK,2019-08-13,AAT,46.68,47.06,46.6,46.9,118037.0,46.9,46.68
OK,2019-08-14,AAT,46.58,46.8,46.19,46.43,314434.0,46.43,46.58
OK,2019-08-15,AAT,46.48,46.83,46.32,46.44,271229.0,46.44,46.48
OK,2019-08-16,AAT,46.57,47.15,46.45,47.06,164305.0,47.06,46.57
OK,2019-08-19,AAT,47.29,47.33,47.04,47.28,185464.0,47.28,47.29
OK,2019-08-20,AAT,47.44,47.44,46.8,46.9,225901.0,46.9,47.44
OK,2019-08-21,AAT,47.11,47.25,46.8,46.92,340862.0,46.92,47.11
OK,2019-08-22,AAT,46.9,47.27,46.59,47.22,135223.0,47.22,46.9
OK,2019-08-23,AAT,47.19,47.48,46.24,46.37,220426.0,46.37,47.19
OK,2019-08-26,AAT,46.71,46.71,46.05,46.44,259070.0,46.44,46.71
OK,2019-08-27,AAT,46.78,46.87,46.11,46.18,221992.0,46.18,46.78
OK,2019-08-28,AAT,46.18,46.59,46.06,46.4,194953.0,46.4,46.18
OK,2019-08-29,AAT,46.64,46.995,46.42,46.78,158854.0,46.78,46.64
OK,2019-08-30,AAT,46.8,47.0,46.49,46.86,172069.0,46.86,46.8
OK,2019-09-03,AAT,46.82,47.31,46.74,47.16,179833.0,47.16,46.82
OK,2019-09-04,AAT,47.33,47.66,47.24,47.54,250535.0,47.54,47.33
OK,2019-09-05,AAT,47.67,47.89,47.26,47.53,501661.0,47.53,47.67
OK,2019-09-06,AAT,47.64,48.16,47.43,47.77,396234.0,47.77,47.64
OK,2019-09-09,AAT,47.77,48.12,47.39,47.96,526932.0,47.96,47.77
OK,2019-09-10,AAT,47.77,48.18,47.0994,47.43,808474.0,47.43,47.77
OK,2019-09-11,AAT,47.08,47.28,46.48,46.81,921570.0,46.81,47.08
