status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2019-06-28,AAXN,66.7,66.79,64.08,64.21,9759655.0,64.38,66.7
OK,2019-07-01,AAXN,65.22,65.9,63.4,64.55,1315361.0,64.55,64.81
OK,2019-07-02,AAXN,64.75,64.75,63.02,63.8,1181513.0,64.06,64.847
OK,2019-07-03,AAXN,64.05,64.475,63.92,64.32,757860.0,64.32,64.05
OK,2019-07-05,AAXN,63.9,64.48,63.18,64.06,468946.0,64.08,63.9
OK,2019-07-08,AAXN,63.81,63.935,62.05,62.31,578539.0,62.31,63.81
OK,2019-07-09,AAXN,62.1,63.11,61.7,62.96,797540.0,62.96,62.1
OK,2019-07-10,AAXN,63.32,64.16,63.22,63.3,854504.0,62.66,63.05
OK,2019-07-11,AAXN,63.46,64.1,62.73,62.92,1148185.0,63.0,63.3
OK,2019-07-12,AAXN,62.9,64.73,61.88,64.5,924471.0,64.5,62.94
OK,2019-07-15,AAXN,64.65,65.37,63.67,63.78,665715.0,63.78,64.65
OK,2019-07-16,AAXN,63.79,64.0769,62.83,63.9,444366.0,63.9,63.79
OK,2019-07-17,AAXN,64.22,65.44,63.81,64.82,617228.0,64.82,64.22
OK,2019-07-18,AAXN,64.71,65.83,64.515,65.76,464670.0,65.7,64.71
OK,2019-07-19,AAXN,65.83,66.77,65.69,65.92,548947.0,66.0,65.83
OK,2019-07-22,AAXN,65.8,66.44,65.1,65.41,333282.0,65.41,65.8
OK,2019-07-23,AAXN,65.95,66.52,65.2,66.18,339376.0,64.94,65.95
OK,2019-07-24,AAXN,66.0,69.42,65.9,68.75,708979.0,68.7499,66.0
OK,2019-07-25,AAXN,69.04,69.46,68.05,68.3,461817.0,68.3,68.75
OK,2019-07-26,AAXN,68.48,70.55,68.48,69.5,569980.0,69.5,68.48
OK,2019-07-29,AAXN,69.68,70.0809,68.09,68.48,395771.0,68.48,69.68
OK,2019-07-30,AAXN,68.0,69.66,67.51,69.64,546198.0,69.69,68.0
OK,2019-07-31,AAXN,69.76,71.69,69.52,70.22,602376.0,70.22,69.76
OK,2019-08-01,AAXN,70.12,70.96,68.38,68.44,529240.0,68.41,70.12
OK,2019-08-02,AAXN,68.09,69.24,67.5,69.08,553617.0,69.08,68.5
OK,2019-08-05,AAXN,67.58,67.58,64.26,65.91,756580.0,64.64,67.42
OK,2019-08-06,AAXN,66.16,67.49,65.23,65.36,839006.0,66.0,64.64
OK,2019-08-07,AAXN,64.52,65.94,64.1,65.54,1066831.0,65.55,64.58
OK,2019-08-08,AAXN,66.25,69.14,66.25,68.41,1110876.0,62.51,66.0
OK,2019-08-09,AAXN,60.0,61.98,56.11,58.09,4054508.0,59.09,61.05
OK,2019-08-12,AAXN,58.59,60.27,56.88,57.5,1118763.0,57.5,59.55
OK,2019-08-13,AAXN,57.57,60.62,57.21,58.78,743184.0,58.78,57.57
OK,2019-08-14,AAXN,58.68,58.86,57.05,57.86,828991.0,57.8,58.8701
OK,2019-08-15,AAXN,57.85,58.76,56.95,57.36,731035.0,58.0,57.86
OK,2019-08-16,AAXN,57.79,59.39,56.92,59.22,724022.0,59.22,59.55
OK,2019-08-19,AAXN,60.4,60.91,59.59,60.11,767773.0,60.11,60.4
OK,2019-08-20,AAXN,60.27,60.97,59.35,60.75,974056.0,60.75,60.27
OK,2019-08-21,AAXN,61.35,61.35,60.23,60.34,792527.0,60.34,61.35
OK,2019-08-22,AAXN,60.53,62.625,60.35,62.37,668974.0,63.0,60.53
OK,2019-08-23,AAXN,62.15,62.69,59.14,59.37,892618.0,59.37,62.15
OK,2019-08-26,AAXN,60.09,61.02,59.05,60.96,402831.0,60.95,60.09
OK,2019-08-27,AAXN,61.45,62.35,60.4,60.98,548078.0,60.98,61.45
OK,2019-08-28,AAXN,60.71,61.91,59.21,59.94,479929.0,59.99,60.71
OK,2019-08-29,AAXN,61.15,62.06,60.935,61.33,401090.0,61.33,59.96
OK,2019-08-30,AAXN,61.56,61.745,59.72,59.97,465697.0,59.97,61.6
OK,2019-09-03,AAXN,59.53,59.53,57.9,58.99,649552.0,58.99,59.53
OK,2019-09-04,AAXN,59.71,60.24,59.13,59.97,345131.0,59.97,59.71
OK,2019-09-05,AAXN,60.87,61.93,60.13,61.19,437624.0,61.19,59.97
OK,2019-09-06,AAXN,61.16,62.49,60.64,61.99,330588.0,61.99,61.16
OK,2019-09-09,AAXN,62.44,62.44,59.2348,59.55,633467.0,59.55,62.0
OK,2019-09-10,AAXN,59.29,60.6,58.11,60.57,485487.0,60.57,59.29
OK,2019-09-11,AAXN,60.78,62.99,60.32,62.94,462941.0,62.94,60.57
OK,2019-09-12,AAXN,63.0,64.72,62.01,64.37,436754.0,64.37,63.0
OK,2019-09-13,AAXN,64.5,65.66,63.96,65.11,473441.0,65.11,65.0
OK,2019-09-16,AAXN,64.84,66.8,64.3956,66.19,403441.0,66.19,65.11
OK,2019-09-17,AAXN,66.42,66.48,65.18,66.15,378147.0,66.15,66.42
OK,2019-09-18,AAXN,66.15,66.48,64.93,65.44,406209.0,65.44,66.15
OK,2019-09-19,AAXN,65.0,65.41,62.25,63.14,812596.0,63.14,65.08
OK,2019-09-20,AAXN,63.09,64.14,62.1645,63.54,1032564.0,63.54,63.09
OK,2019-09-23,AAXN,63.21,64.375,62.34,62.5,610877.0,62.5,61.64
OK,2019-09-24,AAXN,62.61,63.565,59.8,60.95,873660.0,60.95,62.61
OK,2019-09-25,AAXN,60.84,61.25,59.11,60.43,425298.0,60.44,60.84
OK,2019-09-26,AAXN,60.44,60.555,58.2401,59.01,652507.0,59.0,61.5
OK,2019-09-27,AAXN,59.32,59.32,57.61,58.31,385318.0,58.31,59.24
OK,2019-09-30,AAXN,58.28,58.55,56.7,56.78,851655.0,56.9,58.28
OK,2019-10-01,AAXN,56.85,57.33,53.95,54.22,1025065.0,54.2,56.78
OK,2019-10-02,AAXN,53.68,53.68,51.28,53.26,1205634.0,53.46,53.68
OK,2019-10-03,AAXN,53.09,54.35,52.16,54.3,705061.0,54.3,53.09
OK,2019-10-04,AAXN,54.47,55.09,53.57,54.86,440864.0,54.86,53.0
OK,2019-10-07,AAXN,54.65,55.16,53.75,54.62,573890.0,54.62,54.65
OK,2019-10-08,AAXN,54.01,54.63,52.59,52.76,485807.0,52.76,54.01
OK,2019-10-09,AAXN,53.13,53.33,52.12,52.34,536570.0,53.0,53.13
OK,2019-10-10,AAXN,52.26,52.76,51.8848,52.54,954085.0,53.35,52.26
OK,2019-10-11,AAXN,53.24,54.89,53.01,53.16,771213.0,53.16,53.24
OK,2019-10-14,AAXN,52.98,53.43,51.88,52.83,491109.0,52.83,52.98
OK,2019-10-15,AAXN,52.84,53.64,52.44,53.32,402571.0,53.32,52.84
OK,2019-10-16,AAXN,52.94,53.14,51.51,51.89,649331.0,51.69,52.94
OK,2019-10-17,AAXN,52.0,52.59,51.66,51.75,397787.0,51.75,52.0
OK,2019-10-18,AAXN,51.42,51.48,49.8,50.55,1065593.0,50.55,51.49
OK,2019-10-21,AAXN,51.19,52.47,50.57,52.315,535664.0,52.315,51.19
OK,2019-10-22,AAXN,52.3,53.42,51.7786,53.2,824542.0,53.2,52.3
OK,2019-10-23,AAXN,53.4,54.21,53.2,53.705,578263.0,53.705,53.4
OK,2019-10-24,AAXN,53.82,55.06,53.56,54.92,508750.0,54.92,53.82
OK,2019-10-25,AAXN,54.69,55.17,54.2,54.26,364788.0,54.26,54.84
OK,2019-10-28,AAXN,54.73,55.25,54.19,54.75,507892.0,54.75,54.99
OK,2019-10-29,AAXN,54.56,55.21,52.81,52.98,551807.0,52.98,54.56
OK,2019-10-30,AAXN,52.84,53.46,51.8,52.53,656753.0,52.53,52.84
OK,2019-10-31,AAXN,52.47,52.67,50.78,51.13,980481.0,51.13,52.48
OK,2019-11-01,AAXN,51.49,53.33,51.0,52.52,1085409.0,52.56,51.49
OK,2019-11-04,AAXN,53.15,53.3485,51.48,51.87,689301.0,51.87,53.15
OK,2019-11-05,AAXN,51.87,54.13,51.72,53.085,835867.0,53.085,51.87
OK,2019-11-06,AAXN,53.14,53.69,51.94,52.24,714833.0,52.46,53.3
OK,2019-11-07,AAXN,53.23,55.73,52.2,52.41,1368758.0,60.5,53.23
OK,2019-11-08,AAXN,61.94,71.0,61.0,65.285,4437375.0,65.37,60.6
OK,2019-11-11,AAXN,64.76,65.54,62.61,64.45,1259114.0,64.45,65.38
OK,2019-11-12,AAXN,64.48,64.75,63.34,64.01,754512.0,64.01,64.53
OK,2019-11-13,AAXN,63.53,64.98,63.2572,64.65,580671.0,65.44,63.53
OK,2019-11-14,AAXN,64.65,67.05,64.44,66.69,641508.0,66.69,64.7
OK,2019-11-15,AAXN,67.35,68.35,66.37,67.37,724579.0,67.3,67.35
OK,2019-11-18,AAXN,67.24,67.83,66.35,67.72,544045.0,67.72,67.24
OK,2019-11-19,AAXN,67.87,69.11,67.64,68.48,560688.0,68.84,67.4
OK,2019-11-20,AAXN,67.94,72.0,67.45,71.98,1290945.0,72.25,67.94
OK,2019-11-21,AAXN,72.0,73.07,71.225,71.9,906246.0,72.1,72.25
OK,2019-11-22,AAXN,72.15,72.44,71.1707,72.09,350559.0,72.09,72.15
OK,2019-11-25,AAXN,72.74,74.85,72.4055,74.33,671306.0,74.33,72.74
OK,2019-11-26,AAXN,74.8,77.66,74.5,76.93,1592019.0,77.25,75.02
OK,2019-11-27,AAXN,74.81,76.07,72.02,75.57,1450356.0,75.57,75.87
OK,2019-11-29,AAXN,75.07,75.85,73.64,73.8,416062.0,73.8,72.13
OK,2019-12-02,AAXN,74.14,75.27,73.43,73.72,613593.0,73.72,74.14
OK,2019-12-03,AAXN,72.31,74.125,71.31,73.83,651053.0,73.83,73.7
OK,2019-12-04,AAXN,74.22,75.65,72.57,72.76,823290.0,72.76,74.22
OK,2019-12-05,AAXN,72.36,73.874,72.02,72.82,396829.0,72.82,71.51
OK,2019-12-06,AAXN,73.58,74.255,71.68,71.87,609608.0,71.85,73.58
OK,2019-12-09,AAXN,71.89,73.7,71.52,72.27,567543.0,72.27,71.87
OK,2019-12-10,AAXN,72.93,72.93,72.16,72.64,407770.0,72.64,72.93
OK,2019-12-11,AAXN,72.68,73.42,71.93,72.49,338908.0,72.49,72.68
OK,2019-12-12,AAXN,72.37,73.07,70.61,71.81,416787.0,70.71,72.37
OK,2019-12-13,AAXN,71.71,72.8187,71.46,72.47,348302.0,72.65,71.71
OK,2019-12-16,AAXN,72.7,74.66,72.68,73.19,700702.0,73.19,72.47
OK,2019-12-17,AAXN,72.63,72.87,71.13,71.35,713286.0,71.35,73.15
OK,2019-12-18,AAXN,71.38,71.72,69.52,69.83,590156.0,69.83,71.1201
OK,2019-12-19,AAXN,69.84,70.35,69.1,70.32,417580.0,70.31,69.84
OK,2019-12-20,AAXN,70.54,71.43,70.2,71.24,842858.0,71.24,70.66
OK,2019-12-23,AAXN,71.74,72.2512,71.1,72.24,352817.0,72.24,71.74
OK,2019-12-24,AAXN,72.44,73.335,72.3,73.09,299995.0,73.09,72.44
OK,2019-12-26,AAXN,73.16,73.72,72.39,72.9,247163.0,72.9,73.16
OK,2019-12-27,AAXN,73.04,73.265,72.41,72.9,418701.0,72.01,73.04
OK,2019-12-30,AAXN,72.9,74.64,72.59,73.51,410591.0,73.51,72.9
OK,2019-12-31,AAXN,73.19,74.08,72.72,73.28,540183.0,73.28,70.13
OK,2020-01-02,AAXN,74.02,76.62,73.34,76.56,847439.0,76.56,74.02
OK,2020-01-03,AAXN,72.3,75.5699,68.68,73.925,2187937.0,73.97,75.88
OK,2020-01-06,AAXN,74.12,74.49,68.09,68.75,1732581.0,68.99,74.49
OK,2020-01-07,AAXN,68.82,70.73,68.315,69.77,766715.0,68.09,69.8
OK,2020-01-08,AAXN,69.95,71.625,69.51,69.61,911247.0,69.61,70.0
OK,2020-01-09,AAXN,70.09,71.0,69.935,70.19,549566.0,70.19,70.09
OK,2020-01-10,AAXN,70.22,70.85,69.21,69.51,574810.0,69.51,70.5
OK,2020-01-13,AAXN,69.83,70.9,69.5,70.77,426759.0,70.77,69.104
OK,2020-01-14,AAXN,70.67,71.85,69.47,71.365,1030531.0,71.365,70.8
OK,2020-01-15,AAXN,71.54,72.965,71.54,72.7,389894.0,74.39,71.54
OK,2020-01-16,AAXN,73.12,75.31,73.12,75.22,522734.0,75.2,73.12
OK,2020-01-17,AAXN,75.53,75.85,73.55,73.6,346745.0,73.6,75.53
OK,2020-01-21,AAXN,73.25,75.4399,73.25,75.26,509065.0,75.26,73.25
OK,2020-01-22,AAXN,75.6,79.45,75.6,79.08,1681624.0,79.1,75.6
OK,2020-01-23,AAXN,79.07,80.6581,78.58,78.64,748793.0,78.64,79.07
OK,2020-01-24,AAXN,79.19,80.84,77.285,80.55,1104829.0,80.3,79.19
OK,2020-01-27,AAXN,78.59,79.455,77.82,77.91,966624.0,77.91,80.4
OK,2020-01-28,AAXN,78.31,80.14,77.79,78.97,512653.0,78.97,78.31
OK,2020-01-29,AAXN,79.77,80.79,78.75,79.91,446386.0,79.95,79.77
OK,2020-01-30,AAXN,79.2,80.04,77.14,78.34,332151.0,78.9899,79.2
OK,2020-01-31,AAXN,78.16,78.61,76.375,76.81,537693.0,76.81,78.34
OK,2020-02-03,AAXN,77.37,78.29,76.5,77.59,511355.0,77.59,76.4
OK,2020-02-04,AAXN,78.99,82.49,78.6949,81.79,717268.0,81.75,78.99
OK,2020-02-05,AAXN,83.23,83.6277,79.77,81.81,614271.0,81.81,81.8501
OK,2020-02-06,AAXN,82.22,83.9,81.25,83.53,494711.0,83.53,79.0687
OK,2020-02-07,AAXN,83.36,83.85,81.67,82.85,309458.0,82.85,83.36
OK,2020-02-10,AAXN,82.88,85.73,82.78,85.44,648533.0,85.45,83.5
OK,2020-02-11,AAXN,86.04,87.51,84.89,87.14,531919.0,87.14,87.8911
OK,2020-02-12,AAXN,87.77,88.23,86.435,87.98,642472.0,86.99,89.5
OK,2020-02-13,AAXN,87.53,89.16,87.23,87.74,547707.0,87.74,86.0316
OK,2020-02-14,AAXN,87.86,88.44,86.7,87.11,592228.0,87.11,87.74
OK,2020-02-18,AAXN,87.22,87.73,86.12,87.31,446781.0,87.31,87.2
OK,2020-02-19,AAXN,87.88,90.1,87.46,88.9,549516.0,88.9,88.0
OK,2020-02-20,AAXN,86.15,87.89,82.33,86.46,886768.0,86.46,86.78
