status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2019-06-28,AB,29.3,29.73,29.02,29.72,218757.0,29.7,29.3
OK,2019-07-01,AB,30.0,30.15,29.76,29.9,251352.0,29.9,30.0
OK,2019-07-02,AB,29.95,30.1,29.75,29.83,168066.0,29.83,29.95
OK,2019-07-03,AB,29.82,30.3,29.81,30.3,162910.0,30.3,29.82
OK,2019-07-05,AB,30.3,30.45,29.76,30.21,204614.0,30.21,30.3
OK,2019-07-08,AB,30.06,30.45,29.89,30.21,147396.0,30.21,30.06
OK,2019-07-09,AB,30.17,30.36,29.9691,30.08,237351.0,30.08,29.45
OK,2019-07-10,AB,30.13,30.5,29.8,30.37,213883.0,30.35,30.13
OK,2019-07-11,AB,30.44,30.95,30.4,30.71,238672.0,30.75,30.24
OK,2019-07-12,AB,30.75,30.95,30.3,30.49,204022.0,30.51,30.75
OK,2019-07-15,AB,30.47,30.62,30.0,30.46,179476.0,30.46,30.47
OK,2019-07-16,AB,30.55,30.88,30.492,30.78,187255.0,30.78,30.48
OK,2019-07-17,AB,30.65,30.76,30.22,30.46,179776.0,30.47,30.65
OK,2019-07-18,AB,30.46,30.62,30.21,30.49,217240.0,30.48,30.46
OK,2019-07-19,AB,30.47,30.66,30.17,30.22,85388.0,30.22,30.47
OK,2019-07-22,AB,30.13,30.3,29.78,29.89,173283.0,29.89,30.13
OK,2019-07-23,AB,29.75,30.14,29.7,30.01,148147.0,30.01,29.95
OK,2019-07-24,AB,30.0,30.15,29.79,29.81,172678.0,29.81,30.0
OK,2019-07-25,AB,29.79,29.995,28.9,29.18,367304.0,29.18,29.76
OK,2019-07-26,AB,29.18,29.89,29.18,29.74,185741.0,29.75,29.18
OK,2019-07-29,AB,29.87,29.87,29.37,29.5,241041.0,29.5,29.8
OK,2019-07-30,AB,29.5,29.91,29.2,29.9,243329.0,29.6078,29.5
OK,2019-07-31,AB,29.89,30.46,29.65,30.17,280839.0,30.17,29.89
OK,2019-08-01,AB,30.2,30.24,29.37,29.41,545085.0,29.43,30.3
OK,2019-08-02,AB,28.91,29.22,28.4749,28.72,160031.0,28.72,28.91
OK,2019-08-05,AB,28.29,28.29,26.7988,27.03,530601.0,27.4,28.05
OK,2019-08-06,AB,27.15,28.27,27.15,28.15,195408.0,28.15,27.4
OK,2019-08-07,AB,27.7,28.11,27.4,28.0,231142.0,28.02,27.7
OK,2019-08-08,AB,28.25,28.4508,27.83,28.01,235523.0,27.985,28.25
OK,2019-08-09,AB,27.82,28.01,27.62,27.73,167304.0,27.73,27.82
OK,2019-08-12,AB,27.5,27.742,26.85,26.97,262337.0,26.96,27.5
OK,2019-08-13,AB,26.94,27.51,26.8802,27.43,281404.0,27.46,26.94
OK,2019-08-14,AB,26.93,27.106,26.49,26.51,278867.0,26.5,26.97
OK,2019-08-15,AB,26.52,26.92,26.29,26.38,263279.0,26.35,26.52
OK,2019-08-16,AB,26.5,27.21,26.39,27.03,161525.0,27.03,26.5
OK,2019-08-19,AB,27.03,27.61,27.03,27.36,259828.0,27.36,26.92
OK,2019-08-20,AB,27.4,27.82,27.1801,27.5,201006.0,27.5,27.4
OK,2019-08-21,AB,27.75,28.31,27.75,28.02,228839.0,28.02,27.75
OK,2019-08-22,AB,28.39,28.49,28.2,28.45,284480.0,28.45,28.39
OK,2019-08-23,AB,28.33,28.83,27.63,27.71,236561.0,27.72,28.33
OK,2019-08-26,AB,27.99,28.27,27.8889,28.11,153851.0,28.13,27.99
OK,2019-08-27,AB,28.1,28.4204,27.8,28.2,190062.0,28.2,28.1
OK,2019-08-28,AB,28.25,28.6,28.07,28.38,202817.0,28.4,28.25
OK,2019-08-29,AB,28.54,28.7128,28.43,28.59,115386.0,28.56,28.5299
OK,2019-08-30,AB,28.72,28.83,28.23,28.28,136574.0,28.29,28.72
OK,2019-09-03,AB,28.02,28.29,27.81,28.2,127944.0,28.2,28.02
OK,2019-09-04,AB,28.61,28.8,28.36,28.6,163028.0,28.86,28.61
OK,2019-09-05,AB,28.87,29.2,28.81,29.05,191235.0,29.01,28.87
OK,2019-09-06,AB,29.0,29.19,28.64,28.79,153179.0,28.8,29.0
OK,2019-09-09,AB,28.96,29.4,28.91,29.4,121303.0,29.4,28.96
OK,2019-09-10,AB,29.4,29.617,29.0426,29.25,151170.0,29.23,29.4
OK,2019-09-11,AB,28.99,29.83,28.91,29.75,241415.0,29.75,29.09
OK,2019-09-12,AB,29.75,30.1,29.52,29.98,394612.0,29.97,29.75
OK,2019-09-13,AB,30.08,30.15,29.17,29.56,313133.0,29.56,30.08
OK,2019-09-16,AB,29.49,29.91,29.4,29.66,193430.0,29.66,29.51
OK,2019-09-17,AB,29.53,29.94,29.44,29.48,181702.0,29.48,29.53
OK,2019-09-18,AB,29.55,29.78,29.35,29.53,109965.0,29.53,29.55
OK,2019-09-19,AB,29.4,29.65,29.341,29.4,88523.0,29.4,29.4
OK,2019-09-20,AB,29.35,29.57,29.29,29.36,74990.0,29.36,29.35
OK,2019-09-23,AB,29.25,29.7,29.2,29.29,146352.0,29.29,29.25
OK,2019-09-24,AB,29.42,29.505,28.58,28.81,223173.0,28.8,29.42
OK,2019-09-25,AB,28.72,29.07,28.65,29.02,115994.0,29.01,28.72
OK,2019-09-26,AB,29.14,29.53,28.9,29.48,159029.0,29.48,29.14
OK,2019-09-27,AB,29.68,29.68,28.865,29.38,177662.0,29.38,29.68
OK,2019-09-30,AB,29.54,29.54,29.12,29.35,121717.0,29.35,29.54
OK,2019-10-01,AB,29.4,29.4,28.8199,29.11,143670.0,29.0,29.4
OK,2019-10-02,AB,28.75,28.9007,28.06,28.34,206447.0,28.34,28.75
OK,2019-10-03,AB,28.22,28.67,28.1,28.6,163213.0,28.65,28.25
OK,2019-10-04,AB,28.41,28.86,28.4,28.7,140235.0,28.72,28.41
OK,2019-10-07,AB,28.5,28.98,28.41,28.89,149053.0,28.89,28.5
OK,2019-10-08,AB,28.55,28.92,28.45,28.47,106136.0,28.45,28.56
OK,2019-10-09,AB,28.52,28.7,28.25,28.57,135078.0,28.57,28.52
OK,2019-10-10,AB,28.57,28.83,28.51,28.77,158993.0,28.69,28.57
OK,2019-10-11,AB,28.9,29.0684,28.46,28.49,216883.0,28.49,28.95
OK,2019-10-14,AB,28.47,28.6726,28.15,28.17,230956.0,28.17,28.47
OK,2019-10-15,AB,28.08,28.2607,27.86,28.02,269097.0,28.02,28.08
OK,2019-10-16,AB,27.92,28.22,27.78,27.78,235895.0,27.78,27.92
OK,2019-10-17,AB,28.0,28.245,27.23,27.54,863512.0,27.56,28.0
OK,2019-10-18,AB,27.6,28.22,27.6,28.08,347520.0,28.08,27.6
OK,2019-10-21,AB,28.22,28.52,28.08,28.33,414589.0,28.33,28.22
OK,2019-10-22,AB,28.32,28.5099,27.83,27.84,355497.0,27.87,28.32
OK,2019-10-23,AB,27.84,28.3351,27.83,28.16,453565.0,28.16,27.84
OK,2019-10-24,AB,28.34,29.68,28.12,29.25,586560.0,29.25,28.2
OK,2019-10-25,AB,29.28,29.44,28.58,28.81,450387.0,28.81,29.28
OK,2019-10-28,AB,28.95,29.2,28.81,29.14,307826.0,29.05,29.0
OK,2019-10-29,AB,29.2,29.81,29.11,29.65,420204.0,29.65,29.2
OK,2019-10-30,AB,29.69,29.71,29.27,29.35,541392.0,29.35,29.69
OK,2019-10-31,AB,29.3,29.49,28.81,29.36,309273.0,29.3,29.3
OK,2019-11-01,AB,28.86,29.14,28.86,29.06,293192.0,29.2,29.0
OK,2019-11-04,AB,29.23,29.35,29.01,29.18,276363.0,29.16,29.5
OK,2019-11-05,AB,29.2,29.7,29.2,29.54,375234.0,29.52,29.2
OK,2019-11-06,AB,29.52,29.78,29.44,29.62,271679.0,29.62,29.54
OK,2019-11-07,AB,29.76,29.77,29.505,29.57,112544.0,29.57,29.76
OK,2019-11-08,AB,29.62,29.72,29.225,29.35,320070.0,29.34,29.62
OK,2019-11-11,AB,29.29,29.39,29.15,29.3,155499.0,29.3,29.29
OK,2019-11-12,AB,29.36,29.9,29.25,29.63,412346.0,29.63,29.36
OK,2019-11-13,AB,29.6,29.93,29.4,29.82,344595.0,29.82,29.6
OK,2019-11-14,AB,29.9,29.91,29.58,29.85,167371.0,29.87,29.9
OK,2019-11-15,AB,29.85,29.99,29.55,29.7,189161.0,29.71,29.85
OK,2019-11-18,AB,29.6,29.72,29.24,29.45,205958.0,29.42,29.6
OK,2019-11-19,AB,29.6,29.6304,29.33,29.44,160607.0,29.44,29.6
OK,2019-11-20,AB,29.36,29.48,29.0701,29.3,133526.0,29.3,29.35
OK,2019-11-21,AB,29.28,29.4412,29.02,29.23,129785.0,29.25,29.28
OK,2019-11-22,AB,29.3,29.48,29.09,29.2,105332.0,29.2,29.3
OK,2019-11-25,AB,29.26,29.35,28.85,28.96,276312.0,28.96,29.26
OK,2019-11-26,AB,29.01,29.1512,28.75,28.8,243729.0,28.8,29.01
OK,2019-11-27,AB,28.82,29.01,28.6812,28.88,163344.0,28.88,28.82
OK,2019-11-29,AB,29.17,29.42,28.93,28.97,178441.0,28.97,29.17
OK,2019-12-02,AB,28.97,28.99,28.345,28.61,322813.0,28.61,28.97
OK,2019-12-03,AB,28.35,28.81,28.2001,28.4,357945.0,28.4,28.35
OK,2019-12-04,AB,28.35,28.7794,28.35,28.69,294791.0,28.69,28.35
OK,2019-12-05,AB,28.6,28.85,28.4,28.66,351274.0,28.66,28.0
OK,2019-12-06,AB,28.85,29.4,28.85,29.32,319489.0,29.37,28.66
