status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2023-09-21,ABAT,11.8,13.78,10.29,11.15,942250.0,11.2,10.89
OK,2023-09-22,ABAT,10.79,11.2,10.57,10.85,334424.0,11.0,10.05
OK,2023-09-25,ABAT,10.85,10.88,9.8,9.95,245751.0,9.9986,10.85
OK,2023-09-26,ABAT,10.0,10.0,9.1,9.18,272227.0,9.8892,10.0
OK,2023-09-27,ABAT,9.7,9.73,8.52,8.75,325075.0,9.18,9.18
OK,2023-09-28,ABAT,9.14,9.14,8.0,8.42,264040.0,8.4,9.44
OK,2023-09-29,ABAT,8.43,8.69,8.43,8.62,98471.0,8.69,8.61
OK,2023-10-02,ABAT,8.82,8.84,7.75,7.86,249977.0,7.9,8.82
OK,2023-10-03,ABAT,7.9,8.0504,7.4101,7.44,135380.0,7.6,7.9
OK,2023-10-04,ABAT,7.49,7.49,7.15,7.15,150428.0,7.16,7.5
OK,2023-10-05,ABAT,7.24,7.4492,7.01,7.16,110862.0,7.2,7.2
OK,2023-10-06,ABAT,7.16,7.3,7.05,7.15,103810.0,7.075,7.2
OK,2023-10-09,ABAT,7.15,7.24,6.72,6.72,219662.0,6.693,7.5
OK,2023-10-10,ABAT,6.87,7.19,6.7506,6.89,190931.0,7.07,6.8
OK,2023-10-11,ABAT,7.97,8.0,6.8,6.88,621768.0,7.05,7.08
OK,2023-10-12,ABAT,7.13,7.25,6.93,7.14,248910.0,7.2,7.0
OK,2023-10-13,ABAT,7.18,7.54,6.85,7.54,235987.0,7.4,7.18
OK,2023-10-16,ABAT,7.66,7.885,7.57,7.64,200645.0,7.62,7.66
OK,2023-10-17,ABAT,7.75,7.75,7.03,7.1,167503.0,7.37,7.75
OK,2023-10-18,ABAT,7.1,7.69,6.72,6.72,194609.0,6.9,7.1
OK,2023-10-19,ABAT,6.9,7.1697,6.68,6.73,169059.0,6.6647,6.72
OK,2023-10-20,ABAT,6.75,6.81,6.0401,6.11,355419.0,6.0,6.82
OK,2023-10-23,ABAT,6.05,6.1,5.43,5.55,373985.0,5.78,6.0902
OK,2023-10-24,ABAT,5.51,5.71,5.47,5.57,167234.0,5.57,5.57
OK,2023-10-25,ABAT,5.73,5.75,4.6,4.64,484880.0,4.6501,5.85
OK,2023-10-26,ABAT,4.54,4.9088,3.79,3.9,1002521.0,4.0499,4.81
OK,2023-10-27,ABAT,4.08,4.25,3.33,4.24,865176.0,4.2701,4.14
OK,2023-10-30,ABAT,4.46,5.409,4.12,5.39,704704.0,5.28,4.28
OK,2023-10-31,ABAT,5.5,5.5,4.795,4.86,483794.0,4.93,5.35
OK,2023-11-01,ABAT,4.84,4.91,4.0,4.18,660121.0,4.33,4.53
OK,2023-11-02,ABAT,4.27,4.61,4.0563,4.59,342243.0,4.65,4.34
OK,2023-11-03,ABAT,4.59,4.7836,4.3,4.59,280240.0,4.5001,4.7
OK,2023-11-06,ABAT,4.59,4.7,4.3501,4.45,175092.0,4.4,4.35
OK,2023-11-07,ABAT,4.45,4.45,4.21,4.3,195403.0,4.29,4.45
OK,2023-11-08,ABAT,4.3,4.64,4.2,4.5,184068.0,4.5,4.3
OK,2023-11-09,ABAT,4.48,4.69,4.36,4.39,180699.0,4.39,4.48
OK,2023-11-10,ABAT,4.4,4.4,4.11,4.15,271852.0,4.27,4.4
OK,2023-11-13,ABAT,4.22,4.243,3.868,4.06,305955.0,4.18,4.22
OK,2023-11-14,ABAT,4.25,4.37,3.88,4.37,266490.0,4.35,4.25
OK,2023-11-15,ABAT,4.32,4.3799,3.96,4.2,452294.0,4.19,4.44
OK,2023-11-16,ABAT,4.2,4.42,4.0,4.04,281506.0,4.02,4.2
OK,2023-11-17,ABAT,4.05,4.13,3.85,4.09,264137.0,4.06,4.021
OK,2023-11-20,ABAT,4.1,4.42,4.051,4.11,230938.0,4.28,4.3
OK,2023-11-21,ABAT,4.1,4.2,3.98,4.11,143576.0,3.95,4.22
OK,2023-11-22,ABAT,4.19,4.27,3.96,4.11,263780.0,4.01,4.19
OK,2023-11-24,ABAT,4.01,4.46,4.0,4.36,183223.0,4.36,4.01
OK,2023-11-27,ABAT,4.28,4.28,4.06,4.13,249380.0,4.11,4.14
OK,2023-11-28,ABAT,4.1,4.33,3.95,4.3,348167.0,4.18,4.16
OK,2023-11-29,ABAT,4.31,4.33,4.15,4.29,274286.0,4.31,4.31
OK,2023-11-30,ABAT,4.2,4.61,4.1781,4.35,301975.0,4.35,4.3198
OK,2023-12-01,ABAT,4.29,4.43,4.17,4.33,244085.0,4.45,4.29
OK,2023-12-04,ABAT,4.41,4.92,4.33,4.54,617099.0,4.43,4.35
OK,2023-12-05,ABAT,4.52,4.52,4.05,4.08,772727.0,4.01,4.75
OK,2023-12-06,ABAT,4.1,4.25,3.95,3.98,589035.0,4.03,4.1
OK,2023-12-07,ABAT,4.0,4.31,3.95,4.1,426606.0,4.1781,4.01
OK,2023-12-08,ABAT,4.11,4.2097,3.9999,4.0,480487.0,4.0,4.09
OK,2023-12-11,ABAT,4.01,4.15,3.95,4.02,532228.0,4.0,4.01
OK,2023-12-12,ABAT,4.05,4.11,3.9,4.03,466337.0,4.03,4.15
OK,2023-12-13,ABAT,4.05,4.34,3.94,4.19,830701.0,4.28,4.05
OK,2023-12-14,ABAT,4.19,4.69,4.19,4.66,1178561.0,4.68,4.13
OK,2023-12-15,ABAT,4.69,5.27,4.68,5.07,3105143.0,5.18,4.68
OK,2023-12-18,ABAT,5.07,5.8399,4.95,5.75,1200407.0,5.82,5.09
OK,2023-12-19,ABAT,5.92,6.35,5.675,6.31,1337587.0,6.36,5.97
OK,2023-12-20,ABAT,6.41,6.45,5.2801,5.31,978674.0,5.35,6.38
OK,2023-12-21,ABAT,6.15,6.15,5.5,5.62,953912.0,5.64,5.32
OK,2023-12-22,ABAT,5.65,5.75,5.44,5.56,484204.0,5.5,6.05
OK,2023-12-26,ABAT,5.43,5.55,4.87,4.99,784639.0,5.01,5.28
OK,2023-12-27,ABAT,5.0,5.065,4.87,4.925,337663.0,4.9001,5.02
OK,2023-12-28,ABAT,4.96,5.07,4.8601,4.97,233247.0,4.99,4.9142
OK,2023-12-29,ABAT,4.97,4.97,4.66,4.69,463462.0,4.54,4.97
OK,2024-01-02,ABAT,4.63,4.68,4.35,4.405,298537.0,4.4101,4.65
OK,2024-01-03,ABAT,4.49,4.515,4.2,4.23,253631.0,4.23,4.53
OK,2024-01-04,ABAT,4.25,4.33,4.11,4.25,427430.0,4.255,4.25
OK,2024-01-05,ABAT,4.38,4.41,4.01,4.15,564550.0,4.14,4.25
OK,2024-01-08,ABAT,4.15,4.17,3.98,4.12,350337.0,4.1484,4.2001
OK,2024-01-09,ABAT,4.09,4.15,3.99,4.09,325390.0,4.09,4.09
OK,2024-01-10,ABAT,4.06,4.1,3.85,3.9,545848.0,4.14,4.08
OK,2024-01-11,ABAT,3.9,3.925,3.6,3.62,471583.0,3.63,3.99
OK,2024-01-12,ABAT,3.65,3.71,3.48,3.56,634783.0,3.4,3.78
OK,2024-01-16,ABAT,3.5,3.6,3.26,3.28,678648.0,3.15,3.61
OK,2024-01-17,ABAT,3.25,3.28,2.33,2.69,2774484.0,2.74,3.15
OK,2024-01-18,ABAT,2.88,3.3699,2.52,2.97,1558522.0,3.15,2.72
OK,2024-01-19,ABAT,2.97,2.97,2.6,2.605,729065.0,2.67,2.97
OK,2024-01-22,ABAT,2.62,2.87,2.51,2.85,941118.0,3.0,2.59
OK,2024-01-23,ABAT,2.93,2.9598,2.56,2.81,1232252.0,2.8099,2.93
OK,2024-01-24,ABAT,2.83,3.13,2.68,2.71,974903.0,2.67,2.81
OK,2024-01-25,ABAT,2.7,2.78,2.5,2.78,777174.0,2.8,2.7
OK,2024-01-26,ABAT,2.75,2.91,2.7066,2.84,358377.0,2.85,2.75
OK,2024-01-29,ABAT,2.9,2.99,2.75,2.89,520856.0,2.8255,2.98
OK,2024-01-30,ABAT,2.9,2.9,2.65,2.8,754835.0,2.7902,2.89
