status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2019-06-28,ABBV,70.58,72.74,70.33,72.72,21382539.0,72.84,70.25
OK,2019-07-01,ABBV,73.5,73.85,72.28,73.4,18105527.0,73.4,73.09
OK,2019-07-02,ABBV,73.2,74.25,72.32,74.23,12864936.0,74.28,73.1
OK,2019-07-03,ABBV,74.35,74.97,73.78,74.96,7434087.0,74.8,74.4
OK,2019-07-05,ABBV,74.65,74.79,72.61,72.99,10833032.0,73.0,74.99
OK,2019-07-08,ABBV,72.52,73.0,70.88,71.22,13487564.0,71.25,73.05
OK,2019-07-09,ABBV,71.18,72.45,70.89,71.24,11832625.0,71.27,71.1
OK,2019-07-10,ABBV,71.58,71.74,70.96,71.65,9170485.0,71.8,71.22
OK,2019-07-11,ABBV,72.3,72.4,69.85,71.24,13001112.0,71.25,71.93
OK,2019-07-12,ABBV,70.3,70.3,68.54,70.28,12903199.0,70.12,70.17
OK,2019-07-15,ABBV,70.31,71.02,69.7,70.27,10253729.0,70.27,70.12
OK,2019-07-16,ABBV,70.15,70.3,69.13,69.16,10141730.0,69.2,70.3
OK,2019-07-17,ABBV,69.33,69.86,68.31,68.32,12205015.0,68.25,69.32
OK,2019-07-18,ABBV,68.57,68.95,68.0,68.25,8573493.0,68.25,68.5
OK,2019-07-19,ABBV,68.14,68.82,68.1,68.54,9806953.0,68.6,68.51
OK,2019-07-22,ABBV,68.5,68.75,67.84,68.0,9962180.0,68.0,68.6
OK,2019-07-23,ABBV,68.0,68.44,67.6,67.73,8025376.0,67.89,68.3
OK,2019-07-24,ABBV,67.77,67.8936,66.76,67.46,12595341.0,67.59,67.7
OK,2019-07-25,ABBV,67.46,67.87,66.5,66.66,12403560.0,67.25,67.62
OK,2019-07-26,ABBV,67.64,69.14,67.37,67.76,12259814.0,67.6,68.35
OK,2019-07-29,ABBV,67.87,68.41,66.88,67.18,10117367.0,67.2899,67.52
OK,2019-07-30,ABBV,66.92,67.53,66.26,67.18,8143741.0,66.95,67.4
OK,2019-07-31,ABBV,66.91,67.38,65.63,66.62,11300284.0,66.74,67.0
OK,2019-08-01,ABBV,66.93,67.2,65.11,65.8,13106841.0,65.8,66.75
OK,2019-08-02,ABBV,65.5,65.785,65.03,65.35,9653932.0,65.45,65.15
OK,2019-08-05,ABBV,64.98,66.12,64.54,65.23,11619289.0,64.61,65.5
OK,2019-08-06,ABBV,65.27,65.84,64.29,64.77,10248953.0,64.75,65.5
OK,2019-08-07,ABBV,64.38,64.9,63.31,64.46,10532229.0,64.5,65.99
OK,2019-08-08,ABBV,64.79,65.45,64.33,65.45,7428073.0,65.35,64.75
OK,2019-08-09,ABBV,65.37,66.87,64.29,65.58,10893802.0,65.71,65.4
OK,2019-08-12,ABBV,65.24,65.4799,64.075,64.53,5614363.0,64.53,65.49
OK,2019-08-13,ABBV,64.86,65.925,64.64,65.01,7219046.0,65.16,64.56
OK,2019-08-14,ABBV,64.5,64.9899,63.5,63.5,9373409.0,63.55,65.0
OK,2019-08-15,ABBV,64.12,64.24,62.66,62.98,9402507.0,63.18,64.0
OK,2019-08-16,ABBV,63.51,64.81,63.07,64.43,8638354.0,64.5,63.47
OK,2019-08-19,ABBV,65.04,66.875,64.975,66.56,9926756.0,66.56,64.95
OK,2019-08-20,ABBV,67.38,68.462,66.33,66.41,12222963.0,67.1,67.46
