status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2019-06-28,ABC,85.83,86.26,85.055,85.26,1565549.0,85.26,85.83
OK,2019-07-01,ABC,85.78,85.91,84.65,85.59,1193917.0,85.59,85.87
OK,2019-07-02,ABC,85.59,86.05,84.52,85.46,1043844.0,85.46,85.59
OK,2019-07-03,ABC,86.11,88.78,86.075,87.59,1066475.0,87.59,85.48
OK,2019-07-05,ABC,87.4,88.86,86.58,87.97,710450.0,87.97,87.4
OK,2019-07-08,ABC,87.62,88.06,86.54,87.83,968757.0,87.83,87.62
OK,2019-07-09,ABC,87.42,88.75,87.17,88.23,1121680.0,88.23,87.42
OK,2019-07-10,ABC,88.83,89.77,88.1,89.3,1543151.0,89.3,87.98
OK,2019-07-11,ABC,91.76,94.2,89.79,90.53,2191284.0,90.53,89.75
OK,2019-07-12,ABC,90.4,91.3,88.87,89.85,1495238.0,89.85,90.4
OK,2019-07-15,ABC,90.01,90.4,88.955,89.93,810182.0,89.93,90.01
OK,2019-07-16,ABC,89.87,89.9,88.755,89.0,942872.0,89.0,89.87
OK,2019-07-17,ABC,88.39,88.522,84.62,85.46,2198529.0,85.46,88.75
OK,2019-07-18,ABC,85.48,87.0,84.55,86.76,1191020.0,86.76,85.48
OK,2019-07-19,ABC,86.64,86.64,85.09,85.52,928505.0,85.52,86.55
OK,2019-07-22,ABC,85.85,86.18,84.93,85.05,840338.0,85.05,85.85
OK,2019-07-23,ABC,85.27,86.16,84.77,85.81,812692.0,85.81,85.27
OK,2019-07-24,ABC,86.01,87.04,85.6,86.89,757380.0,86.89,85.81
OK,2019-07-25,ABC,87.23,87.62,85.54,85.93,596029.0,85.93,87.23
OK,2019-07-26,ABC,86.26,86.685,85.585,86.12,723539.0,86.12,86.26
OK,2019-07-29,ABC,86.11,87.2579,86.1,87.23,803040.0,87.23,86.11
OK,2019-07-30,ABC,86.5,89.01,85.48,88.72,1414388.0,88.72,86.5
OK,2019-07-31,ABC,88.72,88.73,85.53,87.15,1503444.0,87.15,88.72
