status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2019-06-28,ABCB,39.17,39.6,38.51,39.19,4545576.0,39.0,39.17
OK,2019-07-01,ABCB,39.1,40.03,37.95,39.8,2589446.0,39.8,39.04
OK,2019-07-02,ABCB,39.82,40.335,39.16,39.61,1036514.0,39.61,39.82
OK,2019-07-03,ABCB,39.64,40.0,38.94,39.04,593535.0,39.04,39.64
OK,2019-07-05,ABCB,39.38,39.63,38.98,39.36,359162.0,39.36,39.38
OK,2019-07-08,ABCB,39.07,39.135,38.3,38.64,429982.0,38.64,39.07
OK,2019-07-09,ABCB,38.54,38.88,38.3401,38.84,403975.0,38.84,38.54
OK,2019-07-10,ABCB,38.89,38.985,38.47,38.66,514950.0,38.66,38.89
OK,2019-07-11,ABCB,38.81,38.81,38.35,38.6,634805.0,38.68,38.81
OK,2019-07-12,ABCB,38.97,39.21,38.54,38.95,438381.0,38.95,38.94
OK,2019-07-15,ABCB,38.9,38.91,37.55,37.79,382088.0,37.79,38.96
OK,2019-07-16,ABCB,37.79,38.22,37.57,37.85,426744.0,37.85,37.79
OK,2019-07-17,ABCB,37.74,37.74,37.19,37.29,338255.0,37.29,37.74
OK,2019-07-18,ABCB,37.33,37.73,37.036,37.63,370757.0,37.63,37.33
OK,2019-07-19,ABCB,37.51,38.63,37.51,37.78,369324.0,37.78,37.59
OK,2019-07-22,ABCB,37.76,37.93,37.09,37.3,272722.0,37.3,37.76
OK,2019-07-23,ABCB,37.41,37.805,37.35,37.49,505165.0,37.49,37.41
OK,2019-07-24,ABCB,37.36,38.66,37.0235,38.57,420996.0,38.57,37.36
OK,2019-07-25,ABCB,38.75,39.05,38.2,38.45,503023.0,38.45,38.71
OK,2019-07-26,ABCB,39.01,40.03,38.605,39.76,548566.0,39.76,39.01
OK,2019-07-29,ABCB,39.7,39.985,39.16,39.25,417773.0,39.25,39.7
OK,2019-07-30,ABCB,38.87,40.0,38.84,39.97,329845.0,39.97,38.91
OK,2019-07-31,ABCB,40.0,40.4344,39.64,39.77,644560.0,39.77,40.0
OK,2019-08-01,ABCB,38.45,40.19,38.28,38.58,728747.0,38.58,39.66
OK,2019-08-02,ABCB,38.46,38.55,37.535,38.17,267937.0,38.17,38.47
OK,2019-08-05,ABCB,37.34,37.4,36.25,36.73,427460.0,36.73,37.34
OK,2019-08-06,ABCB,37.0,37.1,36.14,36.94,291956.0,36.94,37.0
OK,2019-08-07,ABCB,36.26,36.83,35.885,36.7,250704.0,36.7,36.48
OK,2019-08-08,ABCB,36.98,37.99,36.98,37.9,276950.0,37.9,36.98
OK,2019-08-09,ABCB,37.69,37.87,37.44,37.63,259345.0,37.63,37.69
OK,2019-08-12,ABCB,37.13,37.13,36.4,36.42,252334.0,36.42,37.15
OK,2019-08-13,ABCB,36.41,37.505,36.41,36.98,249359.0,36.98,36.41
OK,2019-08-14,ABCB,35.99,36.36,35.27,35.48,282507.0,35.48,36.05
OK,2019-08-15,ABCB,35.55,35.73,35.0202,35.25,358157.0,35.25,35.55
OK,2019-08-16,ABCB,35.47,36.5,35.42,36.43,447956.0,36.43,35.47
OK,2019-08-19,ABCB,37.04,37.14,36.65,36.84,245023.0,36.84,37.04
OK,2019-08-20,ABCB,36.55,36.815,36.3,36.6,211885.0,36.6,36.61
OK,2019-08-21,ABCB,36.94,36.97,36.595,36.62,313127.0,36.62,36.6
OK,2019-08-22,ABCB,36.92,37.07,36.43,36.7,166093.0,36.7,36.91
OK,2019-08-23,ABCB,36.38,36.95,34.86,35.0,388800.0,35.0,36.37
OK,2019-08-26,ABCB,35.33,35.55,34.68,35.31,293521.0,35.31,35.33
OK,2019-08-27,ABCB,35.53,35.53,33.95,34.16,281417.0,34.16,35.53
OK,2019-08-28,ABCB,34.09,35.04,34.09,34.76,247490.0,34.76,34.09
OK,2019-08-29,ABCB,35.07,35.57,34.84,35.39,199732.0,35.39,35.07
OK,2019-08-30,ABCB,35.51,36.06,35.0,35.19,173259.0,35.19,35.51
OK,2019-09-03,ABCB,34.71,34.83,33.71,33.96,330082.0,33.96,34.74
OK,2019-09-04,ABCB,34.23,34.4601,33.97,34.15,227491.0,34.15,34.23
OK,2019-09-05,ABCB,34.71,35.62,34.575,35.22,341665.0,35.22,34.7
OK,2019-09-06,ABCB,35.27,35.49,35.0,35.17,279339.0,35.17,35.27
OK,2019-09-09,ABCB,35.23,35.89,34.67,35.59,541878.0,35.59,35.23
OK,2019-09-10,ABCB,35.78,36.87,35.73,36.83,402033.0,36.83,35.78
OK,2019-09-11,ABCB,36.85,37.76,36.39,37.72,518709.0,37.72,36.85
OK,2019-09-12,ABCB,37.48,38.81,37.21,38.67,584888.0,38.67,37.48
OK,2019-09-13,ABCB,39.05,39.86,38.71,39.42,582353.0,39.42,39.05
OK,2019-09-16,ABCB,38.89,39.74,38.77,39.23,467459.0,39.23,38.93
OK,2019-09-17,ABCB,38.96,39.015,38.33,38.76,324891.0,38.76,39.06
OK,2019-09-18,ABCB,38.55,39.63,38.5,39.55,489658.0,39.55,38.56
OK,2019-09-19,ABCB,39.51,39.96,39.1,39.15,392655.0,39.47,39.51
OK,2019-09-20,ABCB,39.24,40.24,39.16,39.68,2129135.0,39.68,39.24
OK,2019-09-23,ABCB,39.3,39.76,38.95,39.6,332046.0,39.6,39.3
OK,2019-09-24,ABCB,39.79,39.95,39.34,39.64,739454.0,39.64,39.79
OK,2019-09-25,ABCB,39.5,40.08,39.4,39.86,444908.0,39.86,39.5
OK,2019-09-26,ABCB,39.67,40.03,39.44,39.51,316099.0,39.51,39.67
OK,2019-09-27,ABCB,39.67,40.31,39.66,40.26,512896.0,40.26,39.67
