status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2022-06-27,ABCL,10.68,10.69,10.025,10.27,3133326.0,10.56,10.97
OK,2022-06-28,ABCL,10.22,10.485,9.97,10.26,2121880.0,10.5,10.3261
OK,2022-06-29,ABCL,10.17,10.41,9.855,10.11,3132493.0,10.12,10.37
OK,2022-06-30,ABCL,9.98,10.95,9.94,10.65,3061669.0,10.456,10.11
OK,2022-07-01,ABCL,10.61,10.92,10.43,10.64,1979933.0,10.52,10.22
OK,2022-07-05,ABCL,10.33,10.55,10.06,10.38,2620716.0,10.48,10.3094
OK,2022-07-06,ABCL,10.37,10.84,10.31,10.58,1870148.0,10.68,10.38
OK,2022-07-07,ABCL,10.55,11.595,10.4935,11.49,2490631.0,11.51,10.68
OK,2022-07-08,ABCL,11.34,11.88,11.07,11.58,1604976.0,11.67,11.51
OK,2022-07-11,ABCL,11.44,11.65,11.085,11.11,1199429.0,11.11,11.57
OK,2022-07-12,ABCL,11.2,11.485,10.91,11.39,1599320.0,11.35,11.27
OK,2022-07-13,ABCL,11.11,12.0,11.01,11.32,1637066.0,11.2,11.28
OK,2022-07-14,ABCL,11.3,11.41,10.91,11.1,1839048.0,11.1,11.32
OK,2022-07-15,ABCL,10.95,11.0396,10.09,10.54,3313892.0,10.24,11.11
OK,2022-07-18,ABCL,10.69,10.86,10.34,10.45,1796771.0,10.3,10.6
OK,2022-07-19,ABCL,10.58,10.83,10.47,10.65,1241546.0,10.55,10.55
OK,2022-07-20,ABCL,10.63,11.13,10.3103,10.65,1803520.0,10.5,10.75
OK,2022-07-21,ABCL,10.65,10.66,10.36,10.47,1399683.0,10.44,10.65
OK,2022-07-22,ABCL,10.48,10.48,9.93,10.07,1586779.0,10.02,10.39
OK,2022-07-25,ABCL,10.08,10.225,9.91,10.1,1203669.0,9.8,10.08
OK,2022-07-26,ABCL,10.11,10.355,9.8736,10.19,1280959.0,10.19,10.08
OK,2022-07-27,ABCL,10.24,10.63,10.025,10.51,1202867.0,10.5,10.5
OK,2022-07-28,ABCL,10.56,10.64,10.2,10.43,946472.0,10.61,10.8
OK,2022-07-29,ABCL,10.41,10.6,10.01,10.04,1830083.0,10.07,10.42
OK,2022-08-01,ABCL,10.04,10.195,9.88,10.145,1981541.0,10.01,10.06
OK,2022-08-02,ABCL,10.11,11.005,10.11,10.72,1733116.0,10.6,10.0
OK,2022-08-03,ABCL,10.93,11.01,10.645,10.98,1084422.0,11.11,10.92
OK,2022-08-04,ABCL,11.0,11.46,11.0,11.33,1343902.0,11.38,11.01
OK,2022-08-05,ABCL,11.12,11.655,10.87,11.32,1661083.0,11.35,11.33
OK,2022-08-08,ABCL,11.65,11.92,11.045,11.76,3015868.0,12.0,11.33
OK,2022-08-09,ABCL,11.8,11.92,10.86,11.11,2718839.0,10.11,11.99
OK,2022-08-10,ABCL,10.72,13.74,10.64,13.34,7495171.0,13.15,10.49
OK,2022-08-11,ABCL,13.35,14.5,12.96,13.36,4235413.0,13.18,12.96
OK,2022-08-12,ABCL,13.51,13.97,13.14,13.68,1836582.0,13.89,13.54
OK,2022-08-15,ABCL,13.7,14.08,13.48,13.54,1647525.0,13.6,13.68
OK,2022-08-16,ABCL,13.47,13.53,12.645,12.75,2407792.0,12.76,13.57
OK,2022-08-17,ABCL,12.56,13.13,12.27,13.01,2335237.0,13.1,12.75
OK,2022-08-18,ABCL,12.97,12.99,12.12,12.45,1978902.0,12.4,12.9
OK,2022-08-19,ABCL,12.32,12.39,11.1401,11.44,3320022.0,11.44,12.19
OK,2022-08-22,ABCL,11.22,11.46,10.61,11.01,2563542.0,11.25,11.28
OK,2022-08-23,ABCL,11.09,11.61,11.01,11.47,1693629.0,12.12,11.1
OK,2022-08-24,ABCL,11.53,11.97,11.38,11.85,1196239.0,11.83,11.56
OK,2022-08-25,ABCL,12.0,12.2,11.65,12.18,1137205.0,12.25,12.05
OK,2022-08-26,ABCL,12.15,12.17,11.1,11.26,1813447.0,11.11,12.16
OK,2022-08-29,ABCL,11.07,11.35,10.59,10.63,1643421.0,10.63,11.5
OK,2022-08-30,ABCL,10.83,10.86,10.35,10.66,1591261.0,10.6,10.95
OK,2022-08-31,ABCL,10.82,10.92,10.54,10.68,767561.0,10.45,10.6701
OK,2022-09-01,ABCL,10.54,11.09,10.47,11.07,1415686.0,11.08,10.25
OK,2022-09-02,ABCL,11.18,11.2,10.69,10.84,1024929.0,11.0,10.17
OK,2022-09-06,ABCL,10.94,10.94,10.43,10.46,1265309.0,10.46,11.0
OK,2022-09-07,ABCL,10.49,10.94,10.4,10.86,1205436.0,10.86,10.5
OK,2022-09-08,ABCL,10.73,11.32,10.71,11.3,1047966.0,11.26,10.9399
OK,2022-09-09,ABCL,11.39,11.57,11.19,11.2,1003701.0,11.2,11.4
OK,2022-09-12,ABCL,11.22,11.275,10.98,11.08,1166933.0,11.12,11.2
OK,2022-09-13,ABCL,10.71,10.86,10.6,10.74,1227378.0,10.67,11.44
OK,2022-09-14,ABCL,10.76,10.885,10.5501,10.84,1211952.0,10.81,10.76
OK,2022-09-15,ABCL,10.78,11.12,10.77,10.88,1370408.0,10.71,11.04
OK,2022-09-16,ABCL,10.7,10.76,10.28,10.35,2203569.0,10.48,10.6
OK,2022-09-19,ABCL,10.21,10.44,9.8,10.42,2101212.0,10.4,10.24
OK,2022-09-20,ABCL,10.24,10.455,10.13,10.29,914447.0,10.15,10.34
OK,2022-09-21,ABCL,10.33,10.58,10.01,10.23,1447072.0,10.33,10.38
OK,2022-09-22,ABCL,10.14,10.175,9.57,9.69,1615462.0,9.69,10.0512
OK,2022-09-23,ABCL,9.59,9.61,9.09,9.2,1792564.0,9.2,9.5
OK,2022-09-26,ABCL,9.19,9.5101,9.0913,9.22,1846102.0,9.1,9.19
OK,2022-09-27,ABCL,9.36,9.515,9.24,9.43,1693494.0,9.39,9.44
OK,2022-09-28,ABCL,9.54,10.05,9.525,9.97,2268581.0,9.97,9.38
OK,2022-09-29,ABCL,9.82,9.905,9.575,9.85,1913292.0,9.62,9.88
OK,2022-09-30,ABCL,9.77,10.105,9.73,9.89,1778267.0,9.89,9.82
OK,2022-10-03,ABCL,10.08,10.32,9.68,10.25,2791842.0,10.49,9.97
OK,2022-10-04,ABCL,10.51,11.24,10.34,11.24,2597128.0,11.2,10.2773
