status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2022-06-27,ABEO,4.35,4.75,4.35,4.5775,56620.64,4.625,4.45
OK,2022-06-28,ABEO,4.3875,5.0925,4.3875,4.605,112634.0,4.7525,4.275
OK,2022-06-29,ABEO,4.8075,5.33,4.5,5.0,92403.76,4.7525,4.6875
OK,2022-06-30,ABEO,5.0175,5.2,4.6875,5.2,90231.64,4.7,4.775
OK,2022-07-01,ABEO,5.045,5.125,4.625,4.79,113255.04,4.5,5.0
OK,2022-07-05,ABEO,3.76,4.55,3.7,4.08,474873.0,4.21,3.61
OK,2022-07-06,ABEO,3.97,4.18,3.75,3.8,192573.0,3.8,4.4
OK,2022-07-07,ABEO,3.84,4.84,3.8,4.52,298193.0,4.68,3.85
OK,2022-07-08,ABEO,4.44,5.63,4.4,5.49,560423.0,5.49,4.67
OK,2022-07-11,ABEO,5.63,6.1299,5.51,5.56,363427.0,5.53,5.5
OK,2022-07-12,ABEO,5.47,5.7401,5.1401,5.46,447682.0,5.45,5.28
OK,2022-07-13,ABEO,5.33,5.53,5.0,5.05,134320.0,5.08,5.26
OK,2022-07-14,ABEO,5.0,5.0018,4.75,4.76,105433.0,4.8,5.0
OK,2022-07-15,ABEO,4.76,5.0899,4.7301,4.85,188359.0,4.89,4.76
OK,2022-07-18,ABEO,5.0,5.0,4.65,4.7,54876.0,4.65,5.0
OK,2022-07-19,ABEO,4.72,4.91,4.7001,4.86,78216.0,4.8,4.72
OK,2022-07-20,ABEO,4.9,5.1499,4.8686,5.08,120549.0,5.08,4.9
OK,2022-07-21,ABEO,5.12,5.15,4.96,5.1,59296.0,5.1,5.33
OK,2022-07-22,ABEO,5.14,5.14,4.79,4.84,55419.0,4.8,5.14
OK,2022-07-25,ABEO,4.77,4.77,4.27,4.29,85172.0,4.01,4.77
OK,2022-07-26,ABEO,4.24,4.24,3.985,4.0,56112.0,4.07,4.19
OK,2022-07-27,ABEO,4.0,4.11,3.85,3.91,85078.0,3.95,3.98
OK,2022-07-28,ABEO,3.91,4.2699,3.91,4.14,112339.0,3.94,3.91
OK,2022-07-29,ABEO,4.09,4.185,3.9101,3.96,99188.0,4.0,4.09
OK,2022-08-01,ABEO,3.9,4.07,3.8101,3.9,36148.0,3.95,3.9
OK,2022-08-02,ABEO,3.9,4.2,3.831,3.91,131369.0,3.86,3.9
OK,2022-08-03,ABEO,3.95,4.2,3.95,4.01,429740.0,4.4,4.02
OK,2022-08-04,ABEO,4.26,4.8,4.25,4.26,995197.0,4.15,4.35
OK,2022-08-05,ABEO,4.2,4.4199,4.1,4.2,488075.0,4.2,4.16
OK,2022-08-08,ABEO,4.25,4.3899,3.97,4.02,351899.0,4.01,4.2
OK,2022-08-09,ABEO,4.0,4.0339,3.88,3.95,163671.0,3.88,4.08
