status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2022-06-27,ABG,180.68,180.68,175.13,178.36,166267.0,178.36,180.68
OK,2022-06-28,ABG,179.59,182.6,174.0855,175.04,158773.0,175.04,179.59
OK,2022-06-29,ABG,174.22,174.9,171.1,174.27,135688.0,174.27,174.22
OK,2022-06-30,ABG,171.51,172.355,164.63,169.34,238754.0,169.34,171.51
OK,2022-07-01,ABG,168.66,174.98,167.64,173.28,109882.0,173.28,169.34
OK,2022-07-05,ABG,169.0,178.34,167.9,177.79,156817.0,177.79,169.0
OK,2022-07-06,ABG,176.58,178.45,166.87,169.4,193895.0,169.4,176.58
OK,2022-07-07,ABG,171.19,176.72,171.19,174.69,156702.0,174.69,171.19
OK,2022-07-08,ABG,174.8,176.61,171.08,171.24,88470.0,171.24,174.8
OK,2022-07-11,ABG,169.95,169.95,163.4312,163.69,118917.0,163.69,169.95
OK,2022-07-12,ABG,163.69,170.995,163.69,165.9,161044.0,165.9,163.69
OK,2022-07-13,ABG,163.94,165.4511,159.57,161.5,202869.0,161.5,163.94
OK,2022-07-14,ABG,156.81,159.05,147.955,150.98,419563.0,150.98,156.81
OK,2022-07-15,ABG,154.05,162.78,152.99,161.28,247643.0,161.28,155.45
OK,2022-07-18,ABG,163.25,169.61,161.25,166.0,158099.0,166.0,163.25
OK,2022-07-19,ABG,168.97,176.09,166.42,174.96,157265.0,174.96,168.97
OK,2022-07-20,ABG,171.69,174.98,168.19,172.74,300583.0,172.74,171.69
OK,2022-07-21,ABG,170.87,170.87,162.95,167.1,163763.0,167.1,170.87
OK,2022-07-22,ABG,168.22,172.54,165.14,167.22,125655.0,167.22,168.22
OK,2022-07-25,ABG,168.23,168.385,163.53,164.47,115527.0,164.47,168.23
OK,2022-07-26,ABG,161.18,164.13,159.1,160.58,212603.0,160.56,161.18
OK,2022-07-27,ABG,161.46,164.44,157.38,163.53,147510.0,163.53,161.46
OK,2022-07-28,ABG,165.16,172.07,159.05,171.96,252783.0,172.0,166.75
OK,2022-07-29,ABG,171.69,173.68,166.13,171.64,214937.0,171.64,171.69
OK,2022-08-01,ABG,170.49,184.24,169.95,180.75,282368.0,180.75,170.49
OK,2022-08-02,ABG,180.32,180.32,174.095,174.8,192156.0,174.8,180.32
OK,2022-08-03,ABG,175.37,181.21,174.3,178.5,170471.0,178.5,175.37
OK,2022-08-04,ABG,178.99,180.085,176.34,176.89,100171.0,176.89,178.99
OK,2022-08-05,ABG,175.63,182.06,175.63,179.22,90476.0,179.22,176.01
OK,2022-08-08,ABG,179.63,185.44,178.08,180.61,99794.0,180.61,179.63
