status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2022-06-27,ABIO,2.44,2.53,2.4117,2.5,26558.0,2.51,2.44
OK,2022-06-28,ABIO,2.5299,2.53,2.43,2.46,26394.0,2.39,2.38
OK,2022-06-29,ABIO,2.4,2.5,2.28,2.5,60756.0,2.48,2.4
OK,2022-06-30,ABIO,2.48,2.53,2.4071,2.49,41316.0,2.49,2.48
OK,2022-07-01,ABIO,2.45,2.49,2.4001,2.48,43706.0,2.48,2.45
OK,2022-07-05,ABIO,2.37,2.55,2.37,2.51,44773.0,2.53,2.46
OK,2022-07-06,ABIO,2.5,2.53,2.4464,2.51,25726.0,2.39,2.5
OK,2022-07-07,ABIO,2.51,2.55,2.43,2.45,41860.0,2.5,2.51
OK,2022-07-08,ABIO,2.42,2.52,2.42,2.51,37069.0,2.5,2.42
OK,2022-07-11,ABIO,2.52,2.52,2.44,2.5,31908.0,2.53,2.52
OK,2022-07-12,ABIO,2.51,2.55,2.45,2.49,35559.0,2.49,2.51
OK,2022-07-13,ABIO,2.44,2.5399,2.44,2.5,60123.0,2.5,2.38
OK,2022-07-14,ABIO,2.502,2.5101,2.46,2.46,31456.0,2.46,2.5
OK,2022-07-15,ABIO,2.46,2.5,2.45,2.49,29868.0,2.49,2.46
OK,2022-07-18,ABIO,2.47,2.49,2.4,2.4,29657.0,2.4,2.46
OK,2022-07-19,ABIO,2.4117,2.47,2.409,2.42,29781.0,2.42,2.4117
OK,2022-07-20,ABIO,2.46,2.46,2.34,2.36,50619.0,2.47,2.46
OK,2022-07-21,ABIO,2.34,2.46,2.305,2.46,100055.0,2.47,2.34
OK,2022-07-22,ABIO,2.47,2.47,2.37,2.41,38981.0,2.35,2.48
OK,2022-07-25,ABIO,2.4,2.4199,2.3504,2.39,5217.0,2.41,2.4
OK,2022-07-26,ABIO,2.36,2.41,2.36,2.39,6922.0,2.3848,2.36
OK,2022-07-27,ABIO,2.4084,2.41,2.33,2.36,34433.0,2.36,2.4084
OK,2022-07-28,ABIO,2.4,2.406,2.37,2.39,48858.0,2.4,2.35
OK,2022-07-29,ABIO,2.42,2.48,2.35,2.45,21161.0,2.45,2.42
OK,2022-08-01,ABIO,2.42,2.4699,2.31,2.41,54229.0,2.41,2.42
OK,2022-08-02,ABIO,2.32,2.4,2.3,2.33,19219.0,2.3,2.25
OK,2022-08-03,ABIO,2.33,2.4,2.3106,2.34,53723.0,2.33,2.33
OK,2022-08-04,ABIO,2.3399,2.3684,2.32,2.32,29997.0,2.32,2.44
OK,2022-08-05,ABIO,2.3181,2.36,2.28,2.36,36351.0,2.36,2.3181
OK,2022-08-08,ABIO,2.4,2.402,2.33,2.38,45894.0,2.3727,2.31
OK,2022-08-09,ABIO,2.38,2.46,2.37,2.43,45124.0,2.45,2.38
OK,2022-08-10,ABIO,2.43,2.4437,2.35,2.42,24906.0,2.35,2.4493
OK,2022-08-11,ABIO,2.44,2.47,2.3828,2.3999,20413.0,2.3999,2.39
OK,2022-08-12,ABIO,2.4,2.47,2.387,2.47,30217.0,2.47,2.4
OK,2022-08-15,ABIO,2.42,2.465,2.42,2.45,17078.0,2.46,2.42
OK,2022-08-16,ABIO,2.413,2.4441,2.39,2.41,29344.0,2.42,2.36
OK,2022-08-17,ABIO,2.39,2.4034,2.34,2.38,21793.0,2.38,2.39
OK,2022-08-18,ABIO,2.36,2.37,2.3452,2.36,18090.0,2.365,2.36
OK,2022-08-19,ABIO,2.33,2.378,2.3166,2.35,35506.0,2.37,2.33
OK,2022-08-22,ABIO,2.35,2.375,2.32,2.35,31081.0,2.33,2.32
OK,2022-08-23,ABIO,2.35,2.4085,2.3445,2.36,21994.0,2.36,2.35
OK,2022-08-24,ABIO,2.33,2.4199,2.33,2.4199,34609.0,2.4597,2.33
OK,2022-08-25,ABIO,2.3809,2.4235,2.3,2.34,52606.0,2.31,2.3809
OK,2022-08-26,ABIO,2.32,2.38,2.32,2.36,40575.0,2.36,2.37
OK,2022-08-29,ABIO,2.34,2.4,2.34,2.34,8666.0,2.3,2.34
OK,2022-08-30,ABIO,2.4,2.4,2.3,2.34,65276.0,2.34,2.4
OK,2022-08-31,ABIO,2.34,2.375,2.33,2.34,29105.0,2.35,2.34
OK,2022-09-01,ABIO,2.33,2.35,2.31,2.32,27819.0,2.32,2.33
OK,2022-09-02,ABIO,2.35,2.35,2.31,2.35,14579.0,2.35,2.35
OK,2022-09-06,ABIO,2.3,2.33,2.28,2.3,42629.0,2.31,2.3
OK,2022-09-07,ABIO,2.31,2.33,2.29,2.3,42674.0,2.3,2.26
OK,2022-09-08,ABIO,2.3,2.33,2.26,2.31,29617.0,2.31,2.3
OK,2022-09-09,ABIO,2.3,2.34,2.28,2.32,75882.0,2.32,2.3
OK,2022-09-12,ABIO,2.3,2.31,2.29,2.29,47648.0,2.21,2.25
OK,2022-09-13,ABIO,2.3,2.3,2.25,2.268,37989.0,2.268,2.3
OK,2022-09-14,ABIO,2.3,2.36,2.27,2.33,53493.0,2.35,2.3
OK,2022-09-15,ABIO,2.37,2.3799,2.32,2.34,33014.0,2.33,2.37
OK,2022-09-16,ABIO,2.34,2.38,2.3,2.37,99965.0,2.325,2.34
OK,2022-09-19,ABIO,2.4,2.4,2.3,2.305,43122.0,2.3199,2.33
OK,2022-09-20,ABIO,2.31,2.32,2.24,2.26,35759.0,2.24,2.31
OK,2022-09-21,ABIO,2.3,2.32,2.18,2.19,46010.0,2.19,2.3
OK,2022-09-22,ABIO,2.18,2.24,2.14,2.1527,47469.0,2.1527,2.19
OK,2022-09-23,ABIO,2.17,2.21,2.1,2.13,44435.0,2.125,2.13
OK,2022-09-26,ABIO,2.15,2.15,2.05,2.07,59802.0,2.07,2.15
OK,2022-09-27,ABIO,2.1,2.12,2.0693,2.1,36142.0,2.0873,2.1
OK,2022-09-28,ABIO,2.08,2.1527,2.06,2.14,17100.0,2.14,2.09
OK,2022-09-29,ABIO,2.14,2.15,2.0801,2.14,11871.0,2.14,2.14
OK,2022-09-30,ABIO,2.15,2.15,2.01,2.06,21826.0,2.06,2.15
OK,2022-10-03,ABIO,2.0732,2.0962,2.0601,2.09,21499.0,2.09,2.05
OK,2022-10-04,ABIO,2.1,2.185,2.06,2.15,23907.0,2.15,2.1
OK,2022-10-05,ABIO,2.175,2.175,2.06,2.06,19801.0,2.06,2.175
OK,2022-10-06,ABIO,2.08,2.14,2.08,2.12,9024.0,2.09,2.08
OK,2022-10-07,ABIO,2.12,2.1576,2.07,2.07,6152.0,2.0861,2.16
OK,2022-10-10,ABIO,2.0,2.082,2.0,2.04,21811.0,2.04,2.0
OK,2022-10-11,ABIO,2.01,2.0588,1.95,2.01,33200.0,2.03,2.01
OK,2022-10-12,ABIO,2.05,2.0999,1.9801,2.02,25769.0,2.02,2.05
OK,2022-10-13,ABIO,1.98,2.07,1.98,2.07,14227.0,2.0,1.98
OK,2022-10-14,ABIO,2.0701,2.1,2.05,2.05,17894.0,2.05,2.0701
OK,2022-10-17,ABIO,2.07,2.1397,2.06,2.1,11383.0,2.08,2.07
OK,2022-10-18,ABIO,2.0638,2.0838,2.05,2.05,13033.0,2.05,2.0638
OK,2022-10-19,ABIO,2.05,2.1107,2.035,2.04,47586.0,2.04,2.05
OK,2022-10-20,ABIO,2.0432,2.09,2.03,2.06,9709.0,2.04,2.0432
OK,2022-10-21,ABIO,2.04,2.08,2.03,2.08,27709.0,2.08,2.04
OK,2022-10-24,ABIO,2.05,2.0724,2.05,2.06,8631.0,2.06,2.05
OK,2022-10-25,ABIO,2.07,2.0799,2.04,2.05,32261.0,2.05,2.07
OK,2022-10-26,ABIO,2.05,2.08,2.05,2.08,32897.0,2.08,2.05
OK,2022-10-27,ABIO,2.092,2.11,2.08,2.09,3187.0,2.0874,2.092
OK,2022-10-28,ABIO,2.05,2.18,2.05,2.1756,35834.0,2.1756,2.05
OK,2022-10-31,ABIO,2.12,2.195,2.12,2.15,14893.0,2.15,2.12
OK,2022-11-01,ABIO,2.19,2.19,2.12,2.15,20543.0,2.19,2.19
OK,2022-11-02,ABIO,2.17,2.19,2.11,2.125,17620.0,2.125,2.17
OK,2022-11-03,ABIO,2.1,2.12,2.08,2.08,27860.0,2.08,2.1
OK,2022-11-04,ABIO,2.05,2.1156,2.05,2.06,9646.0,2.04,2.05
OK,2022-11-07,ABIO,2.02,2.0836,2.02,2.06,24095.0,2.06,2.02
OK,2022-11-08,ABIO,2.07,2.071,2.05,2.06,12160.0,2.06,2.07
OK,2022-11-09,ABIO,2.07,2.1099,1.98,1.9855,34693.0,1.9855,2.07
OK,2022-11-10,ABIO,2.04,2.04,1.85,1.86,23631.0,1.7493,2.04
OK,2022-11-11,ABIO,1.88,2.0099,1.86,2.0099,24740.0,2.0099,1.99
OK,2022-11-14,ABIO,2.0,2.08,1.965,2.05,35706.0,2.05,2.0
OK,2022-11-15,ABIO,2.05,2.05,1.9601,2.0,14020.0,2.0,2.05
OK,2022-11-16,ABIO,2.012,2.03,1.9621,1.98,41666.0,1.965,2.012
OK,2022-11-17,ABIO,1.99,2.02,1.95,1.98,29129.0,1.98,2.07
OK,2022-11-18,ABIO,2.02,2.02,1.9508,2.0024,15403.0,2.0024,2.02
OK,2022-11-21,ABIO,2.0,2.08,2.0,2.07,35885.0,2.06,2.0
OK,2022-11-22,ABIO,2.05,2.13,2.05,2.08,17148.0,2.13,2.05
OK,2022-11-23,ABIO,2.0701,2.115,2.06,2.1,8556.0,2.1,2.0701
OK,2022-11-25,ABIO,2.06,2.1199,2.04,2.08,8977.0,2.08,2.06
OK,2022-11-28,ABIO,2.01,2.08,2.01,2.05,8537.0,2.0503,2.01
OK,2022-11-29,ABIO,2.08,2.1,2.03,2.0601,23028.0,2.2,2.01
OK,2022-11-30,ABIO,2.1,2.11,2.05,2.09,14220.0,2.09,2.1
OK,2022-12-01,ABIO,2.0331,2.103,2.0204,2.0701,8925.0,2.0701,2.0331
OK,2022-12-02,ABIO,2.03,2.1299,2.03,2.105,10136.0,2.105,2.03
OK,2022-12-05,ABIO,2.1,2.15,2.09,2.13,28926.0,2.11,2.1
OK,2022-12-06,ABIO,2.1099,2.1099,2.05,2.0999,18573.0,2.0999,2.1099
OK,2022-12-07,ABIO,2.07,2.19,2.04,2.1715,31079.0,2.1715,2.07
OK,2022-12-08,ABIO,2.1744,2.21,2.1699,2.2007,15793.0,2.2007,2.1744
OK,2022-12-09,ABIO,2.142,2.2099,2.142,2.2,20223.0,2.22,2.142
OK,2022-12-12,ABIO,2.23,2.26,2.22,2.25,34727.0,2.25,2.22
OK,2022-12-13,ABIO,2.27,2.3,2.25,2.29,34892.0,2.29,2.27
OK,2022-12-14,ABIO,2.3,2.3,2.245,2.28,26863.0,2.3,2.3
OK,2022-12-15,ABIO,2.28,2.35,2.2354,2.32,103336.0,2.32,2.28
OK,2022-12-16,ABIO,2.28,2.43,2.28,2.43,56718.0,2.4,2.28
OK,2022-12-19,ABIO,2.35,2.4,2.295,2.4,15534.0,2.42,2.35
OK,2022-12-20,ABIO,2.33,2.45,2.32,2.4,135407.0,2.4,2.33
OK,2022-12-21,ABIO,2.4,2.46,2.3901,2.435,140783.0,2.44,2.4001
OK,2022-12-22,ABIO,2.44,2.44,2.36,2.4,63805.0,2.4,2.3701
OK,2022-12-23,ABIO,2.4,2.43,2.27,2.35,77368.0,2.35,2.4
OK,2022-12-27,ABIO,2.37,2.37,2.22,2.29,34306.0,2.3,2.37
OK,2022-12-28,ABIO,2.24,2.36,2.2242,2.36,28163.0,2.36,2.24
OK,2022-12-29,ABIO,2.4,2.43,2.3501,2.43,104860.0,2.43,2.4
OK,2022-12-30,ABIO,2.4,2.42,2.3,2.37,69668.0,2.3,2.4
OK,2023-01-03,ABIO,2.4,2.43,2.3001,2.42,37784.0,2.42,2.4
OK,2023-01-04,ABIO,2.44,2.48,2.4,2.47,53056.0,2.45,2.44
