status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2023-07-05,ABL,8.07,9.7499,7.17,9.5,337074.0,9.4,16.0
OK,2023-07-06,ABL,8.69,10.75,7.81,10.04,231620.0,8.0,9.36
OK,2023-07-07,ABL,8.1,9.4,8.1,8.57,111560.0,8.21,8.49
OK,2023-07-10,ABL,8.26,9.0999,8.25,8.46,83986.0,8.25,8.4
OK,2023-07-11,ABL,8.25,8.3931,7.25,8.06,98817.0,8.1,8.5
OK,2023-07-12,ABL,7.67,8.22,7.67,7.88,48039.0,7.75,8.19
OK,2023-07-13,ABL,8.06,8.06,7.5,8.0,26248.0,8.0,7.88
OK,2023-07-14,ABL,7.76,8.0,7.4,7.54,33421.0,7.54,7.76
OK,2023-07-17,ABL,7.74,7.78,7.1311,7.32,23150.0,7.24,7.51
OK,2023-07-18,ABL,7.23,7.45,6.51,6.61,88993.0,6.54,7.261
OK,2023-07-19,ABL,6.6,6.6,5.47,5.86,114688.0,5.77,6.37
OK,2023-07-20,ABL,5.81,6.19,5.75,5.82,26418.0,5.82,6.04
OK,2023-07-21,ABL,5.78,5.9568,5.54,5.75,46270.0,5.75,5.9
OK,2023-07-24,ABL,5.8,6.1899,5.75,5.92,37586.0,5.92,5.8
OK,2023-07-25,ABL,6.0,6.3,5.75,5.92,61268.0,5.91,6.0
OK,2023-07-26,ABL,6.24,6.24,5.7601,6.0,29247.0,6.08,6.24
OK,2023-07-27,ABL,6.04,6.21,6.04,6.2,5093.0,6.2,6.04
OK,2023-07-28,ABL,6.22,6.6,6.1,6.12,27844.0,6.42,6.22
OK,2023-07-31,ABL,6.15,6.7207,6.15,6.23,37733.0,6.18,6.21
OK,2023-08-01,ABL,6.5,6.79,6.24,6.48,100121.0,6.35,6.5
OK,2023-08-02,ABL,6.48,6.49,6.25,6.25,21432.0,6.25,6.48
OK,2023-08-03,ABL,6.29,6.49,5.91,6.09,64662.0,5.91,6.29
OK,2023-08-04,ABL,6.03,6.26,5.98,6.26,49169.0,6.39,6.03
OK,2023-08-07,ABL,6.37,6.4,6.02,6.23,22800.0,6.04,6.37
OK,2023-08-08,ABL,6.09,6.25,5.8,5.8,23557.0,6.04,6.09
OK,2023-08-09,ABL,6.05,6.05,5.84,6.0,6116.0,6.0,6.05
OK,2023-08-10,ABL,6.0,6.15,5.83,5.83,19789.0,5.8,6.0
OK,2023-08-11,ABL,5.9,6.235,5.9,6.1,13551.0,6.55,5.9
OK,2023-08-14,ABL,6.33,7.25,6.2033,6.9,84730.0,7.2,6.33
OK,2023-08-15,ABL,7.0,7.73,6.76,7.6,47199.0,7.6,7.0
OK,2023-08-16,ABL,7.64,7.75,7.5,7.51,17050.0,7.51,7.64
OK,2023-08-17,ABL,7.6,7.65,7.26,7.49,31773.0,7.6,7.6
OK,2023-08-18,ABL,7.5,7.65,7.11,7.59,14635.0,7.11,7.5
OK,2023-08-21,ABL,7.5,7.53,7.25,7.32,12334.0,7.32,7.5
OK,2023-08-22,ABL,7.42,7.5,7.3694,7.465,4542.0,7.465,7.42
OK,2023-08-23,ABL,7.3,7.85,7.25,7.59,23500.0,7.7,7.3
OK,2023-08-24,ABL,7.56,7.56,7.255,7.37,10279.0,7.37,7.56
OK,2023-08-25,ABL,7.31,7.6,7.15,7.16,10575.0,7.15,7.31
OK,2023-08-28,ABL,7.23,9.91,7.23,9.2,110477.0,9.23,7.23
OK,2023-08-29,ABL,9.25,9.8899,8.68,9.49,34530.0,9.49,9.2
OK,2023-08-30,ABL,9.53,9.53,9.0,9.39,8884.0,9.39,9.53
OK,2023-08-31,ABL,9.4565,9.7,9.11,9.11,11064.0,9.5,9.4565
OK,2023-09-01,ABL,9.42,9.63,9.14,9.16,11848.0,9.16,9.42
OK,2023-09-05,ABL,9.5941,9.5941,9.06,9.06,12672.0,9.06,9.5941
OK,2023-09-06,ABL,9.06,9.5,8.72,8.99,16167.0,8.99,9.06
OK,2023-09-07,ABL,9.08,9.5,8.1101,8.18,45013.0,8.18,9.08
OK,2023-09-08,ABL,8.12,8.33,7.49,7.5,40184.0,7.5,8.12
OK,2023-09-11,ABL,7.56,8.19,7.56,7.75,3348.0,7.75,7.56
OK,2023-09-12,ABL,8.56,8.75,8.05,8.1,2101.0,8.1,8.56
OK,2023-09-13,ABL,8.14,8.575,7.56,8.28,31624.0,8.28,8.14
OK,2023-09-14,ABL,8.08,8.65,7.65,7.65,19663.0,7.65,8.08
OK,2023-09-15,ABL,7.7,8.19,7.65,7.72,19201.0,7.72,7.7
OK,2023-09-18,ABL,7.48,7.99,7.0612,7.14,29252.0,7.14,7.48
OK,2023-09-19,ABL,7.29,7.595,7.23,7.25,17904.0,7.25,7.29
OK,2023-09-20,ABL,7.29,7.3362,7.0,7.01,5489.0,7.01,7.29
OK,2023-09-21,ABL,7.2,7.87,6.75,7.1,22522.0,7.1,7.2
OK,2023-09-22,ABL,7.15,7.15,6.79,6.79,2070.0,6.79,7.15
OK,2023-09-25,ABL,6.82,7.34,6.51,6.51,20737.0,6.51,6.82
OK,2023-09-26,ABL,6.54,7.015,6.53,6.77,12850.0,6.77,6.71
OK,2023-09-27,ABL,6.82,7.3899,6.82,7.23,3064.0,7.23,6.82
OK,2023-09-28,ABL,7.23,7.515,7.03,7.03,7761.0,7.03,7.23
OK,2023-09-29,ABL,7.2,7.6,6.8,6.83,20691.0,7.11,7.2
OK,2023-10-02,ABL,6.85,7.23,6.7,7.23,8538.0,7.23,6.85
OK,2023-10-03,ABL,6.825,6.93,6.825,6.93,524.0,6.93,6.825
OK,2023-10-04,ABL,7.025,7.425,6.94,7.4012,3527.0,7.4012,7.025
OK,2023-10-05,ABL,7.26,7.311,6.89,6.95,13566.0,6.95,7.26
OK,2023-10-06,ABL,7.0,7.09,6.85,7.0,5965.0,7.0,7.0
OK,2023-10-09,ABL,6.84,6.89,6.53,6.81,6418.0,6.81,6.84
OK,2023-10-10,ABL,6.8,7.1,6.8,7.0,2465.0,7.0,6.8
OK,2023-10-11,ABL,6.71,6.72,6.4,6.56,12513.0,6.56,6.71
OK,2023-10-12,ABL,6.825,6.825,6.6,6.67,1899.0,6.67,6.825
OK,2023-10-13,ABL,6.77,6.8034,6.2,6.29,10444.0,6.29,6.77
OK,2023-10-16,ABL,6.32,6.64,6.32,6.4,3334.0,6.4,6.32
OK,2023-10-17,ABL,6.6,6.8399,6.5,6.5,2364.0,6.5,6.6
OK,2023-10-18,ABL,6.252,6.7848,6.252,6.77,7422.0,6.77,6.252
OK,2023-10-19,ABL,6.68,6.68,6.2,6.21,12714.0,6.21,6.68
OK,2023-10-20,ABL,6.2,6.44,6.15,6.21,5222.0,6.21,6.2
OK,2023-10-23,ABL,6.27,6.8099,6.02,6.1,3776.0,6.1,6.27
OK,2023-10-24,ABL,6.1891,6.1891,6.1891,6.1891,1669.0,6.1891,6.1891
OK,2023-10-25,ABL,6.18,6.88,6.0101,6.37,13315.0,6.37,6.18
OK,2023-10-26,ABL,6.38,6.38,6.07,6.07,1050.0,6.29,6.38
OK,2023-10-27,ABL,6.0,6.16,6.0,6.155,4419.0,6.155,6.0
OK,2023-10-30,ABL,6.13,6.349,6.02,6.1,3487.0,6.1,6.13
OK,2023-10-31,ABL,6.1115,6.1115,6.1115,6.1115,536.0,6.1115,6.1115
OK,2023-11-01,ABL,6.3,6.48,6.262,6.28,6893.0,6.02,6.3
OK,2023-11-02,ABL,6.25,6.345,6.25,6.3,4941.0,6.3,6.25
OK,2023-11-03,ABL,6.4,6.63,6.3,6.63,2643.0,6.63,6.4
OK,2023-11-06,ABL,6.6,7.15,6.51,6.8,5394.0,6.8,6.6
OK,2023-11-07,ABL,6.905,7.46,6.89,6.9,25229.0,6.9,7.52
OK,2023-11-08,ABL,6.9,7.03,6.2,7.0,7029.0,7.0,6.9
OK,2023-11-09,ABL,7.2,7.5882,6.55,6.9799,35539.0,6.9799,7.2
OK,2023-11-10,ABL,6.87,6.975,6.66,6.83,7075.0,6.83,6.87
OK,2023-11-13,ABL,7.11,7.11,6.22,6.72,26138.0,6.72,7.11
OK,2023-11-14,ABL,6.95,6.95,5.75,6.0297,58044.0,6.0297,6.95
