status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2023-11-24,ABLLL,25.0,25.0,24.9,24.9,2450.0,24.9,25.0
OK,2023-11-27,ABLLL,24.81,24.9,24.8,24.8999,1255.0,24.8999,24.81
OK,2023-11-28,ABLLL,24.79,24.85,24.75,24.75,3259.0,24.75,24.79
OK,2023-11-29,ABLLL,24.7604,24.7604,24.68,24.68,2711.0,24.68,24.7604
OK,2023-11-30,ABLLL,24.76,24.76,24.67,24.67,772.0,24.67,24.76
OK,2023-12-01,ABLLL,24.6,24.6,24.52,24.6,4012.0,24.6,24.6
OK,2023-12-04,ABLLL,24.5,24.5,24.26,24.26,3335.0,24.26,24.5
OK,2023-12-05,ABLLL,24.68,25.05,24.68,24.9,17874.0,24.9,24.68
OK,2023-12-06,ABLLL,25.0,25.0,24.76,25.0,2505.0,25.0,25.0
OK,2023-12-07,ABLLL,24.95,25.0,24.9,25.0,1839.0,25.0,24.95
OK,2023-12-08,ABLLL,25.0,25.0,24.9,24.9,1098.0,24.9,25.0
OK,2023-12-11,ABLLL,25.05,25.1,24.91,24.975,7446.0,24.975,25.05
OK,2023-12-12,ABLLL,27.39,27.39,25.2,25.2,1038.0,25.2,27.39
OK,2023-12-13,ABLLL,25.2,25.2,24.98,25.2,1673.0,25.2,25.2
OK,2023-12-14,ABLLL,26.43,26.43,25.03,25.3999,11819.0,25.3999,26.5
OK,2023-12-15,ABLLL,25.1,25.1,25.06,25.1,628.0,25.1,25.1
OK,2023-12-18,ABLLL,25.61,25.65,25.4,25.59,7618.0,25.59,25.61
OK,2023-12-19,ABLLL,25.6,25.75,25.14,25.14,8291.0,25.6,25.6
OK,2023-12-20,ABLLL,25.6,25.6,25.6,25.6,1820.0,25.6,25.6
OK,2023-12-21,ABLLL,25.6,25.6,25.6,25.6,700.0,25.6,25.6
OK,2023-12-27,ABLLL,25.5,25.5,25.5,25.5,1046.0,25.5,25.5
OK,2023-12-28,ABLLL,25.6,25.6,25.6,25.6,282.0,25.6,25.6
OK,2023-12-29,ABLLL,25.26,25.26,25.26,25.26,194.0,25.26,25.26
OK,2024-01-02,ABLLL,25.6,25.6,25.39,25.5,1062.0,25.5,25.6
OK,2024-01-03,ABLLL,25.26,25.26,25.0,25.0,2052.0,25.0,25.26
OK,2024-01-04,ABLLL,25.56,25.56,25.56,25.56,296.0,25.56,25.56
OK,2024-01-05,ABLLL,25.5,25.5,25.5,25.5,203.0,25.5,25.5
OK,2024-01-09,ABLLL,25.6,25.6,25.45,25.5971,7241.0,25.5971,25.6
OK,2024-01-10,ABLLL,25.59,25.6,25.51,25.52,3190.0,25.52,25.59
OK,2024-01-11,ABLLL,25.38,25.435,25.38,25.435,3463.0,25.435,25.38
OK,2024-01-12,ABLLL,25.31,25.53,25.3,25.53,5017.0,25.53,25.31
OK,2024-01-16,ABLLL,25.41,25.55,25.37,25.39,8791.0,25.39,25.41
OK,2024-01-17,ABLLL,25.31,25.53,25.23,25.53,1031.0,25.53,25.31
OK,2024-01-18,ABLLL,25.32,25.5,25.14,25.34,3054.0,25.34,25.32
OK,2024-01-19,ABLLL,25.4,25.474,25.2,25.36,1778.0,25.36,25.4
OK,2024-01-22,ABLLL,25.42,25.53,25.36,25.39,2180.0,25.39,25.42
OK,2024-01-23,ABLLL,25.4,25.54,25.4,25.54,1738.0,25.54,25.4
OK,2024-01-24,ABLLL,25.45,25.5,25.38,25.43,2137.0,25.43,25.45
OK,2024-01-25,ABLLL,25.43,25.43,25.43,25.43,423.0,25.43,25.43
OK,2024-01-26,ABLLL,25.44,25.5,25.44,25.5,1079.0,25.5,25.44
OK,2024-01-29,ABLLL,25.45,25.468,25.45,25.46,948.0,25.46,25.45
OK,2024-01-30,ABLLL,25.45,25.5,25.45,25.5,988.0,25.5,25.45
OK,2024-01-31,ABLLL,25.45,25.548,25.45,25.548,1576.0,25.548,25.45
OK,2024-02-01,ABLLL,25.46,25.46,25.46,25.46,376.0,25.46,25.46
OK,2024-02-06,ABLLL,25.52,25.52,25.52,25.52,554.0,25.52,25.52
OK,2024-02-07,ABLLL,25.47,25.47,25.47,25.47,476.0,25.47,25.47
OK,2024-02-08,ABLLL,25.465,25.55,25.465,25.548,4073.0,25.548,25.465
OK,2024-02-09,ABLLL,25.14,25.38,24.6817,24.91,42676.0,24.91,25.14
OK,2024-02-12,ABLLL,24.95,25.15,24.76,24.97,26570.0,24.97,24.95
OK,2024-02-13,ABLLL,24.97,24.99,24.9,24.99,9696.0,24.99,24.97
OK,2024-02-14,ABLLL,24.99,25.05,24.95,25.05,21547.0,25.05,24.99
OK,2024-02-15,ABLLL,25.05,25.2,24.71,24.94,22864.0,24.94,25.05
OK,2024-02-16,ABLLL,24.9,24.9,24.7905,24.8,8901.0,24.8,24.9
OK,2024-02-20,ABLLL,25.02,25.02,24.78,24.78,19061.0,24.78,25.02
OK,2024-02-21,ABLLL,25.02,25.02,24.9287,25.0,5461.0,25.0,25.02
OK,2024-02-22,ABLLL,25.02,25.02,25.02,25.02,2020.0,25.02,25.02
OK,2024-02-23,ABLLL,24.95,25.05,24.95,25.05,3329.0,25.05,24.95
OK,2024-02-26,ABLLL,25.05,25.2,25.03,25.17,3301.0,25.17,25.05
OK,2024-02-27,ABLLL,25.0999,25.0999,25.0,25.05,2110.0,25.05,25.0999
OK,2024-02-28,ABLLL,25.1,25.1,25.1,25.1,3000.0,25.1,25.1
OK,2024-02-29,ABLLL,25.15,25.15,25.05,25.05,2137.0,25.05,25.15
OK,2024-03-01,ABLLL,25.19,25.2,25.18,25.19,5007.0,25.19,25.19
OK,2024-03-04,ABLLL,25.19,25.25,25.19,25.25,5179.0,25.25,25.19
