status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2023-08-18,ABLV,6.38,6.5,4.91,5.5,907920,5.49,7.0
OK,2023-08-21,ABLV,4.9,5.65,4.9,5.1,170504,4.94,5.5
OK,2023-08-22,ABLV,5.1,5.35,4.91,5.01,74076,5.02,4.91
OK,2023-08-23,ABLV,4.79,5.2,4.54,4.75,99051,4.6,4.88
OK,2023-08-24,ABLV,4.5,5.44,4.2004,4.99,326311,4.75,4.79
OK,2023-08-25,ABLV,5.0,5.15,4.7,4.7,88548,4.7,4.7
OK,2023-08-28,ABLV,4.62,5.15,4.58,4.69,67693,4.63,4.67
OK,2023-08-29,ABLV,4.51,4.89,4.21,4.45,49011,4.45,4.6
OK,2023-08-30,ABLV,4.4,4.52,4.26,4.27,65355,4.42,4.26
OK,2023-08-31,ABLV,4.19,4.64,4.19,4.28,181752,4.41,4.22
OK,2023-09-01,ABLV,4.37,4.57,4.1,4.17,69098,4.27,4.37
OK,2023-09-05,ABLV,4.15,4.15,3.465,3.5,162692,3.6,4.14
OK,2023-09-06,ABLV,3.59,3.59,3.0,3.0,74600,3.06,3.59
OK,2023-09-07,ABLV,2.91,2.9995,2.82,2.89,45349,2.89,2.92
OK,2023-09-08,ABLV,2.82,2.88,2.71,2.82,36340,2.97,2.82
OK,2023-09-11,ABLV,2.82,2.88,2.7805,2.85,15537,2.8103,2.82
OK,2023-09-12,ABLV,2.83,3.22,2.83,3.14,17631,3.14,2.83
OK,2023-09-13,ABLV,3.26,3.27,3.06,3.12,27163,3.12,3.26
OK,2023-09-14,ABLV,3.08,3.14,3.01,3.06,22210,2.97,3.12
OK,2023-09-15,ABLV,2.98,3.14,2.98,3.13,7753,3.05,2.97
OK,2023-09-18,ABLV,3.13,3.65,3.01,3.425,93653,3.4,3.13
OK,2023-09-19,ABLV,3.42,3.6,3.42,3.44,28489,3.43,3.32
OK,2023-09-20,ABLV,3.47,3.6,3.349,3.51,24905,3.5,3.47
OK,2023-09-21,ABLV,3.5,3.6,2.99,3.11,11095,3.11,3.5
OK,2023-09-22,ABLV,3.35,3.58,3.21,3.37,13581,3.37,3.35
OK,2023-09-25,ABLV,3.21,3.35,3.21,3.22,1369,3.22,3.21
OK,2023-09-26,ABLV,3.22,3.49,3.1777,3.27,46377,3.27,3.31
OK,2023-09-27,ABLV,3.4,3.4315,3.31,3.31,16666,3.31,3.4
OK,2023-09-28,ABLV,3.39,3.39,3.3001,3.32,3312,3.38,3.39
OK,2023-09-29,ABLV,3.4,3.415,3.27,3.395,17285,3.395,3.4
OK,2023-10-02,ABLV,3.29,3.4741,3.26,3.27,3434,3.38,3.29
OK,2023-10-03,ABLV,3.36,3.38,3.34,3.38,9019,3.38,3.36
OK,2023-10-04,ABLV,3.37,3.4,3.27,3.335,3461,3.51,3.37
OK,2023-10-05,ABLV,3.36,3.36,3.35,3.35,2246,3.35,3.46
OK,2023-10-06,ABLV,3.298,3.298,3.18,3.19,2300,3.31,3.24
OK,2023-10-09,ABLV,3.22,3.22,3.22,3.22,466,3.22,3.22
OK,2023-10-10,ABLV,3.25,3.41,3.23,3.41,5233,3.49,3.25
OK,2023-10-11,ABLV,3.58,3.58,3.4,3.4,7597,3.4,3.58
OK,2023-10-12,ABLV,3.41,3.6,3.05,3.05,27640,3.05,3.41
OK,2023-10-13,ABLV,3.2,3.24,2.99,3.0,17779,3.11,3.2
OK,2023-10-16,ABLV,3.12,3.12,2.98,2.98,6769,2.95,3.12
OK,2023-10-17,ABLV,3.09,3.09,2.88,2.88,11484,2.88,3.09
OK,2023-10-18,ABLV,2.96,2.96,2.8,2.8,2635,2.74,2.96
OK,2023-10-19,ABLV,2.83,2.83,2.72,2.79,3279,2.71,2.83
OK,2023-10-20,ABLV,2.81,2.81,2.66,2.72,10259,2.72,2.81
OK,2023-10-23,ABLV,2.72,2.73,2.52,2.52,7020,2.52,2.72
OK,2023-10-24,ABLV,2.53,2.55,2.4619,2.51,12718,2.51,2.53
OK,2023-10-25,ABLV,2.5497,2.56,2.5,2.52,13359,2.52,2.5497
OK,2023-10-26,ABLV,2.49,2.54,2.45,2.45,8546,2.45,2.49
OK,2023-10-27,ABLV,2.51,2.51,2.45,2.49,8006,2.22,2.51
OK,2023-10-30,ABLV,2.355,2.355,2.04,2.1,9509,2.0,2.355
OK,2023-10-31,ABLV,1.7601,2.1,1.7601,1.98,6336,1.98,1.7601
