status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2019-06-28,ABM,39.72,40.48,39.72,40.0,697683.0,40.0,39.72
OK,2019-07-01,ABM,40.47,40.56,39.9398,40.33,373404.0,40.33,40.47
OK,2019-07-02,ABM,40.28,40.33,39.6,39.88,221084.0,39.88,40.28
OK,2019-07-03,ABM,39.89,40.36,39.65,40.22,222666.0,40.22,39.68
OK,2019-07-05,ABM,40.05,40.78,39.92,40.73,260561.0,40.73,40.05
OK,2019-07-08,ABM,40.57,40.88,40.57,40.68,263450.0,40.68,40.57
OK,2019-07-09,ABM,40.46,40.63,40.21,40.41,156229.0,40.41,40.46
OK,2019-07-10,ABM,40.62,40.93,40.43,40.59,167280.0,40.59,40.62
OK,2019-07-11,ABM,40.65,40.9,40.12,40.81,193507.0,40.81,40.65
OK,2019-07-12,ABM,40.84,41.39,40.8,41.19,272078.0,41.19,40.84
OK,2019-07-15,ABM,41.32,41.83,41.07,41.5,342902.0,41.5,41.32
OK,2019-07-16,ABM,41.49,41.625,41.19,41.34,395860.0,41.34,41.49
OK,2019-07-17,ABM,41.22,41.65,40.985,41.17,304510.0,41.17,41.22
OK,2019-07-18,ABM,41.54,41.98,41.16,41.93,343711.0,41.93,41.62
OK,2019-07-19,ABM,41.86,42.21,41.35,41.36,287215.0,41.36,41.86
OK,2019-07-22,ABM,41.47,41.64,40.95,41.05,238638.0,41.05,41.47
OK,2019-07-23,ABM,41.23,41.49,40.85,41.42,215459.0,41.42,41.23
OK,2019-07-24,ABM,41.28,41.7,40.7824,41.58,306780.0,41.58,41.28
OK,2019-07-25,ABM,41.5,41.9,41.25,41.43,402032.0,41.43,41.5
OK,2019-07-26,ABM,41.5,42.18,41.274,42.01,254978.0,42.01,41.5
OK,2019-07-29,ABM,42.0,42.22,41.555,41.75,362372.0,41.75,42.0
OK,2019-07-30,ABM,41.51,42.46,41.09,42.25,310731.0,42.25,41.51
OK,2019-07-31,ABM,42.33,42.58,41.42,42.09,1595645.0,42.09,42.33
OK,2019-08-01,ABM,42.1,42.67,40.93,41.09,384248.0,41.09,42.1
OK,2019-08-02,ABM,40.95,40.965,40.42,40.69,193905.0,40.69,40.95
OK,2019-08-05,ABM,39.74,40.29,38.95,39.5,406039.0,39.5,39.74
OK,2019-08-06,ABM,39.64,40.32,39.64,40.21,353738.0,40.21,39.64
OK,2019-08-07,ABM,39.75,40.12,39.42,40.07,224219.0,40.07,39.75
OK,2019-08-08,ABM,40.35,41.15,40.26,41.11,183730.0,41.11,40.35
OK,2019-08-09,ABM,40.94,41.02,40.37,40.59,189219.0,40.59,40.94
OK,2019-08-12,ABM,40.35,40.36,39.65,39.78,180945.0,39.78,40.35
OK,2019-08-13,ABM,39.65,41.01,39.65,39.91,233367.0,39.91,39.65
OK,2019-08-14,ABM,39.25,39.3,38.18,38.4,258239.0,38.4,39.25
OK,2019-08-15,ABM,38.36,38.36,37.56,38.05,323808.0,38.05,38.36
OK,2019-08-16,ABM,38.18,38.855,38.175,38.53,221818.0,38.53,38.18
OK,2019-08-19,ABM,38.97,39.22,38.68,38.93,237386.0,38.93,38.97
OK,2019-08-20,ABM,38.82,38.82,38.09,38.12,405009.0,38.12,38.82
OK,2019-08-21,ABM,38.5,38.87,38.375,38.68,164459.0,38.68,38.12
OK,2019-08-22,ABM,38.86,39.16,38.39,38.46,223309.0,38.46,38.6
OK,2019-08-23,ABM,38.22,38.47,36.72,36.84,284564.0,36.84,38.22
OK,2019-08-26,ABM,37.34,37.34,36.7,37.23,847296.0,37.23,37.34
OK,2019-08-27,ABM,37.57,37.62,36.61,36.63,257221.0,36.63,37.57
OK,2019-08-28,ABM,36.44,36.7922,35.98,36.58,327754.0,36.58,36.44
OK,2019-08-29,ABM,37.09,37.4,36.77,37.15,384566.0,37.0815,37.09
OK,2019-08-30,ABM,37.48,37.62,36.955,37.26,224053.0,37.26,37.48
OK,2019-09-03,ABM,37.01,37.135,36.45,36.59,509257.0,36.59,37.01
OK,2019-09-04,ABM,37.0,37.15,36.34,36.65,600180.0,36.65,37.0
OK,2019-09-05,ABM,37.09,37.84,37.09,37.37,475107.0,37.4421,37.09
OK,2019-09-06,ABM,38.6,38.91,35.27,35.34,526389.0,35.34,38.6
OK,2019-09-09,ABM,35.32,35.32,33.78,34.94,485005.0,34.94,35.29
OK,2019-09-10,ABM,34.85,36.27,34.62,36.04,386592.0,36.04,34.85
OK,2019-09-11,ABM,36.13,36.58,35.81,36.55,287809.0,36.55,36.13
OK,2019-09-12,ABM,36.36,37.11,36.27,36.85,390931.0,36.85,36.36
OK,2019-09-13,ABM,36.84,37.5,36.24,36.3,473909.0,36.3,36.84
OK,2019-09-16,ABM,36.1,36.86,36.02,36.65,192112.0,36.65,36.1
OK,2019-09-17,ABM,36.49,36.97,36.3696,36.49,185482.0,36.49,36.49
OK,2019-09-18,ABM,36.4,36.71,35.92,36.22,266792.0,36.22,36.4
OK,2019-09-19,ABM,36.4,36.79,36.16,36.26,275372.0,36.26,36.4
OK,2019-09-20,ABM,36.28,36.64,35.77,35.96,799197.0,35.96,36.28
OK,2019-09-23,ABM,35.71,36.56,35.71,36.23,238849.0,36.23,35.71
OK,2019-09-24,ABM,36.26,36.49,35.745,35.88,247903.0,35.88,36.26
OK,2019-09-25,ABM,36.05,36.67,35.98,36.51,340043.0,36.51,36.05
OK,2019-09-26,ABM,36.4,36.82,36.335,36.73,253886.0,36.73,36.4
OK,2019-09-27,ABM,36.91,37.0,36.08,36.36,621181.0,36.36,36.91
OK,2019-09-30,ABM,36.41,36.8,36.22,36.32,322548.0,36.32,36.41
OK,2019-10-01,ABM,36.55,36.85,35.739,35.82,311487.0,35.82,36.55
OK,2019-10-02,ABM,35.2,35.2,33.94,34.05,391263.0,34.05,35.2
OK,2019-10-03,ABM,33.9,34.19,33.455,34.11,268991.0,34.11,33.9
OK,2019-10-04,ABM,34.22,34.8,34.04,34.79,282825.0,34.79,34.22
OK,2019-10-07,ABM,34.63,34.87,34.42,34.51,322667.0,34.51,34.63
OK,2019-10-08,ABM,34.13,34.56,33.93,34.3,237074.0,34.3,34.13
OK,2019-10-09,ABM,34.59,34.77,34.21,34.38,257712.0,34.38,34.59
OK,2019-10-10,ABM,34.43,35.03,34.37,35.0,237526.0,35.0,34.43
OK,2019-10-11,ABM,35.54,36.97,35.475,36.12,509196.0,36.12,35.54
OK,2019-10-14,ABM,35.87,36.59,35.87,36.46,260691.0,36.46,35.87
OK,2019-10-15,ABM,36.97,37.15,36.43,36.69,324658.0,36.69,36.46
OK,2019-10-16,ABM,36.52,36.93,36.39,36.79,273368.0,36.79,36.52
OK,2019-10-17,ABM,36.96,37.2235,36.64,37.0,309710.0,37.0,36.96
OK,2019-10-18,ABM,36.82,37.62,36.82,37.51,242997.0,37.51,36.82
OK,2019-10-21,ABM,37.92,38.16,37.48,37.68,223697.0,37.68,37.92
OK,2019-10-22,ABM,37.61,38.14,37.5,37.94,286282.0,37.94,37.61
OK,2019-10-23,ABM,37.97,38.11,37.21,37.37,255553.0,37.37,37.97
OK,2019-10-24,ABM,37.44,37.44,36.38,36.83,242203.0,36.83,37.44
OK,2019-10-25,ABM,36.74,37.48,36.5,37.4,332897.0,37.4,36.74
OK,2019-10-28,ABM,37.46,37.92,37.46,37.71,274660.0,37.71,37.46
OK,2019-10-29,ABM,37.56,38.16,37.33,37.37,376252.0,37.37,37.56
OK,2019-10-30,ABM,37.32,37.32,36.75,37.05,262666.0,37.05,37.32
OK,2019-10-31,ABM,36.81,36.94,36.03,36.46,1048530.0,36.46,36.81
OK,2019-11-01,ABM,36.73,36.8516,35.77,36.46,285341.0,36.46,36.73
OK,2019-11-04,ABM,36.82,37.12,36.51,36.78,276685.0,36.78,36.82
OK,2019-11-05,ABM,36.93,37.34,36.74,37.33,268130.0,37.33,36.93
OK,2019-11-06,ABM,37.26,37.35,36.89,37.15,255061.0,37.15,37.26
OK,2019-11-07,ABM,37.53,37.93,36.3,37.42,220011.0,37.42,37.53
OK,2019-11-08,ABM,37.4,37.89,37.1901,37.81,226788.0,37.81,37.4
OK,2019-11-11,ABM,37.57,37.86,37.25,37.68,163947.0,37.68,37.57
OK,2019-11-12,ABM,37.74,38.71,37.5943,38.31,191666.0,38.31,37.74
OK,2019-11-13,ABM,37.94,38.15,37.71,37.99,228130.0,37.99,37.94
OK,2019-11-14,ABM,37.94,38.43,37.69,38.31,140476.0,38.31,37.94
OK,2019-11-15,ABM,38.58,38.58,37.75,37.89,210884.0,37.89,38.58
OK,2019-11-18,ABM,37.82,38.5,37.69,38.39,165051.0,38.39,37.82
OK,2019-11-19,ABM,38.5,38.95,38.33,38.76,217532.0,38.76,38.5
OK,2019-11-20,ABM,38.48,39.18,38.48,38.61,254365.0,38.61,38.48
OK,2019-11-21,ABM,38.77,38.775,37.83,37.91,170288.0,37.91,38.77
OK,2019-11-22,ABM,37.92,38.0,37.43,37.64,211627.0,37.64,37.92
OK,2019-11-25,ABM,37.93,38.49,37.64,38.32,329647.0,38.32,37.93
OK,2019-11-26,ABM,38.32,38.89,38.28,38.74,216394.0,38.74,38.32
OK,2019-11-27,ABM,38.96,39.13,38.72,38.84,123832.0,38.84,38.96
OK,2019-11-29,ABM,38.72,38.72,37.97,37.99,117787.0,37.99,38.72
OK,2019-12-02,ABM,38.12,38.26,37.635,37.72,259638.0,37.72,38.12
OK,2019-12-03,ABM,37.38,37.62,37.04,37.62,162336.0,37.62,37.38
OK,2019-12-04,ABM,37.82,38.41,37.53,37.56,241590.0,37.56,37.82
OK,2019-12-05,ABM,37.65,37.93,37.45,37.66,241938.0,37.66,37.65
OK,2019-12-06,ABM,38.07,38.625,38.03,38.14,284900.0,38.14,38.07
OK,2019-12-09,ABM,38.04,38.34,37.96,38.16,331537.0,38.16,38.04
OK,2019-12-10,ABM,38.23,38.37,37.91,38.07,200295.0,38.07,38.23
OK,2019-12-11,ABM,38.13,38.39,38.01,38.13,188029.0,38.13,38.13
OK,2019-12-12,ABM,38.16,38.52,37.83,37.95,265669.0,37.95,38.2
OK,2019-12-13,ABM,37.88,37.97,36.87,37.09,357341.0,37.09,37.88
OK,2019-12-16,ABM,37.52,37.93,37.38,37.48,446901.0,37.48,37.52
OK,2019-12-17,ABM,37.55,37.67,36.85,37.08,467073.0,37.25,37.55
OK,2019-12-18,ABM,37.26,37.65,36.25,37.61,737109.0,36.0,37.26
OK,2019-12-19,ABM,35.54,39.19,35.044,38.96,1112552.0,38.96,36.25
OK,2019-12-20,ABM,39.05,39.74,38.58,38.7,1512135.0,38.7,39.05
OK,2019-12-23,ABM,38.64,38.65,37.45,37.74,524214.0,37.74,38.64
OK,2019-12-24,ABM,37.69,38.28,37.4,38.2,166650.0,38.2,37.74
OK,2019-12-26,ABM,38.21,38.66,37.945,38.62,362003.0,38.62,38.21
OK,2019-12-27,ABM,38.76,38.785,38.39,38.5,243427.0,38.5,38.76
OK,2019-12-30,ABM,38.5,38.58,38.2,38.37,229664.0,38.37,38.5
OK,2019-12-31,ABM,38.12,38.32,37.54,37.71,287847.0,37.71,38.12
OK,2020-01-02,ABM,37.89,38.48,37.84,38.42,361839.0,38.42,37.89
OK,2020-01-03,ABM,37.89,38.39,37.89,38.32,303360.0,38.32,37.89
OK,2020-01-06,ABM,37.83,38.36,37.67,38.31,345772.0,38.31,37.83
OK,2020-01-07,ABM,38.37,38.37,37.67,37.99,202176.0,37.99,38.37
OK,2020-01-08,ABM,37.87,38.67,37.85,38.4,328540.0,38.425,37.87
OK,2020-01-09,ABM,38.55,38.92,38.42,38.72,226733.0,38.72,38.55
OK,2020-01-10,ABM,38.7,38.87,38.46,38.66,208892.0,38.66,38.7
OK,2020-01-13,ABM,38.63,39.24,38.63,39.22,264222.0,39.22,38.63
OK,2020-01-14,ABM,39.01,39.53,38.72,39.3,292389.0,39.3,39.01
OK,2020-01-15,ABM,39.18,39.67,39.09,39.28,259506.0,39.28,39.18
OK,2020-01-16,ABM,39.52,40.5,39.505,40.41,345989.0,40.41,39.52
OK,2020-01-17,ABM,40.53,40.545,39.43,39.79,356150.0,39.79,40.53
OK,2020-01-21,ABM,39.64,39.87,39.38,39.45,334641.0,39.45,39.64
OK,2020-01-22,ABM,39.77,40.06,39.68,39.76,250832.0,39.76,39.77
OK,2020-01-23,ABM,39.59,39.59,38.99,39.3,320393.0,39.3,39.59
OK,2020-01-24,ABM,39.37,39.45,38.655,39.04,220880.0,39.04,39.37
OK,2020-01-27,ABM,38.36,39.48,38.36,39.05,495345.0,39.05,38.36
OK,2020-01-28,ABM,39.22,39.65,39.1,39.12,194821.0,39.12,39.22
OK,2020-01-29,ABM,39.18,39.43,38.88,39.02,268210.0,39.02,39.18
OK,2020-01-30,ABM,38.7,39.05,38.26,38.88,173093.0,38.88,38.7
OK,2020-01-31,ABM,38.64,38.9,37.96,38.14,1085680.0,38.14,38.64
OK,2020-02-03,ABM,38.34,38.89,38.18,38.73,426496.0,38.73,38.34
OK,2020-02-04,ABM,39.4,40.18,39.38,39.85,264681.0,38.73,39.4
