status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2022-06-27,ABNB,103.96,104.17,99.33,101.5,7352143.0,101.66,104.51
OK,2022-06-28,ABNB,103.34,105.45,97.09,97.53,7747662.0,97.65,102.88
OK,2022-06-29,ABNB,96.83,97.0,92.05,93.93,6522572.0,94.0,98.0
OK,2022-06-30,ABNB,92.49,92.91,86.71,89.08,9007783.0,88.68,92.61
OK,2022-07-01,ABNB,89.09,91.46,87.43,91.41,5995434.0,91.3301,88.0
OK,2022-07-05,ABNB,88.88,96.01,86.75,95.94,7653996.0,95.58,91.57
OK,2022-07-06,ABNB,95.29,96.1699,91.8,92.88,5702961.0,92.75,95.56
OK,2022-07-07,ABNB,93.66,97.55,92.16,97.5,7480538.0,96.98,93.12
OK,2022-07-08,ABNB,96.23,98.12,93.2417,97.35,5669474.0,97.3,96.88
OK,2022-07-11,ABNB,96.0,97.09,93.27,95.1,6029282.0,94.71,96.39
OK,2022-07-12,ABNB,95.3,97.6861,93.32,96.55,4170185.0,96.55,93.66
OK,2022-07-13,ABNB,93.75,96.5894,91.61,95.64,6967800.0,94.41,96.15
OK,2022-07-14,ABNB,94.28,94.58,90.17,91.05,8334633.0,91.5,94.8
OK,2022-07-15,ABNB,92.55,95.65,90.66,94.66,7497187.0,94.6,91.05
OK,2022-07-18,ABNB,96.78,101.88,95.98,97.67,7171484.0,97.7,96.33
OK,2022-07-19,ABNB,99.7,102.71,98.76,102.2,5603808.0,102.7,98.2
OK,2022-07-20,ABNB,103.11,108.92,102.75,107.73,6834133.0,106.39,102.65
OK,2022-07-21,ABNB,106.98,108.5,104.41,108.14,4284851.0,107.25,107.72
OK,2022-07-22,ABNB,108.31,110.1,102.93,103.97,4243932.0,103.72,107.4
OK,2022-07-25,ABNB,103.78,105.26,101.4794,104.95,3142931.0,104.76,104.16
OK,2022-07-26,ABNB,102.38,103.63,101.1,101.91,4190993.0,102.73,104.13
OK,2022-07-27,ABNB,105.79,107.985,104.06,107.36,5362726.0,106.7,103.0
OK,2022-07-28,ABNB,108.17,110.06,104.68,108.84,4471883.0,109.6,106.12
OK,2022-07-29,ABNB,108.195,111.16,107.11,110.98,4637779.0,111.0,109.64
OK,2022-08-01,ABNB,110.0,113.96,107.48,111.2,6019506.0,112.72,111.11
OK,2022-08-02,ABNB,111.67,117.78,111.1,116.34,15208217.0,106.81,110.52
OK,2022-08-03,ABNB,108.225,115.57,107.65,115.02,23354938.0,113.88,109.85
OK,2022-08-04,ABNB,114.31,119.24,114.255,119.22,9180317.0,118.9,114.47
OK,2022-08-05,ABNB,115.52,118.8699,114.82,117.11,6494951.0,116.55,120.0
OK,2022-08-08,ABNB,118.155,119.64,115.43,115.82,5382935.0,115.75,118.99
OK,2022-08-09,ABNB,115.0,115.67,112.8,114.44,4201213.0,114.7,115.84
OK,2022-08-10,ABNB,119.33,120.34,116.3,118.73,5529014.0,119.22,114.48
OK,2022-08-11,ABNB,121.3,127.09,120.96,121.5,8110104.0,121.5,118.91
OK,2022-08-12,ABNB,122.8,125.0,121.12,124.51,5012478.0,124.4,123.29
OK,2022-08-15,ABNB,123.55,126.4345,123.2,126.04,4884711.0,126.0,123.8
OK,2022-08-16,ABNB,124.23,125.42,122.62,124.18,4371514.0,124.5,125.65
OK,2022-08-17,ABNB,121.63,123.27,120.64,121.87,4336182.0,121.4,123.11
OK,2022-08-18,ABNB,121.5,122.2,120.28,121.27,3373946.0,120.8,121.87
OK,2022-08-19,ABNB,118.1845,119.2199,114.1,114.76,5288830.0,114.0,120.02
OK,2022-08-22,ABNB,110.36,114.2281,109.97,111.39,6057435.0,111.96,112.23
OK,2022-08-23,ABNB,112.41,114.02,111.41,111.6,5447183.0,111.32,112.6
OK,2022-08-24,ABNB,110.93,115.57,110.84,114.51,3627950.0,114.9,111.6
OK,2022-08-25,ABNB,115.89,117.95,115.42,117.03,4021587.0,117.03,116.75
OK,2022-08-26,ABNB,117.06,118.27,112.78,112.82,3778708.0,112.66,117.0
OK,2022-08-29,ABNB,111.77,115.8,111.53,113.54,4620614.0,114.4,111.18
OK,2022-08-30,ABNB,114.5,116.02,110.44,112.56,4507191.0,112.55,115.49
OK,2022-08-31,ABNB,113.49,115.58,112.4,113.12,6191562.0,111.6,112.64
OK,2022-09-01,ABNB,111.1,114.08,108.17,113.4,5661493.0,113.78,111.74
OK,2022-09-02,ABNB,114.32,116.46,112.33,113.64,4121736.0,113.51,113.55
OK,2022-09-06,ABNB,114.09,114.52,110.5,113.7,4067119.0,113.43,113.5
OK,2022-09-07,ABNB,112.85,116.44,112.71,116.07,4619318.0,116.2,113.6
OK,2022-09-08,ABNB,114.0,119.3471,114.0,118.58,4063966.0,118.69,115.85
OK,2022-09-09,ABNB,120.0182,123.71,119.9,123.48,5418591.0,123.33,119.9
OK,2022-09-12,ABNB,124.25,127.24,123.785,124.79,6993308.0,125.0,124.0
OK,2022-09-13,ABNB,119.7,123.86,119.05,121.54,7126468.0,121.4,125.0
OK,2022-09-14,ABNB,121.63,127.0,119.51,126.8,5690127.0,126.8,121.77
OK,2022-09-15,ABNB,125.29,129.38,124.28,125.04,6606137.0,124.0,127.39
OK,2022-09-16,ABNB,121.11,122.26,117.59,118.75,13704405.0,119.08,122.0
OK,2022-09-19,ABNB,116.87,119.78,116.47,118.78,4715382.0,119.3,117.0
OK,2022-09-20,ABNB,117.93,121.66,116.62,116.71,5610900.0,116.8,118.42
OK,2022-09-21,ABNB,116.37,119.33,112.36,114.01,6898063.0,112.0,116.72
OK,2022-09-22,ABNB,112.67,113.72,103.26,103.72,8399410.0,103.7,114.07
OK,2022-09-23,ABNB,102.2,103.18,99.71,101.75,6245555.0,102.03,102.52
OK,2022-09-26,ABNB,101.78,105.36,101.56,103.23,5278759.0,103.2,101.47
OK,2022-09-27,ABNB,106.04,108.17,104.14,106.37,5081006.0,106.8,105.5
OK,2022-09-28,ABNB,106.701,111.13,105.78,110.69,4518240.0,110.45,104.68
OK,2022-09-29,ABNB,109.19,109.475,105.17,106.66,4264336.0,107.15,107.42
OK,2022-09-30,ABNB,104.76,109.08,104.73,105.04,4750577.0,104.5,107.7
OK,2022-10-03,ABNB,105.49,106.35,102.18,105.0,6208938.0,105.0,105.38
OK,2022-10-04,ABNB,109.14,111.61,108.68,110.81,4834992.0,111.71,105.63
OK,2022-10-05,ABNB,110.52,112.34,107.84,111.76,4008655.0,112.2,110.34
OK,2022-10-06,ABNB,112.0,114.41,110.2,111.58,3446542.0,111.38,110.5
OK,2022-10-07,ABNB,108.87,109.5321,107.1,108.54,3352741.0,108.0,111.06
OK,2022-10-10,ABNB,108.55,111.62,107.41,110.99,3945173.0,111.24,107.2
