status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2021-07-01,ABOS,25.07,26.98,18.9,20.1,2246748.0,20.27,25.07
OK,2021-07-02,ABOS,19.5,20.99,16.9275,20.28,414727.0,20.82,20.5
OK,2021-07-06,ABOS,19.31,20.59,18.01,20.2,151625.0,20.4,20.28
OK,2021-07-07,ABOS,20.04,20.0681,18.36,18.75,169157.0,19.88,20.04
OK,2021-07-08,ABOS,18.55,18.62,17.03,17.78,120804.0,18.2999,18.55
OK,2021-07-09,ABOS,17.78,19.5698,17.78,18.9,46083.0,18.8,19.0
OK,2021-07-12,ABOS,19.06,19.48,17.9,18.5,245749.0,18.52,19.06
OK,2021-07-13,ABOS,18.36,19.0,18.09,18.94,81198.0,18.9785,18.36
OK,2021-07-14,ABOS,18.6,19.1,18.0009,18.34,120272.0,18.35,18.94
OK,2021-07-15,ABOS,18.35,18.92,17.21,17.3,98805.0,17.5,18.35
OK,2021-07-16,ABOS,17.17,18.24,16.49,17.86,151295.0,17.77,17.17
OK,2021-07-19,ABOS,17.76,20.29,17.274,19.11,82821.0,19.14,17.76
OK,2021-07-20,ABOS,19.11,19.59,18.31,18.51,114261.0,18.76,19.11
OK,2021-07-21,ABOS,18.31,19.095,17.15,17.17,109855.0,17.5,18.31
OK,2021-07-22,ABOS,17.51,17.585,16.77,17.13,62170.0,17.03,17.51
OK,2021-07-23,ABOS,16.87,17.3085,16.48,17.08,95502.0,17.08,16.87
OK,2021-07-26,ABOS,18.79,19.68,16.56,16.57,135007.0,17.5,18.79
OK,2021-07-27,ABOS,16.93,17.52,14.41,14.5,314483.0,14.48,16.78
OK,2021-07-28,ABOS,14.61,15.76,13.95,14.9,291532.0,14.75,14.61
OK,2021-07-29,ABOS,14.77,16.125,14.34,15.32,144461.0,15.41,14.77
OK,2021-07-30,ABOS,14.87,15.675,14.85,15.48,149422.0,15.47,14.95
OK,2021-08-02,ABOS,15.41,16.24,14.5,15.27,1018288.0,15.27,15.41
OK,2021-08-03,ABOS,15.35,15.85,14.7,14.95,274834.0,15.0,15.35
OK,2021-08-04,ABOS,15.08,16.01,14.61,14.65,81602.0,16.0,15.08
OK,2021-08-05,ABOS,14.85,15.36,14.75,14.99,88258.0,14.99,14.85
OK,2021-08-06,ABOS,14.89,15.1832,14.8,15.01,76923.0,14.91,14.89
OK,2021-08-09,ABOS,15.11,15.2,14.8,15.04,69968.0,15.01,15.11
OK,2021-08-10,ABOS,15.01,15.1084,14.7,14.75,89963.0,14.75,15.49
OK,2021-08-11,ABOS,15.13,15.15,14.66,14.82,58715.0,14.83,15.05
OK,2021-08-12,ABOS,14.79,15.09,14.79,14.9,64404.0,15.0,15.0
OK,2021-08-13,ABOS,15.1,15.45,14.9,15.17,87004.0,15.11,15.0
OK,2021-08-16,ABOS,15.3001,15.385,14.95,15.29,62313.0,15.225,15.3001
OK,2021-08-17,ABOS,15.03,15.71,15.0,15.41,90853.0,15.365,15.03
OK,2021-08-18,ABOS,15.34,16.32,15.26,16.04,201377.0,15.8,15.34
OK,2021-08-19,ABOS,15.65,16.79,15.65,16.69,113478.0,16.69,15.65
OK,2021-08-20,ABOS,16.83,17.475,16.74,17.28,164401.0,17.28,16.83
OK,2021-08-23,ABOS,17.59,17.78,17.03,17.58,113363.0,17.54,17.59
OK,2021-08-24,ABOS,17.72,17.9478,16.84,17.06,94805.0,17.47,17.72
OK,2021-08-25,ABOS,17.16,17.7632,16.84,17.21,137365.0,17.055,17.16
OK,2021-08-26,ABOS,17.07,18.1899,16.44,17.45,267759.0,17.29,17.07
OK,2021-08-27,ABOS,17.48,19.27,17.2116,18.68,172688.0,18.65,17.48
OK,2021-08-30,ABOS,18.91,19.46,18.53,18.85,101770.0,18.68,18.91
OK,2021-08-31,ABOS,18.96,19.13,17.5,17.92,80469.0,17.93,18.96
OK,2021-09-01,ABOS,18.0,18.03,16.79,17.29,97439.0,17.09,18.0
OK,2021-09-02,ABOS,17.36,17.45,14.91,15.27,312865.0,15.18,17.36
OK,2021-09-03,ABOS,15.3,15.9,15.045,15.59,152680.0,15.35,15.3
OK,2021-09-07,ABOS,15.83,19.0,15.83,18.31,586033.0,18.31,15.72
OK,2021-09-08,ABOS,18.52,18.95,17.95,18.32,327804.0,18.37,18.52
OK,2021-09-09,ABOS,18.35,18.68,17.26,17.7,164028.0,17.71,18.35
OK,2021-09-10,ABOS,17.75,18.6992,17.0,17.0,128685.0,17.0,17.75
OK,2021-09-13,ABOS,16.89,17.67,15.61,16.03,186093.0,16.0,16.89
OK,2021-09-14,ABOS,15.81,16.62,15.36,15.95,349164.0,15.9,15.81
OK,2021-09-15,ABOS,15.77,16.22,14.9,15.33,496380.0,15.23,15.77
OK,2021-09-16,ABOS,15.31,16.43,15.11,16.18,405200.0,16.16,15.31
OK,2021-09-17,ABOS,16.18,17.71,15.855,16.23,1542878.0,16.23,16.18
OK,2021-09-20,ABOS,16.1,16.42,14.52,14.76,459518.0,14.76,16.1
OK,2021-09-21,ABOS,14.73,15.58,14.61,15.04,404027.0,15.04,14.73
OK,2021-09-22,ABOS,15.01,15.88,15.01,15.53,105744.0,15.53,15.01
OK,2021-09-23,ABOS,15.68,16.5,14.89,16.12,244793.0,16.12,15.68
OK,2021-09-24,ABOS,15.96,16.5,15.29,16.14,227626.0,16.09,15.96
OK,2021-09-27,ABOS,15.94,16.29,15.47,15.92,179607.0,15.92,15.94
OK,2021-09-28,ABOS,15.66,16.005,14.6,14.7,210473.0,14.65,15.66
OK,2021-09-29,ABOS,14.72,15.445,14.56,14.85,46928.0,14.83,14.72
OK,2021-09-30,ABOS,14.89,15.105,14.66,14.86,58793.0,14.82,14.89
OK,2021-10-01,ABOS,14.8,15.42,14.12,15.27,90968.0,15.27,14.8
OK,2021-10-04,ABOS,15.37,15.5,14.76,15.15,90621.0,15.15,15.37
OK,2021-10-05,ABOS,15.17,15.64,14.73,15.31,127999.0,15.31,15.17
OK,2021-10-06,ABOS,15.22,15.25,14.46,14.85,96097.0,14.85,15.22
OK,2021-10-07,ABOS,14.97,14.97,14.31,14.8,60099.0,14.8,14.97
OK,2021-10-08,ABOS,14.7,14.8202,13.41,13.45,72490.0,13.45,14.7
OK,2021-10-11,ABOS,13.5,13.88,12.7,13.09,62381.0,13.06,13.5
OK,2021-10-12,ABOS,13.12,13.535,13.0,13.47,31694.0,13.44,13.12
OK,2021-10-13,ABOS,13.42,14.53,13.165,14.39,80085.0,14.34,13.42
OK,2021-10-14,ABOS,14.5,14.5,13.72,13.93,50318.0,13.93,14.5
OK,2021-10-15,ABOS,14.17,14.29,13.05,13.55,45631.0,13.55,14.17
OK,2021-10-18,ABOS,13.58,13.58,12.84,13.46,67307.0,13.46,13.58
OK,2021-10-19,ABOS,13.46,13.95,13.15,13.88,49458.0,13.83,13.46
OK,2021-10-20,ABOS,14.01,14.41,13.59,14.16,30108.0,14.16,14.01
OK,2021-10-21,ABOS,14.22,14.65,14.16,14.56,35377.0,14.58,14.22
OK,2021-10-22,ABOS,14.65,14.65,13.84,14.38,40670.0,14.43,14.65
OK,2021-10-25,ABOS,14.4,14.5351,13.84,14.41,25899.0,14.41,14.4
OK,2021-10-26,ABOS,14.15,15.295,14.0,15.23,80872.0,15.23,14.15
OK,2021-10-27,ABOS,15.13,15.3399,14.44,14.59,59278.0,14.59,15.13
OK,2021-10-28,ABOS,14.71,14.84,14.235,14.4,45256.0,14.37,14.71
OK,2021-10-29,ABOS,14.18,14.485,13.88,14.05,46283.0,13.3,14.18
OK,2021-11-01,ABOS,14.05,14.72,13.61,13.87,27724.0,13.87,14.05
OK,2021-11-02,ABOS,13.7,14.91,13.1,13.54,51693.0,13.53,13.7
OK,2021-11-03,ABOS,13.61,14.54,13.3416,14.42,32699.0,14.42,13.61
OK,2021-11-04,ABOS,14.49,14.9,14.3001,14.73,37228.0,14.7,14.49
OK,2021-11-05,ABOS,14.96,14.96,14.59,14.88,31071.0,14.88,14.96
OK,2021-11-08,ABOS,14.92,15.12,14.43,14.58,24508.0,14.68,14.92
OK,2021-11-09,ABOS,14.8,14.8,14.11,14.78,32347.0,14.78,14.8
OK,2021-11-10,ABOS,14.69,14.95,13.96,14.13,30981.0,14.13,14.69
OK,2021-11-11,ABOS,14.33,14.33,13.33,13.41,18512.0,13.41,14.33
OK,2021-11-12,ABOS,13.63,13.6777,12.82,12.95,24938.0,12.95,13.63
OK,2021-11-15,ABOS,13.21,13.21,11.65,11.85,70684.0,11.79,13.21
OK,2021-11-16,ABOS,11.89,11.89,10.58,10.73,55645.0,10.62,11.89
OK,2021-11-17,ABOS,10.65,10.97,9.9,10.77,127301.0,10.77,10.65
OK,2021-11-18,ABOS,10.84,10.84,10.02,10.29,62765.0,10.26,10.84
OK,2021-11-19,ABOS,10.22,11.24,9.64,9.86,51111.0,9.86,10.22
OK,2021-11-22,ABOS,9.94,10.52,9.5,9.7,90268.0,9.7,9.94
OK,2021-11-23,ABOS,9.6,9.685,8.92,9.0,114932.0,9.0,9.6
OK,2021-11-24,ABOS,8.88,9.095,8.14,9.0,69216.0,9.04,8.88
OK,2021-11-26,ABOS,8.74,8.78,8.13,8.27,49101.0,8.27,8.74
OK,2021-11-29,ABOS,8.52,9.105,7.95,8.12,64711.0,8.12,8.52
OK,2021-11-30,ABOS,8.08,8.09,7.65,7.9,150393.0,7.9,8.08
OK,2021-12-01,ABOS,8.08,8.16,7.435,7.58,80941.0,7.58,8.08
OK,2021-12-02,ABOS,7.55,8.47,7.52,8.13,181760.0,8.13,7.55
OK,2021-12-03,ABOS,8.25,8.4,7.7327,7.81,80006.0,7.81,8.25
OK,2021-12-06,ABOS,7.86,7.95,7.11,7.46,214474.0,7.46,7.82
OK,2021-12-07,ABOS,7.54,7.76,7.18,7.54,141251.0,7.54,7.54
OK,2021-12-08,ABOS,7.54,7.83,7.25,7.61,107518.0,7.61,7.54
OK,2021-12-09,ABOS,7.45,7.45,7.11,7.22,120890.0,7.22,7.45
OK,2021-12-10,ABOS,7.35,7.35,6.935,7.04,97019.0,7.05,7.35
OK,2021-12-13,ABOS,7.12,7.255,6.39,6.76,151233.0,6.8,7.12
OK,2021-12-14,ABOS,6.66,6.96,6.4,6.54,101555.0,6.54,6.66
OK,2021-12-15,ABOS,6.6,7.06,6.23,6.9,285186.0,6.9,6.6
