status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2019-06-28,ABR,11.81,12.18,11.805,12.12,10599187.0,12.12,11.8
OK,2019-07-01,ABR,12.26,12.3,12.105,12.2,1426692.0,12.2,12.1199
OK,2019-07-02,ABR,12.21,12.29,12.09,12.11,1010460.0,12.11,12.2
OK,2019-07-03,ABR,12.12,12.28,12.12,12.18,626916.0,12.18,12.12
OK,2019-07-05,ABR,12.18,12.33,12.15,12.33,1360007.0,12.45,12.18
OK,2019-07-08,ABR,12.35,12.45,12.35,12.4,1274537.0,12.4,12.45
OK,2019-07-09,ABR,12.4,12.43,12.29,12.31,1478198.0,12.31,12.4
OK,2019-07-10,ABR,12.36,12.425,12.33,12.33,825317.0,12.34,12.36
OK,2019-07-11,ABR,12.4,12.47,12.32,12.34,791651.0,12.34,12.41
OK,2019-07-12,ABR,12.35,12.49,12.345,12.42,913676.0,12.42,12.4
OK,2019-07-15,ABR,12.43,12.4363,12.315,12.35,687947.0,12.35,12.5
OK,2019-07-16,ABR,12.34,12.36,12.28,12.29,752440.0,12.29,12.35
OK,2019-07-17,ABR,12.26,12.31,12.15,12.15,973559.0,12.15,12.26
OK,2019-07-18,ABR,12.1,12.17,12.0699,12.13,831164.0,12.13,12.1
OK,2019-07-19,ABR,12.13,12.155,12.07,12.11,794358.0,12.07,12.14
OK,2019-07-22,ABR,12.11,12.14,12.04,12.07,763015.0,12.0701,12.11
OK,2019-07-23,ABR,12.05,12.245,12.045,12.23,557233.0,12.23,12.07
OK,2019-07-24,ABR,12.18,12.25,12.07,12.13,744084.0,12.13,12.18
OK,2019-07-25,ABR,12.17,12.2,12.01,12.02,645603.0,12.02,12.19
OK,2019-07-26,ABR,12.05,12.15,12.0,12.11,655593.0,12.11,12.05
OK,2019-07-29,ABR,12.11,12.25,12.11,12.21,732616.0,12.31,12.11
OK,2019-07-30,ABR,12.2,12.345,12.16,12.31,631439.0,12.31,12.2
OK,2019-07-31,ABR,12.27,12.355,12.18,12.19,884987.0,12.19,12.34
OK,2019-08-01,ABR,12.18,12.4,12.18,12.25,861963.0,12.25,12.44
OK,2019-08-02,ABR,12.42,12.84,12.4,12.78,2374396.0,12.79,12.47
OK,2019-08-05,ABR,12.77,12.805,12.29,12.3,2133608.0,12.3,12.7501
OK,2019-08-06,ABR,12.3,12.42,12.19,12.39,1386556.0,12.39,12.4
OK,2019-08-07,ABR,12.4,12.615,12.23,12.55,1337396.0,12.7,12.45
OK,2019-08-08,ABR,12.67,12.7,12.535,12.67,975810.0,12.67,12.67
OK,2019-08-09,ABR,12.67,12.67,12.51,12.61,801845.0,12.65,12.7
OK,2019-08-12,ABR,12.64,12.8,12.575,12.63,1436276.0,12.63,12.75
OK,2019-08-13,ABR,12.65,12.71,12.61,12.64,1046703.0,12.79,12.67
OK,2019-08-14,ABR,12.29,12.29,11.92,11.96,1676294.0,11.95,12.35
OK,2019-08-15,ABR,12.03,12.15,12.0077,12.06,631665.0,12.06,11.98
OK,2019-08-16,ABR,12.11,12.22,12.11,12.21,947313.0,12.21,12.11
OK,2019-08-19,ABR,12.27,12.35,12.25,12.32,648497.0,12.3,12.27
OK,2019-08-20,ABR,12.32,12.32,12.17,12.23,621422.0,12.23,12.32
OK,2019-08-21,ABR,12.57,12.6,12.45,12.54,1772715.0,12.55,12.33
OK,2019-08-22,ABR,12.57,12.62,12.47,12.62,1022391.0,12.62,12.57
OK,2019-08-23,ABR,12.58,12.62,12.455,12.48,768660.0,12.48,12.63
OK,2019-08-26,ABR,12.55,12.605,12.475,12.6,638775.0,12.55,12.55
OK,2019-08-27,ABR,12.58,12.61,12.3951,12.45,917118.0,12.42,12.62
OK,2019-08-28,ABR,12.43,12.53,12.38,12.49,696068.0,12.49,12.62
OK,2019-08-29,ABR,12.5,12.58,12.4166,12.55,633635.0,12.65,12.61
OK,2019-08-30,ABR,12.62,12.64,12.41,12.55,1297539.0,12.55,12.65
OK,2019-09-03,ABR,12.57,12.57,12.42,12.44,728843.0,12.5,12.54
OK,2019-09-04,ABR,12.47,12.61,12.47,12.56,685897.0,12.56,12.47
OK,2019-09-05,ABR,12.6,12.61,12.49,12.56,526983.0,12.61,12.6
OK,2019-09-06,ABR,12.61,12.61,12.35,12.35,1452100.0,12.35,12.6
OK,2019-09-09,ABR,12.39,12.52,12.39,12.46,1386428.0,12.47,12.36
OK,2019-09-10,ABR,12.52,12.64,12.475,12.6,1066254.0,12.6,12.52
OK,2019-09-11,ABR,12.63,12.77,12.6,12.77,927098.0,12.77,12.63
OK,2019-09-12,ABR,12.8,12.84,12.74,12.77,858723.0,12.77,12.85
OK,2019-09-13,ABR,12.78,12.9065,12.76,12.84,849774.0,12.99,12.84
OK,2019-09-16,ABR,12.9,12.97,12.79,12.83,1061957.0,12.83,12.9
OK,2019-09-17,ABR,12.83,12.87,12.8,12.86,613652.0,12.86,12.83
OK,2019-09-18,ABR,12.87,12.96,12.86,12.91,872232.0,12.91,12.86
OK,2019-09-19,ABR,12.97,13.12,12.95,13.08,1162499.0,13.08,12.91
OK,2019-09-20,ABR,13.07,13.2,13.0249,13.19,1338000.0,13.19,13.07
OK,2019-09-23,ABR,13.21,13.21,13.0,13.04,920571.0,13.04,13.2
OK,2019-09-24,ABR,13.07,13.202,13.0,13.0,1055517.0,13.0,13.15
OK,2019-09-25,ABR,13.01,13.15,13.01,13.12,665961.0,13.12,13.02
OK,2019-09-26,ABR,13.12,13.18,13.1,13.12,738177.0,13.14,13.13
OK,2019-09-27,ABR,13.15,13.17,13.0,13.01,596679.0,13.01,13.15
OK,2019-09-30,ABR,13.05,13.13,13.02,13.11,1141682.0,13.11,13.1
OK,2019-10-01,ABR,13.13,13.2,13.015,13.07,679784.0,13.0,13.15
OK,2019-10-02,ABR,13.04,13.07,12.86,12.97,991262.0,12.97,13.04
OK,2019-10-03,ABR,12.95,13.018,12.86,12.92,1150211.0,12.92,13.0
OK,2019-10-04,ABR,12.92,13.05,12.89,13.03,1228158.0,13.03,12.95
OK,2019-10-07,ABR,13.03,13.15,13.02,13.1,1722567.0,13.1,13.07
OK,2019-10-08,ABR,13.1,13.17,13.0,13.1,727711.0,13.15,13.11
OK,2019-10-09,ABR,13.14,13.18,13.09,13.1,1025609.0,13.1,13.15
