status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2022-06-27,ABSI,4.01,4.02,3.66,3.74,200360.0,3.74,4.1
OK,2022-06-28,ABSI,3.76,3.8078,3.47,3.59,244297.0,3.59,3.76
OK,2022-06-29,ABSI,3.55,3.55,3.28,3.46,281738.0,3.01,3.48
OK,2022-06-30,ABSI,3.39,3.43,3.28,3.32,234158.0,3.3,3.39
OK,2022-07-01,ABSI,3.31,3.445,3.28,3.33,163289.0,3.33,3.31
OK,2022-07-05,ABSI,3.27,3.46,3.17,3.44,265042.0,3.44,3.27
OK,2022-07-06,ABSI,3.45,3.4954,3.31,3.35,221432.0,3.34,3.45
OK,2022-07-07,ABSI,3.37,3.495,3.32,3.45,264461.0,3.45,3.37
OK,2022-07-08,ABSI,3.41,3.77,3.41,3.55,303337.0,3.54,3.41
OK,2022-07-11,ABSI,3.59,3.59,3.19,3.23,331241.0,3.22,3.59
OK,2022-07-12,ABSI,3.22,3.3,3.08,3.13,147239.0,3.12,3.22
OK,2022-07-13,ABSI,3.05,3.25,3.02,3.21,136841.0,3.21,3.13
OK,2022-07-14,ABSI,3.18,3.3,3.045,3.25,278073.0,3.3,3.25
OK,2022-07-15,ABSI,3.33,3.405,3.185,3.38,295571.0,3.38,3.33
OK,2022-07-18,ABSI,3.6,3.76,3.29,3.37,251970.0,3.37,3.7
OK,2022-07-19,ABSI,3.45,3.69,3.41,3.58,563091.0,3.65,3.45
OK,2022-07-20,ABSI,3.59,3.88,3.53,3.64,238377.0,3.64,3.59
OK,2022-07-21,ABSI,3.61,3.63,3.56,3.59,66312.0,3.59,3.61
OK,2022-07-22,ABSI,3.65,3.71,3.35,3.37,126235.0,3.37,3.65
OK,2022-07-25,ABSI,3.34,3.39,3.22,3.24,270263.0,3.24,3.34
OK,2022-07-26,ABSI,3.2,3.27,3.11,3.2,55016.0,3.2,3.2
OK,2022-07-27,ABSI,3.31,3.43,3.21,3.4,127010.0,3.57,3.31
OK,2022-07-28,ABSI,3.4,3.48,3.26,3.4,105133.0,3.4,3.4
OK,2022-07-29,ABSI,3.38,3.46,3.26,3.29,129961.0,3.29,3.38
OK,2022-08-01,ABSI,3.26,3.42,3.14,3.38,217902.0,3.38,3.26
OK,2022-08-02,ABSI,3.33,3.6232,3.33,3.5,592267.0,3.54,3.33
OK,2022-08-03,ABSI,3.55,3.79,3.35,3.57,569762.0,3.57,3.51
OK,2022-08-04,ABSI,3.63,3.77,3.5,3.66,524655.0,3.66,3.59
OK,2022-08-05,ABSI,3.6,3.85,3.53,3.71,376099.0,3.84,3.66
OK,2022-08-08,ABSI,3.76,3.98,3.735,3.87,522621.0,3.93,3.76
OK,2022-08-09,ABSI,3.85,4.18,3.67,3.9,616220.0,4.0,3.85
OK,2022-08-10,ABSI,4.0,4.39,3.91,4.2,684841.0,4.2,4.0
OK,2022-08-11,ABSI,4.19,7.04,4.03,4.79,15061345.0,4.7,4.21
OK,2022-08-12,ABSI,5.13,5.34,4.7,4.78,1865205.0,4.71,4.66
OK,2022-08-15,ABSI,4.75,4.915,4.67,4.83,449860.0,4.4,4.7
OK,2022-08-16,ABSI,4.78,4.8,4.55,4.58,316932.0,4.5,4.6121
OK,2022-08-17,ABSI,4.48,4.53,4.32,4.33,295016.0,4.33,4.36
OK,2022-08-18,ABSI,4.27,4.3004,4.08,4.23,397112.0,4.23,4.27
OK,2022-08-19,ABSI,4.17,4.17,3.93,4.0,310921.0,4.0,4.12
OK,2022-08-22,ABSI,3.93,4.01,3.85,3.93,208573.0,3.93,4.0
OK,2022-08-23,ABSI,3.96,4.36,3.935,4.25,320521.0,4.25,3.81
OK,2022-08-24,ABSI,4.25,4.5,4.25,4.38,598097.0,4.38,3.65
OK,2022-08-25,ABSI,4.52,4.68,4.26,4.36,240381.0,4.36,4.52
