status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2019-06-28,ABT,83.82,84.26,83.12,84.1,16437146.0,84.11,83.82
OK,2019-07-01,ABT,84.74,84.98,83.75,84.49,4534899.0,84.1268,85.0
OK,2019-07-02,ABT,84.75,84.96,84.15,84.95,4023790.0,84.95,84.76
OK,2019-07-03,ABT,85.05,85.65,84.92,85.64,2437460.0,85.64,85.05
OK,2019-07-05,ABT,85.16,85.5,84.64,85.42,3784675.0,85.42,85.16
OK,2019-07-08,ABT,85.28,85.28,84.69,85.09,3591124.0,85.24,85.22
OK,2019-07-09,ABT,84.96,85.3699,84.82,85.27,3126144.0,85.27,85.09
OK,2019-07-10,ABT,85.68,85.88,85.15,85.38,4312210.0,85.38,85.47
OK,2019-07-11,ABT,85.65,85.99,85.185,85.77,3653828.0,85.75,85.15
OK,2019-07-12,ABT,85.28,85.44,83.055,83.92,5667317.0,83.92,85.79
OK,2019-07-15,ABT,83.81,84.24,83.41,83.81,5177792.0,83.81,83.78
OK,2019-07-16,ABT,84.11,84.24,82.9,83.16,3887066.0,83.3,84.65
OK,2019-07-17,ABT,85.89,86.75,85.43,85.76,9381611.0,85.74,83.7
OK,2019-07-18,ABT,86.24,87.84,85.32,87.76,8312263.0,87.76,86.12
OK,2019-07-19,ABT,88.29,88.325,87.45,87.49,5824225.0,87.25,88.15
OK,2019-07-22,ABT,87.36,88.71,87.27,88.07,6566274.0,88.07,87.52
OK,2019-07-23,ABT,88.1,88.76,87.53,88.74,4049344.0,88.85,87.58
OK,2019-07-24,ABT,88.45,88.69,87.59,88.59,3879278.0,88.27,88.43
OK,2019-07-25,ABT,88.27,88.47,87.74,88.0,4671391.0,88.0,88.5
OK,2019-07-26,ABT,88.35,88.62,87.3,87.75,4177830.0,87.75,87.5
OK,2019-07-29,ABT,88.06,88.615,87.38,88.55,3624045.0,88.55,88.01
OK,2019-07-30,ABT,88.18,88.73,87.85,88.31,2864824.0,88.4788,88.54
OK,2019-07-31,ABT,88.18,88.4,86.37,87.1,6197317.0,87.1,88.38
OK,2019-08-01,ABT,87.18,88.06,85.635,86.08,7022196.0,85.93,86.27
OK,2019-08-02,ABT,85.95,86.2,84.74,85.82,4756377.0,84.96,85.95
OK,2019-08-05,ABT,84.73,84.88,82.415,83.16,6253972.0,82.5,84.77
OK,2019-08-06,ABT,83.81,84.89,83.68,84.86,4422611.0,84.9,83.81
OK,2019-08-07,ABT,83.8,85.0,82.31,84.6,5502715.0,84.6,83.95
OK,2019-08-08,ABT,85.11,86.27,85.01,85.56,6439412.0,85.5,85.11
OK,2019-08-09,ABT,85.63,87.05,85.43,86.62,5102917.0,86.4,85.68
OK,2019-08-12,ABT,86.39,86.51,84.33,84.66,3572501.0,84.66,86.43
OK,2019-08-13,ABT,85.32,87.1,84.9807,86.89,4892907.0,87.0,85.11
OK,2019-08-14,ABT,85.88,86.31,83.91,83.94,4106234.0,83.3609,86.24
OK,2019-08-15,ABT,84.16,84.73,83.52,83.94,4952712.0,83.94,84.53
OK,2019-08-16,ABT,84.74,85.08,84.27,84.78,5786400.0,84.78,84.58
OK,2019-08-19,ABT,85.79,86.13,85.33,85.56,4647677.0,86.9999,85.45
OK,2019-08-20,ABT,85.95,86.01,84.48,84.54,3381201.0,84.54,85.9
OK,2019-08-21,ABT,85.05,85.15,84.29,84.9,3957820.0,85.06,85.4799
OK,2019-08-22,ABT,84.92,85.31,83.64,84.37,3279380.0,84.37,85.0
OK,2019-08-23,ABT,83.84,84.25,81.36,81.93,6263534.0,81.9262,83.84
OK,2019-08-26,ABT,82.61,83.18,82.02,83.12,3566483.0,83.29,82.68
OK,2019-08-27,ABT,83.82,84.2,83.22,83.65,4897329.0,83.65,83.87
OK,2019-08-28,ABT,83.2,84.26,83.064,84.22,3931754.0,84.22,83.31
OK,2019-08-29,ABT,85.0,85.1099,84.465,84.82,3800403.0,84.35,84.98
OK,2019-08-30,ABT,85.47,85.62,84.63,85.32,3688862.0,85.42,85.04
OK,2019-09-03,ABT,84.43,84.64,83.26,84.06,4141182.0,84.06,84.8
OK,2019-09-04,ABT,84.5,84.6999,83.78,84.22,3755265.0,84.22,84.5
OK,2019-09-05,ABT,85.0,86.16,84.56,85.9,4403912.0,85.9,84.43
OK,2019-09-06,ABT,86.23,86.43,85.6,86.04,4507425.0,86.4,86.25
OK,2019-09-09,ABT,86.34,86.43,83.87,84.22,4513170.0,84.22,86.47
OK,2019-09-10,ABT,83.44,83.48,81.02,83.21,5692128.0,83.21,84.3
OK,2019-09-11,ABT,82.45,84.56,82.25,84.52,4510104.0,84.52,83.21
OK,2019-09-12,ABT,85.03,85.99,84.91,85.21,3572776.0,85.21,84.76
OK,2019-09-13,ABT,85.3,85.36,83.89,84.27,3681567.0,84.27,85.43
OK,2019-09-16,ABT,83.91,83.91,83.03,83.36,4029008.0,83.36,84.26
OK,2019-09-17,ABT,83.4,84.5,83.2122,83.58,3642182.0,83.58,83.36
OK,2019-09-18,ABT,83.58,84.16,82.85,83.64,3084422.0,83.62,83.58
OK,2019-09-19,ABT,83.83,84.25,83.1025,83.23,3474659.0,83.23,83.98
OK,2019-09-20,ABT,83.51,83.88,82.87,83.58,8916239.0,83.58,83.62
OK,2019-09-23,ABT,83.43,83.72,83.13,83.16,2592719.0,83.2,83.58
OK,2019-09-24,ABT,83.66,84.03,82.22,82.44,3823937.0,82.44,83.69
OK,2019-09-25,ABT,82.4,83.05,82.1,82.86,3619779.0,82.86,82.45
OK,2019-09-26,ABT,83.28,83.38,82.09,82.66,3342708.0,82.66,83.51
OK,2019-09-27,ABT,83.04,83.34,81.42,81.84,3438858.0,81.84,83.02
OK,2019-09-30,ABT,82.19,84.39,82.19,83.67,4412665.0,84.05,82.06
OK,2019-10-01,ABT,84.03,84.77,81.765,81.84,4790809.0,81.72,84.03
OK,2019-10-02,ABT,81.4,81.55,78.77,79.53,5831833.0,79.53,81.5
OK,2019-10-03,ABT,79.25,81.1295,78.77,81.07,4158193.0,81.08,79.27
OK,2019-10-04,ABT,81.3,82.32,81.29,81.99,3444153.0,82.2,81.2
OK,2019-10-07,ABT,81.4,81.98,80.97,81.04,2769271.0,81.2,82.0
OK,2019-10-08,ABT,80.56,80.56,78.51,78.51,6184417.0,78.52,81.03
OK,2019-10-09,ABT,79.31,79.81,78.88,79.5,4067740.0,79.49,79.22
OK,2019-10-10,ABT,79.09,80.46,79.07,80.14,5272358.0,80.14,79.5
OK,2019-10-11,ABT,80.73,81.3296,79.55,79.63,4475991.0,79.63,80.96
OK,2019-10-14,ABT,79.69,80.19,79.42,79.82,4324221.0,80.0,79.8
OK,2019-10-15,ABT,80.7,82.75,80.7,81.98,6563358.0,83.14,80.13
OK,2019-10-16,ABT,81.36,83.69,79.65,81.78,10916259.0,81.08,82.48
OK,2019-10-17,ABT,81.52,83.0,81.47,82.38,4252046.0,82.38,81.82
OK,2019-10-18,ABT,82.41,83.32,82.025,82.79,5837004.0,82.79,82.42
OK,2019-10-21,ABT,83.14,83.28,81.515,81.65,5634266.0,81.55,83.11
OK,2019-10-22,ABT,81.81,82.28,80.5,80.54,4858463.0,80.54,81.92
OK,2019-10-23,ABT,80.69,81.6,80.41,81.27,4383224.0,81.75,80.36
OK,2019-10-24,ABT,81.59,82.09,81.205,81.36,4525780.0,81.36,81.5
OK,2019-10-25,ABT,81.45,81.965,81.08,81.65,4920081.0,81.8,81.8999
OK,2019-10-28,ABT,81.8,82.885,81.763,82.66,4814805.0,82.66,81.8
OK,2019-10-29,ABT,82.45,83.865,82.29,83.45,4663791.0,83.45,82.4111
OK,2019-10-30,ABT,83.32,84.09,82.9,84.01,3561720.0,84.0,83.65
OK,2019-10-31,ABT,83.77,84.35,82.92,83.61,4657623.0,83.61,83.77
OK,2019-11-01,ABT,84.09,84.29,82.61,82.66,5200713.0,82.66,83.4201
OK,2019-11-04,ABT,83.04,83.21,82.22,82.22,5572621.0,82.2,82.74
OK,2019-11-05,ABT,82.87,82.9,80.9,82.34,8418855.0,82.34,82.5
OK,2019-11-06,ABT,82.5,83.44,82.38,83.12,4534464.0,83.3,82.34
