status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2023-11-17,ABTS,1.0,1.01,0.7903,0.9001,39028.0,0.9001,1.0
OK,2023-11-20,ABTS,0.87,0.92294,0.87,0.9,16228.0,0.9,0.93
OK,2023-11-21,ABTS,0.91,0.95,0.91,0.95,7569.0,0.92,0.91
OK,2023-11-22,ABTS,0.95,0.98,0.95,0.9799,976.0,0.9799,0.95
OK,2023-11-24,ABTS,0.99,0.99,0.9101,0.9799,1511.0,0.9799,0.99
OK,2023-11-27,ABTS,0.9101,0.98,0.9001,0.98,8979.0,0.98,0.9101
OK,2023-11-28,ABTS,0.95,0.98,0.95,0.98,7497.0,0.98,0.95
OK,2023-11-29,ABTS,0.99,0.99,0.92,0.92,11086.0,0.92,0.99
OK,2023-11-30,ABTS,0.95,0.95,0.9202,0.93,11837.0,0.93,0.9399
OK,2023-12-01,ABTS,0.95,0.95,0.9,0.9009,6941.0,0.9009,0.95
OK,2023-12-04,ABTS,0.935,1.09,0.92,1.09,93711.0,1.09,0.935
OK,2023-12-05,ABTS,1.06,1.3,1.04,1.25,197811.0,1.23,1.06
OK,2023-12-06,ABTS,1.2,1.229,1.11,1.12,80013.0,1.11,1.22
OK,2023-12-07,ABTS,1.09,1.1,0.95,1.01,142244.0,1.01,1.1
OK,2023-12-08,ABTS,0.9797,1.08,0.9789,1.06,53966.0,1.05,0.9797
OK,2023-12-11,ABTS,1.05,1.0565,0.98,0.99,26446.0,1.0098,1.07
OK,2023-12-12,ABTS,0.99,0.9901,0.92,0.9399,48820.0,0.9399,1.01
OK,2023-12-13,ABTS,0.9501,0.99,0.93,0.99,15944.0,0.971,0.9501
OK,2023-12-14,ABTS,0.99,1.05,0.97,1.0042,35999.0,1.0042,0.99
OK,2023-12-15,ABTS,1.0,1.0399,0.96,0.96,4153.0,0.96,1.0
OK,2023-12-18,ABTS,1.0,1.08,0.95,1.0401,63241.0,0.99,1.0
OK,2023-12-19,ABTS,0.95,1.0432,0.95,0.97,61470.0,0.9727,1.03
OK,2023-12-20,ABTS,1.0,1.1,0.9895,1.0,238613.0,1.0,0.98
OK,2023-12-21,ABTS,1.04,1.04,0.9359,0.95,63892.0,0.99,1.04
OK,2023-12-22,ABTS,0.96,1.0299,0.96,1.01,10324.0,0.97,0.98
OK,2023-12-26,ABTS,0.98,1.02,0.98,1.02,10079.0,1.02,0.98
OK,2023-12-27,ABTS,1.015,1.4,0.9751,1.29,323078.0,1.43,1.015
OK,2023-12-28,ABTS,1.22,1.35,1.09,1.24,246596.0,1.38,1.36
OK,2023-12-29,ABTS,1.2,1.24,1.06,1.1401,132908.0,1.2,1.33
OK,2024-01-02,ABTS,1.2,1.24,1.16,1.24,143370.0,1.1993,1.19
OK,2024-01-03,ABTS,1.14,1.1999,1.1,1.15,52797.0,1.11,1.1483
OK,2024-01-04,ABTS,1.2,1.27,1.18,1.2399,92400.0,1.17,1.2
OK,2024-01-05,ABTS,1.23,1.23,1.18,1.2299,27463.0,1.2299,1.28
OK,2024-01-08,ABTS,1.25,1.45,1.21,1.3899,195034.0,1.44,1.23
OK,2024-01-09,ABTS,1.44,1.6,1.37,1.4494,273050.0,1.4,1.44
OK,2024-01-10,ABTS,1.45,1.47,1.22,1.3,140803.0,1.36,1.57
OK,2024-01-11,ABTS,1.44,1.44,1.1,1.1,260762.0,1.07,1.34
OK,2024-01-12,ABTS,1.14,1.14,1.04,1.096,88984.0,1.02,1.11
OK,2024-01-16,ABTS,1.05,1.13,1.05,1.0667,36604.0,1.0667,1.06
OK,2024-01-17,ABTS,1.06,1.06,0.96,1.0315,51596.0,1.0315,1.06
OK,2024-01-18,ABTS,1.0,1.0,0.9799,0.9799,27416.0,0.9799,1.03
OK,2024-01-19,ABTS,0.9998,1.03,0.97,0.98,87900.0,0.98,0.9799
OK,2024-01-22,ABTS,1.04,1.0998,1.01,1.05,10777.0,1.05,1.04
OK,2024-01-23,ABTS,1.0227,1.1,0.9999,1.05,109967.0,1.05,0.99
OK,2024-01-24,ABTS,1.1101,1.1299,1.0501,1.0501,9013.0,1.0501,1.1101
OK,2024-01-25,ABTS,1.1,1.1,0.99,0.9999,103572.0,0.99,1.09
OK,2024-01-26,ABTS,0.98,1.08,0.98,1.08,69817.0,1.05,1.0
OK,2024-01-29,ABTS,1.07,1.07,0.992,1.04,50884.0,1.04,1.01
OK,2024-01-30,ABTS,1.03,1.0899,0.99,1.03,46466.0,1.03,1.03
OK,2024-01-31,ABTS,1.05,1.08,1.0001,1.08,95319.0,1.08,1.02
OK,2024-02-01,ABTS,1.08,1.09,0.98,0.99,88044.0,0.99,1.08
OK,2024-02-02,ABTS,1.0222,1.0222,1.0,1.0,10480.0,1.0,1.0222
OK,2024-02-05,ABTS,1.0,1.0,0.93,0.93,66731.0,0.93,1.01
OK,2024-02-06,ABTS,0.9401,1.0116,0.9401,0.96,6980.0,0.96,0.9401
OK,2024-02-07,ABTS,0.96,0.96,0.91,0.92,30692.0,0.92,0.96
OK,2024-02-08,ABTS,0.99,0.99,0.95001,0.9701,58434.0,0.9216,0.92
OK,2024-02-09,ABTS,0.96,1.04,0.9401,1.03,108341.0,1.04,0.98
OK,2024-02-12,ABTS,0.9991,1.047,0.98,0.99,75154.0,1.05,1.04
OK,2024-02-13,ABTS,1.03,1.04,0.95,0.97,51987.0,0.97,1.05
OK,2024-02-14,ABTS,1.04,1.07,1.0,1.0208,83482.0,1.03,1.02
OK,2024-02-15,ABTS,0.9902,1.05,0.9801,1.02,60557.0,1.02,1.03
OK,2024-02-16,ABTS,0.98,1.02,0.9629,0.9651,138024.0,0.97,1.05
