status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2022-06-27,ABUS,2.8,2.86,2.625,2.68,928577.0,2.68,2.83
OK,2022-06-28,ABUS,2.66,2.71,2.575,2.61,675021.0,2.59,2.75
OK,2022-06-29,ABUS,2.57,2.7,2.52,2.7,553688.0,2.7,2.6
OK,2022-06-30,ABUS,2.62,2.7586,2.62,2.71,586551.0,2.7,2.62
OK,2022-07-01,ABUS,2.69,2.82,2.69,2.8,716154.0,2.8,2.7
OK,2022-07-05,ABUS,2.79,2.99,2.7719,2.88,1571864.0,2.88,2.76
OK,2022-07-06,ABUS,2.85,2.895,2.7706,2.8,585742.0,2.75,2.87
OK,2022-07-07,ABUS,2.83,2.8789,2.75,2.85,663531.0,2.77,2.8
OK,2022-07-08,ABUS,2.82,2.86,2.74,2.85,817340.0,2.85,2.82
OK,2022-07-11,ABUS,2.83,2.85,2.58,2.58,642238.0,2.59,2.84
OK,2022-07-12,ABUS,2.58,2.63,2.46,2.57,863169.0,2.575,2.6
OK,2022-07-13,ABUS,2.53,2.67,2.52,2.57,613899.0,2.57,2.63
OK,2022-07-14,ABUS,2.54,2.59,2.5,2.53,676098.0,2.52,2.58
OK,2022-07-15,ABUS,2.57,2.59,2.4505,2.54,525031.0,2.51,2.5
OK,2022-07-18,ABUS,2.58,2.6201,2.43,2.45,762244.0,2.44,2.51
OK,2022-07-19,ABUS,2.45,2.55,2.45,2.51,711957.0,2.47,2.43
OK,2022-07-20,ABUS,2.52,2.66,2.52,2.57,1167847.0,2.61,2.47
OK,2022-07-21,ABUS,2.55,2.6,2.51,2.58,718236.0,2.54,2.6
OK,2022-07-22,ABUS,2.56,2.56,2.39,2.39,1010909.0,2.48,2.57
OK,2022-07-25,ABUS,2.46,2.46,2.37,2.41,531303.0,2.41,2.44
OK,2022-07-26,ABUS,2.38,2.47,2.3425,2.37,430204.0,2.36,2.45
OK,2022-07-27,ABUS,2.41,2.41,2.34,2.4,613811.0,2.44,2.41
OK,2022-07-28,ABUS,2.39,2.39,2.32,2.37,485642.0,2.44,2.37
OK,2022-07-29,ABUS,2.36,2.36,2.26,2.31,894244.0,2.31,2.37
OK,2022-08-01,ABUS,2.28,2.3,2.2,2.2,734390.0,2.22,2.3116
OK,2022-08-02,ABUS,2.19,2.35,2.19,2.3,998059.0,2.25,2.2
OK,2022-08-03,ABUS,2.39,2.46,2.25,2.46,2043513.0,2.46,2.4392
OK,2022-08-04,ABUS,2.5,2.56,2.38,2.54,1592334.0,2.47,2.49
OK,2022-08-05,ABUS,2.5,2.56,2.4508,2.53,965856.0,2.5,2.49
OK,2022-08-08,ABUS,2.55,2.5799,2.465,2.5,986320.0,2.5,2.53
OK,2022-08-09,ABUS,2.49,2.505,2.4,2.46,923900.0,2.46,2.46
