status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2022-06-27,ABVC,9.602,9.602,9.0,9.4,12790.4,9.4,9.602
OK,2022-06-28,ABVC,9.379,9.5,8.8,9.465,7903.6,9.465,9.379
OK,2022-06-29,ABVC,9.265,10.6,9.0,10.5,14812.2,10.0,9.265
OK,2022-06-30,ABVC,10.0,10.6,9.205,10.6,5024.3,10.6,10.0
OK,2022-07-01,ABVC,10.5,10.65,9.5,10.1,8283.5,10.099,10.5
OK,2022-07-05,ABVC,10.2,10.6,9.7,10.2,6109.7,10.2,10.2
OK,2022-07-06,ABVC,9.538,10.2,9.538,9.918,8052.3,9.91,10.2
OK,2022-07-07,ABVC,10.2,10.3,9.7,10.2,5616.1,10.6,9.55
OK,2022-07-08,ABVC,10.2,10.5,9.7,10.4,8994.1,10.4,10.2
OK,2022-07-11,ABVC,10.2,10.3,8.977,9.3,11331.0,9.3,10.2
OK,2022-07-12,ABVC,9.573,9.573,8.818,9.219,30954.2,10.6,9.573
OK,2022-07-13,ABVC,9.49,9.55,8.5,8.93,25523.2,8.8,10.1
OK,2022-07-14,ABVC,8.762,9.14,8.27,8.5375,10397.4,8.5375,8.529
OK,2022-07-15,ABVC,8.4,8.5,7.067,7.823,12631.2,7.823,8.4
OK,2022-07-18,ABVC,8.7,8.7,7.5,7.955,7923.0,7.8,8.369
OK,2022-07-19,ABVC,8.8,8.8,7.912,8.349,7705.2,8.349,9.499
OK,2022-07-20,ABVC,8.35,8.479,7.7,7.943,7273.0,7.915,8.0
OK,2022-07-21,ABVC,8.022,8.05,7.5,7.823,3348.2,7.7,8.022
OK,2022-07-22,ABVC,8.05,8.05,7.5,7.843,3741.2,7.89,8.05
OK,2022-07-25,ABVC,7.85,8.15,7.85,8.0,5188.5,8.0,7.85
OK,2022-07-26,ABVC,8.0,8.108,6.766,7.248,8539.4,7.25,8.0
OK,2022-07-27,ABVC,7.131,7.5,6.66,6.833,7171.6,6.85,7.131
OK,2022-07-28,ABVC,7.132,7.132,6.5,6.8,6495.9,6.8,7.132
OK,2022-07-29,ABVC,6.8,7.14,6.5,6.5,1121.2,6.5,6.8
OK,2022-08-01,ABVC,6.69,6.69,6.5,6.68,3679.6,6.696,6.69
OK,2022-08-02,ABVC,6.8,6.859,6.2,6.489,8161.0,6.766,6.8
OK,2022-08-03,ABVC,6.45,7.1,5.79,6.7,21508.1,7.2,6.45
OK,2022-08-04,ABVC,7.0,7.1,6.4,6.737,10876.4,6.5685,7.2
OK,2022-08-05,ABVC,6.7,7.0,6.2,6.342,9465.9,6.47,7.073
OK,2022-08-08,ABVC,6.893,6.948,5.5,5.884,21435.8,6.178,6.2
OK,2022-08-09,ABVC,6.114,6.121,5.5,5.95,16185.7,5.95,6.0
OK,2022-08-10,ABVC,5.96,6.8,5.0,5.203,29489.4,5.51,5.951
OK,2022-08-11,ABVC,5.363,5.8,5.363,5.7,8765.5,5.74,5.647
OK,2022-08-12,ABVC,7.215,7.215,6.08,6.7,14711.0,6.365,7.215
OK,2022-08-15,ABVC,6.499,6.669,6.1,6.314,11140.0,6.301,6.499
OK,2022-08-16,ABVC,6.629,6.78,6.314,6.763,9899.1,6.7,6.629
OK,2022-08-17,ABVC,7.048,7.524,6.111,7.524,14543.9,7.352,6.75
OK,2022-08-18,ABVC,7.831,9.3,7.505,9.0,43933.1,8.502,7.65
OK,2022-08-19,ABVC,8.999,9.0,8.0,8.7,22108.2,8.355,8.502
OK,2022-08-22,ABVC,8.633,9.0,7.51,9.0,13045.8,9.7,9.7
OK,2022-08-23,ABVC,8.325,9.0,8.12,8.662,4829.5,8.0,8.5
OK,2022-08-24,ABVC,8.43,8.9,8.253,8.428,4628.9,9.7,8.415
OK,2022-08-25,ABVC,8.13,8.619,8.13,8.174,3737.4,8.174,8.799
OK,2022-08-26,ABVC,8.4,8.41,7.668,8.41,4719.3,8.41,8.4
OK,2022-08-29,ABVC,8.72,8.72,7.98,8.3,5696.3,8.5,8.72
OK,2022-08-30,ABVC,8.6,9.929,8.001,9.524,11369.7,9.6,8.6
OK,2022-08-31,ABVC,9.2,10.5,9.2,10.1,15965.4,10.6,9.135
OK,2022-09-01,ABVC,10.5,11.5,10.0,10.4,55859.6,10.0,10.6
OK,2022-09-02,ABVC,10.4,10.4,9.601,10.2,6368.4,10.4,10.4
OK,2022-09-06,ABVC,10.2,11.0,10.0,10.8,12074.9,11.0,10.2
OK,2022-09-07,ABVC,11.7,11.9,10.6,10.8,17429.3,10.5,11.0
OK,2022-09-08,ABVC,11.0,11.5,10.5,11.4,14743.4,10.8,10.6
OK,2022-09-09,ABVC,11.3,11.5,11.0,11.0,12275.4,11.3,11.4
OK,2022-09-12,ABVC,11.3,11.6,10.908,11.0,5175.9,11.0,11.48
OK,2022-09-13,ABVC,11.0,11.2,10.8,10.9,6846.8,11.2,11.0
OK,2022-09-14,ABVC,10.9,11.0,10.7,10.7,4238.8,10.9,11.4
OK,2022-09-15,ABVC,10.5,10.713,10.0,10.0,6621.9,10.3,10.5
OK,2022-09-16,ABVC,10.0,10.763,7.3,7.3,38499.7,8.4,10.0
