status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2019-06-28,AC,35.4,37.42,35.4,37.4,262488.0,37.4,35.4
OK,2019-07-01,AC,37.42,39.0,37.42,38.54,9233.0,39.0,37.42
OK,2019-07-02,AC,38.7,39.87,38.65,39.62,3422.0,39.87,38.7
OK,2019-07-03,AC,39.9,40.2,38.06,39.29,11847.0,39.29,39.9
OK,2019-07-05,AC,39.17,40.4864,38.6222,39.27,3847.0,39.83,39.17
OK,2019-07-08,AC,39.37,39.37,38.64,38.64,2643.0,39.29,39.37
OK,2019-07-09,AC,38.15,40.1395,37.637,39.35,2560.0,39.35,38.15
OK,2019-07-10,AC,39.3,39.58,39.06,39.31,4130.0,39.06,39.3
OK,2019-07-11,AC,38.6772,39.48,38.6772,39.45,2588.0,38.88,38.6772
OK,2019-07-12,AC,39.4,39.7,38.5,38.5,3244.0,38.7,39.4
OK,2019-07-15,AC,38.87,38.87,38.25,38.55,2233.0,38.25,38.87
OK,2019-07-16,AC,38.26,38.68,38.26,38.68,1587.0,38.32,38.26
OK,2019-07-17,AC,38.35,38.35,37.89,37.89,2897.0,37.92,38.35
OK,2019-07-18,AC,38.5,38.5,38.31,38.31,890.0,38.5,38.5
OK,2019-07-19,AC,38.24,38.85,38.24,38.65,1838.0,38.58,38.24
OK,2019-07-22,AC,38.6,38.6,38.25,38.39,1622.0,38.39,38.6
OK,2019-07-23,AC,37.79,37.79,37.79,37.79,786.0,,
OK,2019-07-24,AC,37.6,38.04,37.6,37.66,7436.0,37.66,37.6
OK,2019-07-25,AC,37.98,38.13,37.31,37.31,9582.0,37.31,37.98
OK,2019-07-26,AC,37.96,38.4495,36.55,36.83,12176.0,36.55,37.96
OK,2019-07-29,AC,36.93,37.18,36.42,37.0,5518.0,37.0,36.93
OK,2019-07-30,AC,37.14,37.58,37.11,37.28,3390.0,37.24,37.14
OK,2019-07-31,AC,37.33,37.76,37.33,37.37,5477.0,37.57,37.33
OK,2019-08-01,AC,37.52,37.7202,37.1,37.1,4275.0,37.65,37.52
OK,2019-08-02,AC,37.16,37.41,36.6051,36.67,3807.0,37.0,37.16
OK,2019-08-05,AC,35.87,35.87,35.75,35.77,3515.0,35.75,35.87
OK,2019-08-06,AC,35.65,36.25,34.91,36.25,4231.0,36.24,35.65
OK,2019-08-07,AC,36.12,36.89,36.12,36.85,1641.0,36.85,36.12
OK,2019-08-08,AC,36.43,36.98,36.2,36.2,5720.0,36.2,36.43
OK,2019-08-09,AC,36.65,36.67,36.36,36.67,2299.0,36.37,36.65
OK,2019-08-12,AC,34.2,36.48,33.12,35.67,530.0,36.48,34.2
OK,2019-08-13,AC,35.61,36.38,35.61,36.34,2642.0,36.01,35.61
OK,2019-08-14,AC,35.2085,35.8,35.0,35.0,2438.0,35.245,35.2085
OK,2019-08-15,AC,34.1801,35.62,34.1801,35.62,1034.0,35.5,34.1801
OK,2019-08-16,AC,35.85,36.32,35.85,36.32,1492.0,35.85,35.85
OK,2019-08-19,AC,35.3607,36.56,35.3607,36.39,4839.0,36.39,35.3607
OK,2019-08-20,AC,34.1,35.39,34.1,35.39,1050.0,34.71,34.1
OK,2019-08-21,AC,35.42,35.42,35.07,35.07,1591.0,35.07,35.39
OK,2019-08-22,AC,35.31,35.46,34.94,34.94,2430.0,34.99,35.31
OK,2019-08-23,AC,33.71,34.52,33.71,34.47,6440.0,34.52,33.71
OK,2019-08-26,AC,34.61,34.61,33.66,33.89,6190.0,33.9,34.61
OK,2019-08-27,AC,34.8,34.81,34.6,34.72,2785.0,34.75,34.8
OK,2019-08-28,AC,34.62,34.96,34.31,34.85,4804.0,34.5165,34.62
OK,2019-08-29,AC,34.86,35.555,34.86,34.97,1773.0,35.4,34.86
OK,2019-08-30,AC,34.71,35.13,34.71,34.76,2904.0,34.91,34.71
OK,2019-09-03,AC,34.64,35.0627,34.31,34.6,5658.0,34.31,34.64
OK,2019-09-04,AC,34.88,35.22,33.84,34.7,4344.0,34.7,34.88
OK,2019-09-05,AC,35.13,35.32,34.05,34.35,9045.0,34.57,35.13
OK,2019-09-06,AC,33.99,35.0,32.12,34.6,64799.0,34.6,33.99
OK,2019-09-09,AC,34.77,35.24,34.68,34.9,2517.0,34.725,34.77
OK,2019-09-10,AC,35.0,35.79,35.0,35.48,10369.0,35.49,35.0
OK,2019-09-11,AC,35.82,36.9,35.82,36.35,4521.0,36.79,35.82
