status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2022-06-27,ACA,47.31,47.68,46.81,47.25,197175.0,47.25,47.31
OK,2022-06-28,ACA,47.35,48.43,46.38,46.5,181155.0,46.5,47.35
OK,2022-06-29,ACA,46.61,46.61,45.02,45.73,107301.0,45.73,46.61
OK,2022-06-30,ACA,45.06,46.55,44.94,46.43,201370.0,45.84,45.06
OK,2022-07-01,ACA,46.03,46.99,45.53,46.31,145483.0,46.31,46.03
OK,2022-07-05,ACA,45.44,46.225,44.16,46.15,218203.0,46.15,45.44
OK,2022-07-06,ACA,45.66,46.06,44.535,45.41,131459.0,45.41,45.66
OK,2022-07-07,ACA,45.78,46.46,45.68,45.7,100172.0,45.7,45.78
OK,2022-07-08,ACA,45.77,45.8,44.94,45.49,103613.0,45.49,45.77
OK,2022-07-11,ACA,45.1,45.6,44.79,45.09,78249.0,45.09,45.1
OK,2022-07-12,ACA,44.68,45.7,44.68,45.01,142547.0,44.99,44.68
OK,2022-07-13,ACA,44.75,45.035,43.85,44.72,91722.0,44.73,44.75
OK,2022-07-14,ACA,43.95,44.87,43.52,44.79,103758.0,44.79,43.95
OK,2022-07-15,ACA,46.02,46.2199,44.74,45.74,156822.0,45.74,45.55
OK,2022-07-18,ACA,45.94,46.5299,45.48,45.68,109898.0,45.68,45.94
OK,2022-07-19,ACA,46.27,47.515,45.97,47.08,218208.0,47.08,46.27
OK,2022-07-20,ACA,47.12,48.26,46.79,47.97,263890.0,47.97,47.12
OK,2022-07-21,ACA,47.35,48.92,46.9734,48.88,163275.0,48.88,47.35
OK,2022-07-22,ACA,48.74,49.05,47.59,48.25,144033.0,48.25,48.74
OK,2022-07-25,ACA,48.02,48.95,47.85,48.51,120971.0,48.51,48.02
OK,2022-07-26,ACA,48.04,49.49,48.04,48.89,105255.0,48.89,48.04
OK,2022-07-27,ACA,48.89,50.125,48.78,49.7,110717.0,49.7,48.89
OK,2022-07-28,ACA,50.29,51.59,50.13,51.44,162282.0,51.44,50.2
OK,2022-07-29,ACA,51.81,52.13,51.43,51.56,143445.0,51.56,51.81
OK,2022-08-01,ACA,51.08,52.655,51.08,52.12,120582.0,52.12,51.08
OK,2022-08-02,ACA,52.05,52.52,51.56,51.78,144200.0,51.78,52.05
OK,2022-08-03,ACA,52.26,52.33,51.0148,51.3,108635.0,51.3,52.26
OK,2022-08-04,ACA,53.36,59.255,53.36,58.93,303424.0,58.93,53.36
OK,2022-08-05,ACA,58.25,60.48,57.88,60.44,246090.0,60.44,58.25
OK,2022-08-08,ACA,60.24,63.23,60.24,61.87,344255.0,61.94,60.24
OK,2022-08-09,ACA,61.81,62.16,61.22,62.0,252125.0,62.0,61.85
OK,2022-08-10,ACA,62.25,64.51,62.25,64.06,163805.0,64.06,62.25
OK,2022-08-11,ACA,64.0,64.97,63.63,63.72,144006.0,63.72,64.0
OK,2022-08-12,ACA,64.09,65.33,62.79,64.84,176623.0,64.84,64.09
OK,2022-08-15,ACA,63.9,65.17,63.54,64.99,159491.0,64.99,63.9
OK,2022-08-16,ACA,64.63,65.8,64.6,64.71,179947.0,64.71,64.63
OK,2022-08-17,ACA,64.22,64.47,63.25,63.46,305466.0,63.46,64.22
OK,2022-08-18,ACA,63.01,64.72,63.01,64.41,143060.0,64.41,63.01
OK,2022-08-19,ACA,64.25,64.29,63.44,64.28,216562.0,64.28,64.25
OK,2022-08-22,ACA,63.01,63.8737,61.61,62.42,140052.0,62.42,63.01
OK,2022-08-23,ACA,62.33,63.4,62.27,62.44,132280.0,62.44,62.33
OK,2022-08-24,ACA,62.5,63.47,61.87,62.71,112754.0,62.71,62.5
OK,2022-08-25,ACA,62.55,64.25,62.51,64.2,104338.0,64.2,62.71
OK,2022-08-26,ACA,63.93,63.93,61.93,62.04,96259.0,62.04,63.93
OK,2022-08-29,ACA,60.86,62.09,60.07,60.93,136170.0,60.93,60.86
OK,2022-08-30,ACA,61.26,61.28,59.14,59.7,158207.0,59.7,61.26
OK,2022-08-31,ACA,59.97,60.0,58.01,58.45,283428.0,58.45,59.97
OK,2022-09-01,ACA,58.15,58.415,57.05,57.47,195813.0,57.47,58.15
OK,2022-09-02,ACA,57.64,57.68,55.925,56.38,157147.0,56.38,57.64
OK,2022-09-06,ACA,56.39,57.45,55.49,57.21,201170.0,57.21,56.39
OK,2022-09-07,ACA,57.3,59.3,57.3,59.27,185233.0,59.27,57.3
OK,2022-09-08,ACA,58.48,59.535,58.08,58.95,106254.0,58.95,58.48
OK,2022-09-09,ACA,59.54,59.54,58.59,59.03,84819.0,59.03,59.54
OK,2022-09-12,ACA,59.27,59.76,58.58,59.71,118627.0,59.71,59.27
OK,2022-09-13,ACA,58.15,58.845,57.195,57.39,111336.0,57.39,58.15
OK,2022-09-14,ACA,57.01,57.19,56.341,57.05,119373.0,57.05,57.01
OK,2022-09-15,ACA,56.25,57.13,56.25,56.98,204823.0,56.98,56.25
OK,2022-09-16,ACA,56.02,56.27,55.0,56.15,381957.0,56.152,56.02
OK,2022-09-19,ACA,55.77,58.52,55.77,58.11,143896.0,58.11,55.77
OK,2022-09-20,ACA,57.38,57.52,56.69,57.38,140964.0,57.38,57.38
OK,2022-09-21,ACA,58.14,58.78,57.15,57.29,112236.0,57.29,58.14
OK,2022-09-22,ACA,57.03,57.325,55.81,56.8,187537.0,56.8,57.03
OK,2022-09-23,ACA,56.16,56.16,53.985,54.53,114443.0,54.53,56.16
OK,2022-09-26,ACA,54.34,55.77,54.05,54.22,131720.0,54.22,54.34
OK,2022-09-27,ACA,54.65,55.54,54.22,54.85,211072.0,54.85,54.65
OK,2022-09-28,ACA,54.85,57.21,54.85,56.76,277429.0,56.76,54.85
OK,2022-09-29,ACA,55.99,56.67,55.36,56.65,190195.0,56.65,55.99
OK,2022-09-30,ACA,56.82,58.56,56.45,57.18,426521.0,57.18,56.82
OK,2022-10-03,ACA,57.86,60.58,57.56,60.55,331815.0,60.55,57.86
OK,2022-10-04,ACA,61.53,63.83,61.45,63.52,364647.0,63.52,61.53
OK,2022-10-05,ACA,62.43,63.12,62.3304,62.85,183347.0,62.85,62.43
OK,2022-10-06,ACA,62.48,62.8036,61.76,62.29,171737.0,62.29,62.48
OK,2022-10-07,ACA,62.06,62.42,61.02,61.25,176491.0,61.25,62.06
OK,2022-10-10,ACA,61.37,62.19,61.08,61.08,108076.0,61.08,61.37
OK,2022-10-11,ACA,60.67,62.849,60.405,62.53,366048.0,62.53,60.67
OK,2022-10-12,ACA,61.9,61.9,58.1473,58.56,344411.0,58.56,62.6
OK,2022-10-13,ACA,57.53,59.85,56.88,59.47,292093.0,60.39,57.53
OK,2022-10-14,ACA,59.63,59.88,57.05,57.32,170510.0,57.32,59.63
OK,2022-10-17,ACA,58.47,59.55,58.225,59.01,262365.0,59.01,61.9
OK,2022-10-18,ACA,60.23,62.14,60.11,61.7,297144.0,61.7,60.23
OK,2022-10-19,ACA,61.41,61.47,59.13,60.06,136962.0,60.06,61.41
OK,2022-10-20,ACA,60.0,60.36,57.85,58.42,180583.0,58.42,60.0
OK,2022-10-21,ACA,58.99,60.56,58.61,59.97,139205.0,59.97,59.42
OK,2022-10-24,ACA,60.4,61.08,59.9383,60.31,95200.0,60.31,60.4
OK,2022-10-25,ACA,60.34,62.53,60.34,61.9,147855.0,61.9,60.34
OK,2022-10-26,ACA,63.01,63.582,61.5,61.82,152748.0,61.82,63.01
OK,2022-10-27,ACA,62.47,63.52,62.27,62.59,122233.0,62.59,62.47
OK,2022-10-28,ACA,62.83,64.63,62.83,64.58,292244.0,64.58,62.59
OK,2022-10-31,ACA,64.15,65.47,63.6957,64.2,218858.0,64.2,64.15
OK,2022-11-01,ACA,64.97,65.19,63.9716,64.83,142280.0,64.83,65.75
OK,2022-11-02,ACA,64.08,65.24,62.62,62.62,218514.0,62.62,64.08
