status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2022-03-09,ACAB,9.92,9.92,9.9001,9.9001,1635.0,9.9001,9.92
OK,2022-03-10,ACAB,9.92,9.92,9.9199,9.92,1710.0,9.92,9.92
OK,2022-03-11,ACAB,9.88,9.895,9.87,9.8705,1167.0,9.8705,9.88
OK,2022-03-14,ACAB,9.88,9.88,9.88,9.88,247.0,9.88,9.88
OK,2022-03-16,ACAB,9.905,9.905,9.905,9.905,157.0,9.905,9.905
OK,2022-03-17,ACAB,9.88,9.9,9.88,9.9,260.0,9.9,9.88
OK,2022-03-21,ACAB,9.89,9.89,9.89,9.89,15619.0,9.89,9.89
OK,2022-03-24,ACAB,9.9,9.91,9.9,9.91,113555.0,9.91,9.9
OK,2022-03-25,ACAB,9.91,9.95,9.91,9.95,8210.0,9.95,9.91
OK,2022-03-29,ACAB,9.9213,9.9213,9.9213,9.9213,117.0,9.9213,9.9213
OK,2022-04-01,ACAB,9.92,9.92,9.912,9.92,10013.0,9.92,9.92
OK,2022-04-04,ACAB,9.92,9.92,9.92,9.92,2001.0,9.92,9.92
OK,2022-04-05,ACAB,9.93,9.95,9.93,9.95,3420.0,9.95,9.93
OK,2022-04-07,ACAB,9.93,9.93,9.93,9.93,20000.0,9.93,9.93
OK,2022-04-08,ACAB,9.93,9.97,9.93,9.97,5725.0,9.97,9.93
OK,2022-04-14,ACAB,9.99,9.99,9.99,9.99,250.0,9.99,9.99
OK,2022-04-18,ACAB,10.01,10.01,10.01,10.01,1086.0,10.01,10.01
OK,2022-04-21,ACAB,10.0,10.0,10.0,10.0,105.0,10.0,10.0
OK,2022-04-25,ACAB,9.95,9.95,9.95,9.95,1394.0,,
OK,2022-04-26,ACAB,9.96,9.96,9.96,9.96,15009.0,9.96,9.96
OK,2022-04-27,ACAB,9.95,9.95,9.95,9.95,237.0,9.95,9.95
OK,2022-05-02,ACAB,9.95,9.95,9.95,9.95,5900.0,9.95,9.95
OK,2022-05-03,ACAB,9.95,9.95,9.95,9.95,813.0,9.95,9.95
OK,2022-05-04,ACAB,9.95,9.95,9.95,9.95,100000.0,9.95,9.95
OK,2022-05-05,ACAB,9.97,9.97,9.95,9.95,739101.0,9.95,9.97
OK,2022-05-06,ACAB,9.99,9.99,9.98,9.98,42439.0,9.98,9.99
