status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2022-08-08,ACAC,10.06,10.06,10.0321,10.0453,4124,10.0453,10.06
OK,2022-08-09,ACAC,10.05,10.05,10.01,10.03,1678,10.03,10.05
OK,2022-08-10,ACAC,10.0005,10.03,10.0,10.03,813,10.03,10.0005
OK,2022-08-11,ACAC,10.03,10.03,9.99,10.0,3134,10.0,10.03
OK,2022-08-12,ACAC,10.01,10.03,10.01,10.03,1164,10.03,10.01
OK,2022-08-15,ACAC,10.01,10.01,10.01,10.01,1725,10.01,10.01
OK,2022-08-17,ACAC,10.01,10.01,10.01,10.01,49603,10.01,10.01
OK,2022-08-18,ACAC,10.01,10.015,10.0,10.0,53799,10.0,10.01
OK,2022-08-22,ACAC,10.0,10.0,10.0,10.0,1244,10.0,10.0
OK,2022-08-30,ACAC,9.98,9.98,9.98,9.98,550001,9.98,9.98
OK,2022-09-08,ACAC,9.98,9.98,9.98,9.98,1861,9.98,9.98
OK,2022-09-09,ACAC,10.0,10.02,10.0,10.02,964,10.02,10.0
OK,2022-09-19,ACAC,10.05,10.05,10.05,10.05,376,10.05,10.05
OK,2022-09-21,ACAC,9.97,9.97,9.97,9.97,1331,9.97,9.97
OK,2022-10-25,ACAC,9.98,9.9801,9.98,9.98,2431,9.98,9.98
OK,2022-10-26,ACAC,10.5,10.65,10.4,10.65,1632,10.65,10.5
OK,2022-10-27,ACAC,10.41,10.41,10.41,10.41,187,10.41,10.41
OK,2022-11-01,ACAC,10.06,10.06,10.06,10.06,205,10.06,10.06
OK,2022-11-09,ACAC,10.07,10.08,10.07,10.08,4000,10.08,10.07
OK,2022-11-17,ACAC,10.09,10.09,10.09,10.09,113,10.09,10.09
OK,2022-11-23,ACAC,10.09,10.5,10.085,10.09,267492,10.09,10.09
OK,2022-11-29,ACAC,10.09,10.1,10.09,10.1,5003,10.1,10.09
OK,2022-11-30,ACAC,10.14,10.18,10.14,10.18,6190,10.18,10.14
OK,2022-12-01,ACAC,10.16,10.19,10.16,10.19,9367,10.19,10.16
OK,2022-12-02,ACAC,10.105,10.105,10.105,10.105,105,10.105,10.105
OK,2022-12-05,ACAC,10.12,10.12,10.12,10.12,12515,10.12,10.12
OK,2022-12-06,ACAC,10.12,10.13,10.1,10.13,364331,10.13,10.12
OK,2022-12-07,ACAC,10.12,10.13,10.12,10.12,115687,10.12,10.12
OK,2022-12-08,ACAC,10.13,10.14,10.125,10.14,15910,10.14,10.13
OK,2022-12-09,ACAC,10.13,10.13,10.13,10.13,10100,10.13,10.14
OK,2022-12-12,ACAC,10.135,10.14,10.13,10.14,36754,10.14,10.135
OK,2022-12-13,ACAC,10.15,10.15,10.15,10.15,14283,10.15,10.15
OK,2022-12-14,ACAC,10.16,10.16,10.15,10.16,47344,10.16,10.16
OK,2022-12-15,ACAC,10.15,10.16,10.15,10.16,500,10.16,10.15
OK,2022-12-16,ACAC,10.16,10.17,10.12,10.12,21429,10.12,10.16
OK,2022-12-19,ACAC,10.16,10.22,10.16,10.16,62408,10.16,10.16
OK,2022-12-20,ACAC,10.16,10.17,10.151,10.1695,180644,10.1695,10.16
OK,2022-12-21,ACAC,10.17,10.17,10.17,10.17,1917,10.17,10.17
OK,2022-12-23,ACAC,10.17,10.18,10.16,10.18,42824,10.18,10.17
OK,2022-12-27,ACAC,10.19,10.55,10.15,10.26,111745,10.26,10.19
OK,2022-12-29,ACAC,10.26,10.29,10.26,10.28,4116,10.28,10.26
OK,2022-12-30,ACAC,10.23,10.26,10.22,10.22,81557,10.22,10.23
OK,2023-01-03,ACAC,10.22,10.22,10.22,10.22,120487,10.22,10.22
OK,2023-01-04,ACAC,10.23,10.25,10.23,10.24,279553,10.23,10.23
OK,2023-01-05,ACAC,10.235,10.24,10.23,10.24,443931,10.24,10.235
OK,2023-01-06,ACAC,10.27,10.27,10.24,10.24,245462,10.27,10.24
OK,2023-01-12,ACAC,10.3,10.3,10.3,10.3,22595,10.3,10.3
OK,2023-01-13,ACAC,10.305,10.31,10.305,10.31,2602,10.31,10.305
OK,2023-01-17,ACAC,10.65,10.7,10.31,10.39,16594,10.39,10.65
OK,2023-01-18,ACAC,10.3,10.39,10.3,10.39,240004,10.39,10.3
OK,2023-01-19,ACAC,10.35,10.35,10.342,10.35,3101,10.35,10.35
OK,2023-01-20,ACAC,10.3,10.32,10.3,10.31,232107,10.31,10.3
OK,2023-01-23,ACAC,10.31,10.33,10.31,10.31,61289,10.31,10.31
OK,2023-01-24,ACAC,10.34,10.37,10.34,10.35,8857,10.35,10.34
OK,2023-01-26,ACAC,10.39,10.395,10.37,10.39,41927,10.39,10.39
OK,2023-02-08,ACAC,10.41,10.44,10.41,10.44,5901,10.44,10.41
OK,2023-02-09,ACAC,10.45,10.45,10.41,10.41,1028,10.41,10.45
OK,2023-02-10,ACAC,10.41,10.4156,10.33,10.41,195411,10.41,10.41
OK,2023-02-13,ACAC,10.3401,10.4,10.3401,10.4,43648,10.4,10.3401
OK,2023-02-14,ACAC,10.4,10.41,10.38,10.38,6654,10.38,10.4
OK,2023-02-16,ACAC,10.41,10.44,10.41,10.44,5236,10.44,10.41
OK,2023-02-17,ACAC,10.44,10.44,10.44,10.44,1189,10.44,10.44
OK,2023-02-21,ACAC,10.42,10.42,10.38,10.4,58036,10.42,10.42
OK,2023-02-22,ACAC,10.4,10.42,10.4,10.42,11405,10.42,10.4
OK,2023-02-23,ACAC,10.39,10.39,10.39,10.39,350,10.39,10.39
OK,2023-02-24,ACAC,10.4,10.42,10.4,10.42,85000,10.42,10.4
OK,2023-02-27,ACAC,10.44,10.46,10.44,10.45,6643,10.45,10.44
OK,2023-02-28,ACAC,10.42,10.42,10.42,10.42,1321,10.42,10.42
OK,2023-03-03,ACAC,10.44,10.44,10.44,10.44,25016,10.44,10.44
OK,2023-03-06,ACAC,10.48,10.48,10.48,10.48,2165,10.48,10.48
OK,2023-03-14,ACAC,10.48,10.48,10.48,10.48,100,10.48,10.48
OK,2023-03-15,ACAC,10.455,10.46,10.455,10.46,200,10.46,10.455
OK,2023-03-16,ACAC,10.48,10.48,10.445,10.45,59550,10.45,10.48
OK,2023-03-17,ACAC,10.45,10.45,10.45,10.45,80044,10.45,10.45
OK,2023-03-20,ACAC,10.49,10.49,10.49,10.49,344,10.49,10.49
OK,2023-03-24,ACAC,10.49,10.49,10.49,10.49,354,10.49,10.49
OK,2023-03-27,ACAC,10.52,10.52,10.52,10.52,170,10.52,10.52
OK,2023-03-29,ACAC,10.52,10.52,10.4805,10.4805,362,10.4805,10.52
OK,2023-04-04,ACAC,10.52,10.52,10.52,10.52,502,10.52,10.52
OK,2023-04-05,ACAC,10.52,10.52,10.52,10.52,270,10.52,10.52
OK,2023-04-06,ACAC,10.52,10.52,10.52,10.52,277,10.52,10.52
OK,2023-04-11,ACAC,10.48,10.48,10.48,10.48,1509,,
OK,2023-04-17,ACAC,10.54,10.54,10.54,10.54,109,10.54,10.54
OK,2023-04-19,ACAC,10.53,10.53,10.53,10.53,55043,10.53,10.53
OK,2023-04-20,ACAC,10.54,10.54,10.54,10.54,253,10.54,10.54
OK,2023-04-24,ACAC,10.54,10.54,10.5399,10.5399,1355,10.5399,10.54
OK,2023-04-26,ACAC,10.57,10.57,10.57,10.57,101,10.57,10.57
OK,2023-04-27,ACAC,10.555,10.6,10.55,10.6,18348,10.6,10.555
OK,2023-04-28,ACAC,10.6,10.6,10.57,10.57,300,10.57,10.6
OK,2023-05-02,ACAC,10.58,10.58,10.58,10.58,6529,10.58,10.58
OK,2023-05-05,ACAC,10.58,10.58,10.58,10.58,754,10.58,10.58
OK,2023-05-09,ACAC,10.58,10.58,10.58,10.58,29416,10.58,10.58
OK,2023-05-15,ACAC,10.58,10.58,10.58,10.58,3428,10.58,10.58
OK,2023-05-16,ACAC,10.64,10.6616,10.64,10.66,85109,10.66,10.64
OK,2023-05-17,ACAC,10.67,10.67,10.67,10.67,5654,10.67,10.67
OK,2023-05-18,ACAC,10.67,10.67,10.67,10.67,5007,10.67,10.67
OK,2023-05-22,ACAC,10.68,10.69,10.67,10.69,37684,10.69,10.68
OK,2023-05-23,ACAC,10.71,10.72,10.7099,10.7199,1524,10.7199,10.71
OK,2023-05-25,ACAC,10.71,10.79,10.71,10.79,6265,10.79,10.71
OK,2023-05-26,ACAC,10.93,10.93,10.785,10.785,1130,10.785,10.93
OK,2023-05-31,ACAC,10.78,10.78,10.78,10.78,24707,10.78,10.78
OK,2023-06-01,ACAC,10.78,10.78,10.78,10.78,150645,10.78,10.79
OK,2023-06-08,ACAC,10.77,10.77,10.75,10.77,9247,10.77,10.77
OK,2023-06-09,ACAC,10.77,10.77,10.77,10.77,231,10.77,10.77
OK,2023-06-12,ACAC,10.77,10.79,10.77,10.78,16735,10.78,10.77
OK,2023-06-13,ACAC,10.78,10.7803,10.78,10.78,12002,10.78,10.78
OK,2023-06-14,ACAC,10.78,10.8,10.78,10.8,9623,10.8,10.78
OK,2023-06-15,ACAC,10.7968,10.8,10.7968,10.8,303,10.8,10.7968
OK,2023-06-20,ACAC,10.795,10.8,10.795,10.8,52022,10.8,10.795
OK,2023-06-21,ACAC,10.79,10.795,10.79,10.79,6486,10.79,10.79
OK,2023-06-22,ACAC,10.8099,10.8099,10.8099,10.8099,1000,10.8099,10.8099
OK,2023-06-23,ACAC,10.8001,10.81,10.8,10.81,21017,10.81,10.8001
OK,2023-06-27,ACAC,10.82,10.82,10.81,10.81,5378,10.81,10.82
OK,2023-06-28,ACAC,10.8,10.8,10.8,10.8,374,10.8,10.8
OK,2023-06-29,ACAC,10.8,10.82,10.8,10.8084,7558,10.8084,10.8
OK,2023-06-30,ACAC,10.8,10.8252,10.8,10.8252,833,10.8252,10.8
OK,2023-07-05,ACAC,10.81,10.81,10.81,10.81,3949,10.81,10.81
OK,2023-07-06,ACAC,10.81,10.81,10.81,10.81,150206,10.81,10.81
OK,2023-07-12,ACAC,10.82,10.83,10.82,10.82,5955,10.82,10.82
OK,2023-07-13,ACAC,10.76,10.76,10.71,10.7401,7705,10.7401,10.76
OK,2023-07-17,ACAC,10.76,10.81,10.76,10.7601,1953,10.7601,10.76
