status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2019-06-28,ACAD,26.4,26.99,26.21,26.73,1560579.0,26.73,26.34
OK,2019-07-01,ACAD,26.99,27.23,26.74,26.92,857730.0,26.92,26.99
OK,2019-07-02,ACAD,26.94,26.9911,26.26,26.7,773230.0,26.7,26.94
OK,2019-07-03,ACAD,26.79,27.2,26.42,27.19,331365.0,27.19,26.79
OK,2019-07-05,ACAD,27.0,27.66,26.925,27.14,933268.0,27.14,27.0
OK,2019-07-08,ACAD,26.9,27.21,26.44,26.73,1013847.0,26.73,27.67
OK,2019-07-09,ACAD,26.61,27.48,26.61,27.21,620346.0,27.21,26.61
OK,2019-07-10,ACAD,27.39,27.75,26.57,27.3,1118499.0,27.3,27.36
OK,2019-07-11,ACAD,27.26,27.39,26.6201,27.25,976116.0,27.25,27.26
OK,2019-07-12,ACAD,27.16,27.485,26.855,27.23,570284.0,27.23,27.16
OK,2019-07-15,ACAD,27.4,27.4,26.63,26.72,576759.0,26.72,27.45
OK,2019-07-16,ACAD,26.61,27.04,26.18,26.27,678242.0,26.5,26.61
OK,2019-07-17,ACAD,26.25,26.4,25.54,25.57,930523.0,25.57,26.28
OK,2019-07-18,ACAD,25.52,26.25,25.19,26.15,801413.0,26.15,25.58
OK,2019-07-19,ACAD,26.1,26.1,25.54,25.7,1161813.0,25.7,26.1
OK,2019-07-22,ACAD,25.6,26.06,25.6,25.97,1576113.0,21.91,25.6
OK,2019-07-23,ACAD,22.5,23.2,21.56,22.22,8759488.0,22.22,21.75
OK,2019-07-24,ACAD,22.16,23.75,21.91,23.01,1870202.0,23.21,22.16
OK,2019-07-25,ACAD,23.0,23.09,22.33,22.7,1248682.0,22.7,23.01
OK,2019-07-26,ACAD,22.88,23.495,22.783,23.34,946133.0,23.35,22.88
OK,2019-07-29,ACAD,23.45,24.125,23.13,24.07,1029290.0,24.07,23.45
OK,2019-07-30,ACAD,23.99,25.03,23.86,25.0,1146736.0,24.8552,24.02
OK,2019-07-31,ACAD,25.23,25.79,24.56,24.58,1760410.0,26.2,25.27
OK,2019-08-01,ACAD,26.09,29.32,25.5,28.67,6181712.0,28.8,25.8
OK,2019-08-02,ACAD,28.63,29.25,28.07,28.73,1718995.0,28.73,29.2989
OK,2019-08-05,ACAD,28.1,29.08,27.87,28.59,1671854.0,28.0,28.1
OK,2019-08-06,ACAD,28.9,29.08,28.12,28.86,1427872.0,28.86,28.58
OK,2019-08-07,ACAD,28.47,29.4,28.125,29.01,1640547.0,27.95,28.47
OK,2019-08-08,ACAD,29.21,29.645,29.01,29.38,1601959.0,29.38,29.19
OK,2019-08-09,ACAD,29.37,30.38,29.1,29.87,1686594.0,29.87,29.6
OK,2019-08-12,ACAD,29.67,30.36,29.43,29.72,1665909.0,29.72,29.66
OK,2019-08-13,ACAD,29.54,30.2055,29.05,29.45,1290564.0,29.45,29.56
OK,2019-08-14,ACAD,29.04,29.63,28.51,29.12,1016810.0,29.0,29.04
OK,2019-08-15,ACAD,29.26,29.735,28.655,29.02,1094475.0,29.02,29.26
OK,2019-08-16,ACAD,29.32,29.86,29.22,29.61,1102958.0,29.61,29.32
OK,2019-08-19,ACAD,29.67,29.87,29.11,29.24,699017.0,29.4,29.87
OK,2019-08-20,ACAD,29.32,29.67,28.98,29.28,601535.0,29.28,29.32
OK,2019-08-21,ACAD,29.63,30.026,29.14,29.83,695349.0,29.44,29.8953
OK,2019-08-22,ACAD,29.97,29.97,29.0521,29.21,812751.0,29.21,29.83
OK,2019-08-23,ACAD,29.31,29.62,27.9,28.05,891088.0,28.13,29.2
OK,2019-08-26,ACAD,28.32,28.42,27.32,27.82,835629.0,27.82,28.32
OK,2019-08-27,ACAD,28.42,28.97,27.51,27.76,773009.0,27.76,28.42
OK,2019-08-28,ACAD,27.65,28.39,27.52,27.97,541813.0,27.97,27.95
OK,2019-08-29,ACAD,28.1,28.51,27.55,28.44,720423.0,28.44,28.1
OK,2019-08-30,ACAD,28.66,28.7806,27.43,27.66,864545.0,27.66,28.66
OK,2019-09-03,ACAD,27.32,27.32,25.05,25.26,1751444.0,25.26,27.32
OK,2019-09-04,ACAD,25.58,25.8,24.21,24.84,1659921.0,24.95,25.58
OK,2019-09-05,ACAD,25.13,25.26,24.26,24.52,1068227.0,24.4273,25.4
OK,2019-09-06,ACAD,24.6,24.77,23.77,23.8,1044615.0,24.07,24.9
OK,2019-09-09,ACAD,41.75,43.98,36.62,38.85,22620267.0,38.7,26.0
OK,2019-09-10,ACAD,39.05,41.95,38.06,41.22,7565106.0,41.5,38.85
OK,2019-09-11,ACAD,41.29,41.95,40.07,41.39,3384361.0,42.22,41.6
OK,2019-09-12,ACAD,41.17,41.55,39.05,39.14,2450125.0,39.05,41.5
OK,2019-09-13,ACAD,40.12,41.24,39.6,40.45,2962983.0,40.42,39.5
OK,2019-09-16,ACAD,40.2,44.85,40.0,44.01,4422883.0,44.25,39.9
OK,2019-09-17,ACAD,44.0,44.64,41.13,42.6,3388030.0,41.36,44.0
OK,2019-09-18,ACAD,40.65,42.58,40.03,42.16,6115498.0,42.3,41.0
OK,2019-09-19,ACAD,41.98,42.33,40.53,41.68,1973948.0,41.7,42.0
OK,2019-09-20,ACAD,41.61,42.07,40.6,40.74,4216995.0,41.88,41.62
OK,2019-09-23,ACAD,42.2,43.34,41.48,41.61,2681773.0,41.77,41.5
OK,2019-09-24,ACAD,41.57,41.76,38.0,38.67,2760857.0,38.95,42.0
OK,2019-09-25,ACAD,39.23,40.71,38.8,39.21,1960936.0,39.89,39.51
OK,2019-09-26,ACAD,39.06,39.52,37.0001,37.48,1250663.0,37.48,39.24
OK,2019-09-27,ACAD,37.56,38.545,36.02,36.78,1332405.0,36.78,37.49
OK,2019-09-30,ACAD,36.69,37.069,35.83,35.99,1392986.0,35.99,36.02
OK,2019-10-01,ACAD,38.0,39.0,36.09,36.21,2412517.0,37.15,36.45
OK,2019-10-02,ACAD,35.99,37.69,35.35,37.4,2479379.0,37.6,36.3347
OK,2019-10-03,ACAD,37.21,38.5346,37.04,38.3,1827757.0,38.7,37.2
OK,2019-10-04,ACAD,38.44,39.17,37.02,38.16,1475107.0,38.16,38.7
OK,2019-10-07,ACAD,37.79,38.86,37.67,38.7,1128791.0,38.7,37.8
OK,2019-10-08,ACAD,38.21,39.58,37.3716,39.07,1700791.0,39.0,38.8
OK,2019-10-09,ACAD,39.11,40.37,39.11,39.88,1589994.0,39.12,39.44
OK,2019-10-10,ACAD,39.93,40.7951,39.725,40.48,1754828.0,40.01,39.93
OK,2019-10-11,ACAD,40.66,40.83,40.12,40.52,1397328.0,40.52,40.66
OK,2019-10-14,ACAD,40.21,40.48,39.3446,39.48,915579.0,39.49,40.25
OK,2019-10-15,ACAD,39.57,40.79,39.56,40.16,1252446.0,40.16,39.55
OK,2019-10-16,ACAD,39.65,40.49,39.5,39.9,1255841.0,40.04,40.0
OK,2019-10-17,ACAD,40.23,40.49,39.79,39.98,1287055.0,39.98,40.18
OK,2019-10-18,ACAD,39.74,40.34,39.375,39.95,3054515.0,40.1,39.74
OK,2019-10-21,ACAD,40.67,43.45,40.02,43.24,2801675.0,43.25,40.5
OK,2019-10-22,ACAD,43.18,44.1,42.2699,42.51,1250532.0,42.35,43.49
OK,2019-10-23,ACAD,42.54,42.8,41.6,41.81,784841.0,42.0,42.54
OK,2019-10-24,ACAD,41.71,41.71,40.5293,41.13,1063012.0,41.13,41.71
OK,2019-10-25,ACAD,41.07,42.05,40.61,41.58,951734.0,41.5002,41.07
OK,2019-10-28,ACAD,41.17,42.55,41.0,42.15,966897.0,42.15,41.17
OK,2019-10-29,ACAD,42.2,42.87,41.64,42.26,958341.0,42.26,42.2
OK,2019-10-30,ACAD,42.31,43.12,41.5401,43.05,1461336.0,42.85,42.29
OK,2019-10-31,ACAD,42.79,43.94,39.75,42.41,2062180.0,42.41,43.0
OK,2019-11-01,ACAD,42.87,43.38,42.07,42.995,1461860.0,42.995,42.87
OK,2019-11-04,ACAD,43.16,43.47,42.27,42.45,1045085.0,42.45,43.5
OK,2019-11-05,ACAD,42.7,42.7,41.43,41.62,886817.0,40.28,42.7
OK,2019-11-06,ACAD,41.74,41.85,40.542,40.99,969207.0,40.99,41.74
OK,2019-11-07,ACAD,40.9,41.93,40.825,41.2,604001.0,41.2,41.16
OK,2019-11-08,ACAD,41.05,43.0101,40.68,42.61,1014157.0,42.61,41.05
OK,2019-11-11,ACAD,42.75,45.87,42.39,45.24,2606554.0,45.4,42.6
OK,2019-11-12,ACAD,45.53,47.79,45.5,46.33,2046000.0,46.45,45.5
OK,2019-11-13,ACAD,46.04,47.3,45.9,46.41,765114.0,46.36,47.5388
OK,2019-11-14,ACAD,46.44,46.72,44.33,45.47,1459845.0,45.47,46.44
OK,2019-11-15,ACAD,45.87,47.0492,45.77,46.1,1343948.0,46.11,45.88
OK,2019-11-18,ACAD,46.06,46.25,44.16,45.07,1255360.0,45.21,46.06
OK,2019-11-19,ACAD,45.25,47.45,45.1,46.81,1251674.0,46.81,45.25
OK,2019-11-20,ACAD,46.41,47.1436,45.5001,46.19,1776236.0,46.19,46.0
OK,2019-11-21,ACAD,45.46,47.9343,45.28,47.53,1246269.0,47.6,45.54
OK,2019-11-22,ACAD,47.78,48.21,46.84,47.08,646164.0,47.5,47.75
