status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2020-07-02,ACCD,35.0,36.89,29.11,29.7,8507583.0,30.24,35.0
OK,2020-07-06,ACCD,31.0,31.1794,28.68,30.0,1781419.0,30.06,30.78
OK,2020-07-07,ACCD,30.3,30.85,29.44,30.15,852073.0,30.05,30.07
OK,2020-07-08,ACCD,30.25,34.57,30.0801,34.31,1392790.0,34.44,30.49
OK,2020-07-09,ACCD,33.96,35.5,32.94,34.0,1856673.0,33.88,35.0
OK,2020-07-10,ACCD,33.75,35.33,33.07,34.9,488193.0,34.5,33.4899
OK,2020-07-13,ACCD,35.36,35.97,32.72,32.99,544929.0,32.84,36.79
OK,2020-07-14,ACCD,32.99,32.99,30.32,31.54,855612.0,31.55,32.99
OK,2020-07-15,ACCD,32.0,32.49,31.1001,32.41,569305.0,32.48,32.15
OK,2020-07-16,ACCD,32.01,32.47,31.33,32.21,422960.0,31.97,32.0
OK,2020-07-17,ACCD,31.97,33.84,31.22,33.62,262800.0,33.67,31.97
OK,2020-07-20,ACCD,33.97,33.97,31.97,32.72,161696.0,33.0,33.65
OK,2020-07-21,ACCD,32.52,33.64,32.0,32.28,187572.0,32.01,32.52
OK,2020-07-22,ACCD,31.91,32.49,31.4765,32.21,199497.0,31.51,32.28
OK,2020-07-23,ACCD,31.89,33.441,31.7,32.54,163361.0,32.55,31.89
OK,2020-07-24,ACCD,32.01,33.29,31.71,32.94,188293.0,33.01,32.01
OK,2020-07-27,ACCD,33.5,35.39,32.94,35.19,370593.0,35.25,33.6
OK,2020-07-28,ACCD,35.3,35.3018,33.2001,33.67,103535.0,33.66,35.57
OK,2020-07-29,ACCD,33.73,36.72,33.45,35.5,169096.0,35.5,34.0
OK,2020-07-30,ACCD,35.49,35.637,32.69,33.69,148720.0,33.6,35.49
OK,2020-07-31,ACCD,33.66,34.4461,32.013,32.44,134548.0,32.47,34.2
OK,2020-08-03,ACCD,32.57,33.86,32.35,33.03,112990.0,33.02,32.57
OK,2020-08-04,ACCD,32.78,35.8465,32.45,34.58,207343.0,34.59,32.78
OK,2020-08-05,ACCD,34.61,38.7,34.61,37.97,328997.0,38.9,34.6
OK,2020-08-06,ACCD,37.97,42.2,37.97,41.34,545206.0,41.81,38.895
OK,2020-08-07,ACCD,41.4,41.8,36.905,37.0,279780.0,37.0,41.4
OK,2020-08-10,ACCD,37.2,38.48,37.2,37.52,140801.0,37.44,37.2
OK,2020-08-11,ACCD,37.3,38.2885,34.52,36.15,221437.0,36.79,37.3
OK,2020-08-12,ACCD,36.57,38.0,36.23,37.63,105273.0,37.98,35.81
OK,2020-08-13,ACCD,37.15,37.6668,36.55,37.27,117839.0,39.0,37.63
OK,2020-08-14,ACCD,38.0,39.0,34.92,36.81,307008.0,36.82,37.9999
OK,2020-08-17,ACCD,36.95,38.99,36.45,37.9,191506.0,37.9,36.95
OK,2020-08-18,ACCD,38.09,39.64,37.44,37.48,397076.0,37.65,38.09
OK,2020-08-19,ACCD,37.58,39.7499,37.58,38.74,137727.0,38.74,37.58
OK,2020-08-20,ACCD,38.66,40.6,38.0,39.97,172814.0,39.97,38.66
OK,2020-08-21,ACCD,39.85,40.85,39.21,39.69,161454.0,39.69,39.85
OK,2020-08-24,ACCD,40.2,41.7399,39.56,40.14,280473.0,40.14,40.5
