status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2019-06-28,ACCO,7.7,7.935,7.7,7.87,789822.0,7.87,7.7
OK,2019-07-01,ACCO,7.97,8.04,7.73,7.78,405124.0,7.78,7.97
OK,2019-07-02,ACCO,7.75,7.87,7.67,7.87,429209.0,7.87,7.75
OK,2019-07-03,ACCO,7.88,7.96,7.75,7.75,313737.0,7.75,7.88
OK,2019-07-05,ACCO,7.69,7.9,7.64,7.87,331121.0,7.87,7.69
OK,2019-07-08,ACCO,7.87,7.93,7.81,7.84,476208.0,7.84,7.87
OK,2019-07-09,ACCO,7.77,7.835,7.63,7.79,433366.0,7.79,7.77
OK,2019-07-10,ACCO,7.82,7.93,7.72,7.77,307841.0,7.77,7.82
OK,2019-07-11,ACCO,7.76,7.763,7.48,7.57,569800.0,7.57,7.76
OK,2019-07-12,ACCO,7.57,7.79,7.54,7.75,497463.0,7.75,7.57
OK,2019-07-15,ACCO,7.76,7.78,7.46,7.74,635486.0,7.74,7.76
OK,2019-07-16,ACCO,7.72,7.88,7.72,7.79,405379.0,7.79,7.72
OK,2019-07-17,ACCO,7.75,7.8,7.64,7.67,789302.0,7.67,7.75
OK,2019-07-18,ACCO,7.65,7.93,7.62,7.88,346134.0,7.88,7.65
OK,2019-07-19,ACCO,7.86,7.96,7.84,7.87,374665.0,7.87,7.86
OK,2019-07-22,ACCO,7.87,7.935,7.75,7.83,415316.0,7.83,7.87
OK,2019-07-23,ACCO,7.85,8.0492,7.8439,7.99,479894.0,7.99,7.85
OK,2019-07-24,ACCO,7.95,8.26,7.95,8.24,402680.0,8.24,8.01
OK,2019-07-25,ACCO,8.22,8.27,8.02,8.04,479580.0,8.04,8.22
OK,2019-07-26,ACCO,8.09,8.21,8.02,8.13,477969.0,8.13,8.09
OK,2019-07-29,ACCO,8.09,8.22,8.03,8.16,467163.0,8.16,8.09
OK,2019-07-30,ACCO,8.1,8.265,8.09,8.14,569447.0,8.7,8.1
OK,2019-07-31,ACCO,8.9,9.81,8.7438,9.78,2515837.0,9.96,9.0
OK,2019-08-01,ACCO,9.78,10.05,9.65,9.72,1215202.0,9.72,9.968
OK,2019-08-02,ACCO,9.69,9.7,9.38,9.64,648124.0,9.64,9.69
OK,2019-08-05,ACCO,9.44,9.59,9.22,9.54,745043.0,9.54,9.44
OK,2019-08-06,ACCO,9.61,9.69,9.42,9.56,624605.0,9.55,9.61
OK,2019-08-07,ACCO,9.56,9.56,9.195,9.33,873712.0,9.33,9.56
OK,2019-08-08,ACCO,9.44,9.63,9.36,9.58,651336.0,9.58,9.44
OK,2019-08-09,ACCO,9.5,9.55,9.19,9.36,886501.0,9.36,9.5
OK,2019-08-12,ACCO,9.32,9.44,9.19,9.41,1090286.0,9.41,9.32
OK,2019-08-13,ACCO,9.37,9.6954,9.37,9.56,429749.0,9.56,9.37
OK,2019-08-14,ACCO,9.41,9.51,9.3,9.39,587888.0,9.39,9.41
OK,2019-08-15,ACCO,9.42,9.54,9.36,9.45,554114.0,9.45,9.42
OK,2019-08-16,ACCO,9.48,9.63,9.47,9.55,554771.0,9.55,9.48
OK,2019-08-19,ACCO,9.69,9.81,9.525,9.56,589203.0,9.56,9.69
OK,2019-08-20,ACCO,9.55,9.6237,9.5,9.57,462072.0,9.57,9.55
OK,2019-08-21,ACCO,9.67,9.79,9.64,9.72,632396.0,9.72,9.57
OK,2019-08-22,ACCO,9.7,9.89,9.675,9.84,777158.0,9.84,9.7
OK,2019-08-23,ACCO,9.76,9.91,9.53,9.53,746931.0,9.53,9.76
OK,2019-08-26,ACCO,9.69,9.69,9.32,9.33,576616.0,9.33,9.69
OK,2019-08-27,ACCO,9.41,9.46,9.03,9.03,610369.0,9.03,9.41
OK,2019-08-28,ACCO,9.03,9.4,8.9723,9.27,629988.0,9.27,9.03
OK,2019-08-29,ACCO,9.37,9.46,9.27,9.27,517454.0,9.27,9.37
OK,2019-08-30,ACCO,9.3,9.43,9.23,9.27,478162.0,9.27,9.3
OK,2019-09-03,ACCO,9.19,9.24,9.0,9.0,516358.0,9.0,9.19
OK,2019-09-04,ACCO,9.12,9.285,9.06,9.19,486651.0,9.19,9.12
OK,2019-09-05,ACCO,9.35,9.455,9.225,9.29,595811.0,9.29,9.35
OK,2019-09-06,ACCO,9.29,9.37,9.2,9.31,404969.0,9.31,9.29
OK,2019-09-09,ACCO,9.33,9.54,9.305,9.54,657150.0,9.54,9.31
OK,2019-09-10,ACCO,9.55,9.99,9.46,9.87,738039.0,9.87,9.55
OK,2019-09-11,ACCO,9.94,10.02,9.77,10.02,435035.0,10.02,9.94
OK,2019-09-12,ACCO,10.04,10.12,9.86,10.07,488583.0,10.07,10.04
OK,2019-09-13,ACCO,10.16,10.223,9.945,10.03,543233.0,10.03,10.1
OK,2019-09-16,ACCO,9.98,9.98,9.74,9.8,435574.0,9.8,9.98
OK,2019-09-17,ACCO,9.71,9.78,9.63,9.71,511222.0,9.71,9.71
OK,2019-09-18,ACCO,9.7,9.73,9.47,9.57,549798.0,9.57,9.7
OK,2019-09-19,ACCO,9.67,9.69,9.53,9.58,620636.0,9.58,9.67
OK,2019-09-20,ACCO,9.67,9.72,9.55,9.63,1554581.0,9.63,9.52
OK,2019-09-23,ACCO,9.63,9.82,9.6,9.78,637307.0,9.78,9.63
OK,2019-09-24,ACCO,9.77,9.89,9.63,9.64,573909.0,9.64,9.77
OK,2019-09-25,ACCO,9.66,9.93,9.66,9.87,414834.0,9.87,9.66
OK,2019-09-26,ACCO,9.84,9.9249,9.695,9.82,283413.0,9.82,9.84
OK,2019-09-27,ACCO,9.86,10.01,9.83,9.92,365346.0,10.47,9.86
OK,2019-09-30,ACCO,9.92,10.02,9.79,9.87,526905.0,9.87,9.92
OK,2019-10-01,ACCO,9.91,10.08,9.66,9.66,506828.0,9.66,9.91
OK,2019-10-02,ACCO,9.59,9.61,9.38,9.59,631100.0,9.59,9.65
OK,2019-10-03,ACCO,9.51,9.55,9.29,9.47,324025.0,9.47,9.51
OK,2019-10-04,ACCO,9.44,9.69,9.44,9.68,405272.0,9.68,9.44
OK,2019-10-07,ACCO,9.59,9.66,9.46,9.58,541569.0,9.58,9.59
OK,2019-10-08,ACCO,9.46,9.54,9.38,9.49,418315.0,9.49,9.46
OK,2019-10-09,ACCO,9.56,9.625,9.52,9.59,329062.0,9.59,9.56
OK,2019-10-10,ACCO,9.62,9.705,9.6,9.63,373505.0,9.63,9.62
OK,2019-10-11,ACCO,9.78,9.89,9.73,9.75,421566.0,9.75,9.78
OK,2019-10-14,ACCO,9.7,9.7233,9.58,9.64,308227.0,9.64,9.7
OK,2019-10-15,ACCO,9.64,9.715,9.53,9.55,244113.0,9.55,9.64
OK,2019-10-16,ACCO,9.51,9.64,9.48,9.59,357914.0,9.59,9.51
OK,2019-10-17,ACCO,9.64,9.76,9.5996,9.74,504579.0,9.74,9.64
OK,2019-10-18,ACCO,9.75,9.83,9.73,9.79,406209.0,9.79,9.75
OK,2019-10-21,ACCO,9.89,10.0,9.825,9.92,705899.0,9.92,9.89
OK,2019-10-22,ACCO,9.88,9.96,9.76,9.85,682518.0,9.85,9.92
OK,2019-10-23,ACCO,9.84,10.12,9.79,10.09,776691.0,10.09,9.84
OK,2019-10-24,ACCO,10.09,10.15,9.95,10.03,543925.0,10.03,10.09
OK,2019-10-25,ACCO,10.03,10.26,10.0,10.03,532349.0,10.03,10.03
OK,2019-10-28,ACCO,10.05,10.25,10.03,10.05,748596.0,10.05,10.05
OK,2019-10-29,ACCO,10.0,10.135,9.87,10.05,836588.0,8.6,10.0
OK,2019-10-30,ACCO,9.69,9.71,8.79,8.92,1384539.0,8.92,9.69
OK,2019-10-31,ACCO,8.97,9.25,8.94,9.15,1159346.0,9.155,8.97
OK,2019-11-01,ACCO,9.23,9.27,9.06,9.19,819830.0,9.19,9.23
OK,2019-11-04,ACCO,9.25,9.5,9.25,9.41,894444.0,9.41,9.25
OK,2019-11-05,ACCO,9.51,9.61,9.34,9.46,507288.0,9.46,9.51
OK,2019-11-06,ACCO,9.46,9.52,9.32,9.35,458124.0,9.35,9.46
OK,2019-11-07,ACCO,9.45,9.52,9.32,9.34,366272.0,9.34,9.45
OK,2019-11-08,ACCO,9.29,9.3824,9.25,9.32,392832.0,9.32,9.29
OK,2019-11-11,ACCO,9.25,9.3873,9.25,9.36,302902.0,9.36,9.25
OK,2019-11-12,ACCO,9.4,9.475,9.35,9.36,395781.0,9.36,9.4
OK,2019-11-13,ACCO,9.3,9.4,9.21,9.31,821581.0,9.31,9.3
OK,2019-11-14,ACCO,9.32,9.46,9.31,9.39,361541.0,9.39,9.32
OK,2019-11-15,ACCO,9.45,9.505,9.33,9.37,385009.0,9.37,9.45
OK,2019-11-18,ACCO,9.38,9.47,9.34,9.4,414828.0,9.4,9.37
OK,2019-11-19,ACCO,9.42,9.54,9.41,9.49,577059.0,9.49,9.42
OK,2019-11-20,ACCO,9.42,9.58,9.42,9.49,739780.0,9.49,9.41
OK,2019-11-21,ACCO,9.5,9.57,9.2,9.2,580430.0,9.2,9.43
OK,2019-11-22,ACCO,9.24,9.33,9.1,9.1,348584.0,9.1,9.24
OK,2019-11-25,ACCO,9.16,9.47,9.15,9.33,584500.0,9.33,9.16
OK,2019-11-26,ACCO,9.3,9.4,9.18,9.21,504680.0,9.21,9.3
OK,2019-11-27,ACCO,9.17,9.27,9.135,9.21,277648.0,9.21,9.17
OK,2019-11-29,ACCO,9.13,9.25,9.07,9.15,143907.0,9.15,9.13
OK,2019-12-02,ACCO,9.15,9.185,8.96,9.0,635016.0,9.0,9.15
OK,2019-12-03,ACCO,8.93,8.99,8.745,8.83,563036.0,8.83,8.93
OK,2019-12-04,ACCO,8.89,9.12,8.86,8.98,463683.0,8.98,8.89
OK,2019-12-05,ACCO,8.97,9.12,8.955,9.07,834676.0,9.07,8.97
OK,2019-12-06,ACCO,9.17,9.46,9.17,9.28,459821.0,9.28,9.17
OK,2019-12-09,ACCO,9.27,9.315,9.2,9.25,422535.0,9.25,9.27
OK,2019-12-10,ACCO,9.25,9.29,9.17,9.19,553982.0,9.19,9.25
OK,2019-12-11,ACCO,9.25,9.48,9.16,9.48,560674.0,9.48,9.25
OK,2019-12-12,ACCO,9.44,9.5,9.38,9.5,435688.0,9.5,9.44
OK,2019-12-13,ACCO,9.52,9.6,9.34,9.57,626404.0,9.57,9.52
OK,2019-12-16,ACCO,9.6,9.7,9.55,9.57,514371.0,9.57,9.6
OK,2019-12-17,ACCO,9.57,9.6,9.48,9.59,451069.0,9.59,9.57
OK,2019-12-18,ACCO,9.64,9.7,9.58,9.68,456703.0,9.68,9.64
OK,2019-12-19,ACCO,9.68,9.68,9.49,9.56,389737.0,9.56,9.68
OK,2019-12-20,ACCO,9.55,9.66,9.52,9.63,975407.0,9.63,9.55
OK,2019-12-23,ACCO,9.67,9.71,9.49,9.53,281265.0,9.53,9.67
OK,2019-12-24,ACCO,9.51,9.54,9.43,9.51,237701.0,9.51,9.51
OK,2019-12-26,ACCO,9.55,9.55,9.37,9.39,182263.0,9.39,9.55
OK,2019-12-27,ACCO,9.47,9.47,9.3,9.34,248289.0,9.34,9.47
OK,2019-12-30,ACCO,9.34,9.41,9.24,9.33,287999.0,9.33,9.34
OK,2019-12-31,ACCO,9.31,9.415,9.2973,9.36,317475.0,9.36,9.31
OK,2020-01-02,ACCO,9.4,9.4,9.04,9.11,507383.0,9.11,9.4
OK,2020-01-03,ACCO,9.01,9.08,8.91,8.99,405902.0,8.99,9.01
OK,2020-01-06,ACCO,8.92,9.19,8.855,9.08,798167.0,9.08,8.92
OK,2020-01-07,ACCO,9.02,9.05,8.75,8.87,471284.0,8.87,9.02
OK,2020-01-08,ACCO,8.89,8.91,8.75,8.84,442495.0,8.84,8.89
OK,2020-01-09,ACCO,8.89,8.89,8.65,8.69,401266.0,8.69,8.89
OK,2020-01-10,ACCO,8.7,8.85,8.64,8.83,388999.0,8.99,8.65
OK,2020-01-13,ACCO,8.84,9.01,8.78,9.01,416698.0,9.0,8.84
OK,2020-01-14,ACCO,8.95,9.11,8.9,9.09,346955.0,9.09,8.95
OK,2020-01-15,ACCO,9.05,9.23,9.02,9.2,355686.0,9.2,9.05
OK,2020-01-16,ACCO,9.27,9.33,9.22,9.29,296229.0,9.29,9.27
OK,2020-01-17,ACCO,9.37,9.37,9.11,9.15,272775.0,9.15,9.37
OK,2020-01-21,ACCO,9.12,9.12,8.87,9.1,453500.0,9.1,9.12
OK,2020-01-22,ACCO,9.1,9.18,9.04,9.1,269690.0,9.1,9.1
OK,2020-01-23,ACCO,9.09,9.18,8.99,9.1,250686.0,9.1,9.09
OK,2020-01-24,ACCO,9.1,9.13,9.01,9.09,305014.0,9.09,9.1
OK,2020-01-27,ACCO,9.0,9.13,8.99,9.1,417437.0,9.1,9.0
OK,2020-01-28,ACCO,9.13,9.18,9.01,9.02,272399.0,9.02,9.13
OK,2020-01-29,ACCO,9.05,9.09,8.83,8.84,474341.0,8.84,9.05
OK,2020-01-30,ACCO,8.76,9.03,8.76,9.03,404209.0,9.03,8.76
OK,2020-01-31,ACCO,8.97,9.06,8.615,8.64,458513.0,8.64,8.97
OK,2020-02-03,ACCO,8.68,8.8,8.62,8.66,409233.0,8.66,8.68
OK,2020-02-04,ACCO,8.75,8.96,8.74,8.76,406575.0,8.66,8.75
OK,2020-02-05,ACCO,8.92,9.21,8.91,9.17,329859.0,9.17,8.92
OK,2020-02-06,ACCO,9.21,9.28,9.12,9.21,351766.0,9.21,9.21
OK,2020-02-07,ACCO,9.21,9.23,9.07,9.2,245504.0,9.2,9.21
OK,2020-02-10,ACCO,9.15,9.2,9.025,9.11,202401.0,9.11,9.22
OK,2020-02-11,ACCO,9.18,9.3,9.13,9.16,360622.0,9.36,9.18
OK,2020-02-12,ACCO,9.67,11.3799,9.67,10.31,3197105.0,10.32,9.67
OK,2020-02-13,ACCO,10.25,10.62,9.96,10.14,1218104.0,10.33,10.2999
OK,2020-02-14,ACCO,10.14,10.2,9.71,9.76,496401.0,9.76,10.14
OK,2020-02-18,ACCO,9.77,9.84,9.595,9.63,471968.0,9.63,9.9
OK,2020-02-19,ACCO,9.61,9.66,9.48,9.5,357926.0,9.5,9.61
OK,2020-02-20,ACCO,9.41,9.57,9.3,9.45,447392.0,9.5013,9.41
OK,2020-02-21,ACCO,9.45,9.45,9.23,9.3,432229.0,9.3,9.46
OK,2020-02-24,ACCO,9.07,9.07,8.64,8.65,551488.0,8.65,9.2
OK,2020-02-25,ACCO,8.65,8.745,8.4,8.41,819517.0,8.41,8.65
OK,2020-02-26,ACCO,8.49,8.57,8.15,8.16,857949.0,8.16,8.49
OK,2020-02-27,ACCO,8.01,8.3,7.9,8.13,1457846.0,8.17,8.01
OK,2020-02-28,ACCO,7.9,8.26,7.82,8.01,927656.0,8.01,7.9
OK,2020-03-02,ACCO,7.99,8.28,7.92,8.27,840917.0,8.27,7.99
OK,2020-03-03,ACCO,8.25,8.56,8.05,8.08,660183.0,8.08,8.25
OK,2020-03-04,ACCO,8.18,8.48,8.1,8.41,885474.0,8.41,8.18
OK,2020-03-05,ACCO,8.2,8.35,7.98,8.07,672274.0,8.07,8.2
OK,2020-03-06,ACCO,7.79,8.17,7.76,8.03,1000737.0,8.03,7.79
OK,2020-03-09,ACCO,7.56,8.02,7.27,7.31,1041633.0,7.31,7.56
OK,2020-03-10,ACCO,7.49,7.555,6.95,7.26,949476.0,7.26,7.49
OK,2020-03-11,ACCO,7.02,7.23,6.95,7.16,772591.0,6.98,7.02
OK,2020-03-12,ACCO,6.3,6.79,6.09,6.13,991504.0,6.13,6.3
OK,2020-03-13,ACCO,6.42,6.47,5.32,5.45,1433301.0,5.45,6.42
OK,2020-03-16,ACCO,4.98,5.3,4.83,4.85,1218619.0,4.84,4.98
OK,2020-03-17,ACCO,4.83,4.975,4.58,4.81,1093858.0,4.805,4.83
OK,2020-03-18,ACCO,4.56,4.77,3.995,4.05,919788.0,4.05,4.56
