status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2022-11-02,ACDC,22.06,22.12,20.76,21.25,206407.0,21.91,22.06
OK,2022-11-03,ACDC,20.55,22.78,20.55,22.69,312091.0,22.13,20.55
OK,2022-11-04,ACDC,23.25,24.5,22.8323,23.9,641600.0,23.9,22.69
OK,2022-11-07,ACDC,23.94,26.56,23.55,24.64,874793.0,24.99,23.9
OK,2022-11-08,ACDC,24.81,25.58,23.8301,24.67,353766.0,23.44,24.8
OK,2022-11-09,ACDC,24.11,24.39,23.25,23.29,433590.0,23.29,23.75
OK,2022-11-10,ACDC,23.85,24.87,23.8376,24.53,544754.0,25.7,23.29
OK,2022-11-11,ACDC,25.95,27.0,24.58,24.99,852916.0,24.99,25.14
OK,2022-11-14,ACDC,25.0,26.0,24.5,24.69,562607.0,24.69,25.0
OK,2022-11-15,ACDC,24.96,25.0,24.0501,24.6,435163.0,24.6,24.96
OK,2022-11-16,ACDC,24.59,25.165,24.36,25.06,462019.0,25.3,24.59
OK,2022-11-17,ACDC,24.29,25.705,24.04,25.69,500897.0,25.65,25.0
OK,2022-11-18,ACDC,25.47,25.56,24.37,25.36,410658.0,25.36,25.72
OK,2022-11-21,ACDC,24.96,24.96,23.28,24.67,787856.0,24.67,24.96
OK,2022-11-22,ACDC,25.11,25.7895,25.11,25.72,616344.0,25.72,25.1
OK,2022-11-23,ACDC,25.68,25.68,23.78,24.81,329692.0,24.87,25.72
OK,2022-11-25,ACDC,24.99,25.33,24.485,24.62,121554.0,25.85,24.99
OK,2022-11-28,ACDC,23.69,24.5,22.73,23.01,378612.0,23.05,23.71
OK,2022-11-29,ACDC,23.17,23.655,22.5,23.2,930234.0,23.2,22.9252
OK,2022-11-30,ACDC,23.69,23.9,22.725,23.58,778222.0,23.59,23.69
OK,2022-12-01,ACDC,23.75,24.61,23.58,23.64,336552.0,23.64,23.75
OK,2022-12-02,ACDC,23.32,24.15,23.3,23.5,273202.0,23.5,23.32
OK,2022-12-05,ACDC,24.2,24.3,22.8,22.88,344159.0,22.88,23.5699
OK,2022-12-06,ACDC,22.69,22.92,22.17,22.44,295389.0,22.09,22.61
OK,2022-12-07,ACDC,22.51,22.7912,21.62,21.71,268120.0,21.71,22.51
OK,2022-12-08,ACDC,21.99,22.22,21.47,21.69,297729.0,21.69,21.99
OK,2022-12-09,ACDC,21.63,21.83,20.2,20.52,465877.0,20.52,21.63
OK,2022-12-12,ACDC,20.75,21.85,20.55,21.5,362719.0,21.5,20.75
OK,2022-12-13,ACDC,22.04,22.515,21.6,22.18,588084.0,22.33,21.5
OK,2022-12-14,ACDC,22.17,22.575,21.63,21.9,292208.0,21.9,22.17
OK,2022-12-15,ACDC,21.71,22.13,21.13,21.93,262518.0,22.14,21.71
OK,2022-12-16,ACDC,21.54,22.08,21.255,21.7,1207844.0,21.7,21.54
OK,2022-12-19,ACDC,21.93,22.22,21.61,21.73,158824.0,21.73,21.93
OK,2022-12-20,ACDC,21.87,23.5,21.692,23.23,377070.0,23.2,21.87
OK,2022-12-21,ACDC,23.57,23.852,23.24,23.68,278233.0,23.03,23.5
OK,2022-12-22,ACDC,23.7,23.75,22.87,23.36,195471.0,23.36,23.68
OK,2022-12-23,ACDC,23.92,25.22,23.53,25.19,284936.0,25.47,23.92
OK,2022-12-27,ACDC,25.7,26.23,24.83,25.02,637591.0,24.25,26.0
OK,2022-12-28,ACDC,25.3,25.54,23.7,24.01,282700.0,24.01,25.3
OK,2022-12-29,ACDC,23.96,25.17,23.895,24.67,388409.0,24.67,23.96
OK,2022-12-30,ACDC,24.62,25.31,23.975,25.2,631717.0,25.2,24.62
OK,2023-01-03,ACDC,25.43,25.44,21.0,21.4,809014.0,21.35,25.39
OK,2023-01-04,ACDC,20.65,21.32,19.8315,21.14,414603.0,21.14,21.94
OK,2023-01-05,ACDC,21.1,22.06,20.67,21.79,360909.0,21.95,21.72
OK,2023-01-06,ACDC,22.21,23.165,21.9,22.38,351917.0,22.38,22.21
OK,2023-01-09,ACDC,22.6,23.29,22.29,22.75,422808.0,22.71,22.38
OK,2023-01-10,ACDC,23.23,24.67,23.09,24.65,734517.0,24.65,23.18
OK,2023-01-11,ACDC,25.0,25.43,24.11,24.43,419888.0,24.43,25.0
OK,2023-01-12,ACDC,25.13,25.29,24.13,24.68,336157.0,24.2,25.13
OK,2023-01-13,ACDC,24.68,24.97,24.162,24.93,259685.0,24.93,24.68
OK,2023-01-17,ACDC,25.09,25.3,24.03,24.23,506274.0,24.23,25.09
