status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2022-06-27,ACEL,11.09,11.12,10.9,10.94,164038.0,10.94,11.06
OK,2022-06-28,ACEL,11.04,11.29,10.79,10.82,135202.0,10.82,11.04
OK,2022-06-29,ACEL,10.81,10.82,10.68,10.71,153146.0,10.71,10.81
OK,2022-06-30,ACEL,10.54,10.73,10.44,10.62,164790.0,10.62,10.54
OK,2022-07-01,ACEL,10.61,11.17,10.57,11.14,326060.0,11.14,10.61
OK,2022-07-05,ACEL,10.97,11.21,10.91,11.07,247059.0,11.07,10.97
OK,2022-07-06,ACEL,11.13,11.18,10.76,10.84,230930.0,10.84,11.13
OK,2022-07-07,ACEL,10.97,11.22,10.96,10.98,165549.0,10.98,10.97
OK,2022-07-08,ACEL,10.96,11.1,10.83,10.95,175503.0,10.95,10.96
OK,2022-07-11,ACEL,10.84,10.84,10.66,10.73,143855.0,10.73,10.84
OK,2022-07-12,ACEL,10.71,11.09,10.71,10.88,149452.0,10.88,10.71
OK,2022-07-13,ACEL,10.75,11.05,10.7,10.92,128371.0,10.92,10.75
OK,2022-07-14,ACEL,10.7,11.0,10.7,10.93,115108.0,10.93,10.7
OK,2022-07-15,ACEL,11.13,11.23,11.05,11.22,206268.0,11.22,11.1
OK,2022-07-18,ACEL,11.35,11.445,11.12,11.14,106883.0,11.13,11.35
OK,2022-07-19,ACEL,11.24,11.5,11.21,11.22,174769.0,11.21,11.24
OK,2022-07-20,ACEL,11.27,11.49,11.17,11.2,296503.0,11.2,11.27
OK,2022-07-21,ACEL,11.1,11.41,11.05,11.35,352140.0,11.35,11.1
OK,2022-07-22,ACEL,11.42,11.64,11.18,11.34,219188.0,11.34,11.25
OK,2022-07-25,ACEL,11.42,11.51,11.245,11.28,198984.0,11.26,11.42
OK,2022-07-26,ACEL,11.23,11.42,11.18,11.35,250822.0,11.35,11.23
OK,2022-07-27,ACEL,11.45,11.715,11.4,11.65,185125.0,11.65,11.45
OK,2022-07-28,ACEL,11.74,12.06,11.54,12.05,264391.0,12.05,11.74
OK,2022-07-29,ACEL,12.06,12.15,11.91,12.06,245224.0,12.06,12.06
OK,2022-08-01,ACEL,12.06,12.179,11.74,12.11,243077.0,12.11,12.12
OK,2022-08-02,ACEL,12.13,12.13,11.84,11.95,104095.0,11.95,12.13
OK,2022-08-03,ACEL,12.03,12.1,11.89,12.08,173203.0,12.08,12.03
OK,2022-08-04,ACEL,12.11,12.11,11.81,11.82,139091.0,11.82,12.11
OK,2022-08-05,ACEL,11.75,11.85,11.65,11.78,116471.0,11.78,11.82
OK,2022-08-08,ACEL,11.81,12.0,11.77,11.85,200038.0,11.85,11.81
OK,2022-08-09,ACEL,11.79,11.79,11.3,11.43,139304.0,11.39,11.79
OK,2022-08-10,ACEL,11.7,11.7,9.39,9.51,568758.0,9.99,11.7
OK,2022-08-11,ACEL,9.61,9.95,9.19,9.92,629027.0,9.915,9.97
OK,2022-08-12,ACEL,9.95,10.53,9.83,10.45,428645.0,10.44,9.95
OK,2022-08-15,ACEL,10.34,10.73,10.28,10.61,299601.0,10.61,10.34
OK,2022-08-16,ACEL,10.61,10.72,10.38,10.43,247699.0,10.43,10.6
OK,2022-08-17,ACEL,10.34,10.505,10.27,10.4,210246.0,10.4,10.34
OK,2022-08-18,ACEL,10.36,10.56,10.25,10.52,246847.0,10.52,10.36
OK,2022-08-19,ACEL,10.43,10.43,10.24,10.27,194181.0,10.27,10.43
OK,2022-08-22,ACEL,10.1,10.22,10.03,10.15,196572.0,10.16,10.1
OK,2022-08-23,ACEL,10.08,10.215,9.97,9.97,226914.0,9.97,10.08
OK,2022-08-24,ACEL,9.88,9.95,9.76,9.82,256928.0,9.82,9.88
OK,2022-08-25,ACEL,9.9,10.13,9.802,10.12,355803.0,10.12,9.9
OK,2022-08-26,ACEL,10.09,10.1,9.6,9.62,250948.0,9.62,10.09
OK,2022-08-29,ACEL,9.52,9.72,9.455,9.69,318404.0,9.79,9.52
