status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2022-06-27,ACET,13.85,14.42,13.48,14.36,432102.0,14.36,13.85
OK,2022-06-28,ACET,14.4,14.57,13.78,14.0,434396.0,13.99,14.4
OK,2022-06-29,ACET,13.87,14.65,13.519,14.58,315691.0,14.58,14.0
OK,2022-06-30,ACET,14.19,14.71,14.08,14.6,517749.0,14.6,14.19
OK,2022-07-01,ACET,14.6,14.98,14.54,14.68,288916.0,14.68,14.6
OK,2022-07-05,ACET,14.5,15.66,14.5,15.65,372852.0,15.65,14.5
OK,2022-07-06,ACET,15.66,16.55,15.66,16.43,339163.0,16.37,15.66
OK,2022-07-07,ACET,16.51,17.73,16.505,17.68,461597.0,17.7,16.51
OK,2022-07-08,ACET,17.66,18.64,17.46,18.6,559279.0,18.58,17.8
OK,2022-07-11,ACET,18.04,18.48,16.67,16.68,697837.0,16.68,18.28
OK,2022-07-12,ACET,16.65,17.42,15.63,17.11,599542.0,17.09,16.22
OK,2022-07-13,ACET,16.46,17.82,16.42,17.55,521710.0,17.55,16.46
OK,2022-07-14,ACET,17.27,17.89,16.81,17.34,296543.0,17.34,17.27
OK,2022-07-15,ACET,17.75,18.21,17.06,18.19,355150.0,18.19,17.75
OK,2022-07-18,ACET,18.64,18.85,16.555,16.74,238203.0,16.74,18.99
OK,2022-07-19,ACET,17.0,17.5,16.88,17.32,257654.0,17.32,17.0
OK,2022-07-20,ACET,17.28,17.93,17.19,17.72,225100.0,17.72,17.28
OK,2022-07-21,ACET,17.85,17.85,17.08,17.22,149367.0,17.22,17.85
OK,2022-07-22,ACET,17.23,17.69,17.0,17.05,228055.0,17.05,17.23
OK,2022-07-25,ACET,17.06,17.06,16.34,16.67,320655.0,16.67,17.06
OK,2022-07-26,ACET,16.72,17.26,16.2601,16.83,239396.0,16.83,16.72
OK,2022-07-27,ACET,17.04,17.3,16.75,17.19,293389.0,17.19,17.04
OK,2022-07-28,ACET,17.18,17.18,16.23,16.74,367940.0,16.74,17.18
OK,2022-07-29,ACET,16.65,16.94,15.77,16.89,336126.0,16.89,16.45
OK,2022-08-01,ACET,16.63,17.08,16.28,16.5,457913.0,16.5,16.49
OK,2022-08-02,ACET,16.5,17.27,16.415,17.21,214876.0,17.21,16.5
