status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2022-06-27,ACGL,44.83,45.195,44.56,44.97,1025209.0,44.97,44.11
OK,2022-06-28,ACGL,45.22,45.68,44.73,44.73,1055603.0,45.0,45.22
OK,2022-06-29,ACGL,45.0,45.0,44.56,44.63,1036579.0,44.63,45.0
OK,2022-06-30,ACGL,44.34,45.8,44.09,45.49,2488761.0,45.49,44.34
OK,2022-07-01,ACGL,45.23,46.189,44.97,45.95,962809.0,45.95,45.24
OK,2022-07-05,ACGL,45.4,45.4,43.98,44.44,1668659.0,44.44,45.95
OK,2022-07-06,ACGL,44.46,45.075,43.86,44.74,1493918.0,44.74,44.46
OK,2022-07-07,ACGL,45.33,45.65,44.78,44.8,2038135.0,44.8,45.33
OK,2022-07-08,ACGL,44.79,44.96,44.42,44.47,1030455.0,44.47,44.79
OK,2022-07-11,ACGL,44.07,44.76,44.07,44.59,1828290.0,44.59,44.07
OK,2022-07-12,ACGL,44.25,44.93,44.005,44.18,2270338.0,44.18,44.28
OK,2022-07-13,ACGL,43.96,44.48,43.53,44.21,2228558.0,44.21,43.96
OK,2022-07-14,ACGL,43.46,43.49,42.105,42.47,2275770.0,42.47,43.46
OK,2022-07-15,ACGL,42.93,43.465,42.4,43.13,10441204.0,43.13,42.93
OK,2022-07-18,ACGL,43.4,43.8,43.03,43.09,1744973.0,43.09,43.4
OK,2022-07-19,ACGL,43.58,44.0022,43.5,43.88,1487201.0,43.88,43.58
OK,2022-07-20,ACGL,43.79,43.97,43.4,43.76,1456601.0,43.76,44.23
OK,2022-07-21,ACGL,43.56,43.89,43.1,43.85,1278476.0,43.85,43.64
OK,2022-07-22,ACGL,44.0,44.1,43.305,43.67,960883.0,43.67,44.0
OK,2022-07-25,ACGL,44.01,44.48,43.71,44.08,1665222.0,44.08,44.01
OK,2022-07-26,ACGL,44.05,44.51,43.89,44.24,1065991.0,44.24,44.05
OK,2022-07-27,ACGL,44.16,44.51,43.74,44.28,1313987.0,44.28,44.22
OK,2022-07-28,ACGL,44.97,45.46,43.065,43.29,1960058.0,43.29,44.97
OK,2022-07-29,ACGL,43.39,44.65,43.34,44.4,2173807.0,44.4,43.39
OK,2022-08-01,ACGL,43.89,44.18,43.06,43.49,1611550.0,43.49,43.89
OK,2022-08-02,ACGL,43.49,43.985,43.31,43.43,2092832.0,43.43,43.49
OK,2022-08-03,ACGL,43.42,43.64,42.98,43.5,1659080.0,43.5,43.42
OK,2022-08-04,ACGL,43.41,43.86,43.28,43.55,1053398.0,43.55,43.42
OK,2022-08-05,ACGL,43.54,44.055,43.45,43.81,1236559.0,43.81,43.54
OK,2022-08-08,ACGL,44.0,44.41,44.0,44.15,1173590.0,44.15,44.0
OK,2022-08-09,ACGL,44.48,44.845,44.32,44.65,779419.0,44.65,44.48
OK,2022-08-10,ACGL,45.015,45.35,44.905,45.23,704772.0,45.23,44.94
OK,2022-08-11,ACGL,45.5,46.0,45.5,45.98,867081.0,45.98,45.5
OK,2022-08-12,ACGL,46.34,47.075,46.2,47.04,1265662.0,47.04,46.28
OK,2022-08-15,ACGL,46.42,47.11,46.1,46.99,1076380.0,46.99,46.05
OK,2022-08-16,ACGL,46.9,47.57,46.795,47.51,1185198.0,47.6,46.84
OK,2022-08-17,ACGL,47.29,47.69,47.27,47.52,904187.0,47.52,47.29
OK,2022-08-18,ACGL,47.52,47.9171,47.52,47.83,669465.0,47.83,47.52
OK,2022-08-19,ACGL,47.85,47.85,47.24,47.28,990868.0,47.28,47.85
OK,2022-08-22,ACGL,47.03,47.03,46.3301,46.43,887909.0,46.43,47.03
OK,2022-08-23,ACGL,46.32,46.65,46.2,46.49,1090813.0,46.49,46.27
OK,2022-08-24,ACGL,46.32,46.81,46.15,46.68,1095531.0,46.68,46.33
OK,2022-08-25,ACGL,46.76,47.4,46.62,47.29,1017163.0,47.29,46.76
OK,2022-08-26,ACGL,47.38,47.48,46.5,46.5,609966.0,46.5,47.38
OK,2022-08-29,ACGL,46.16,46.58,45.5501,46.24,685563.0,46.24,46.01
OK,2022-08-30,ACGL,46.38,46.38,45.625,45.74,753437.0,45.74,46.38
OK,2022-08-31,ACGL,45.78,46.04,45.3,45.72,1969029.0,45.72,45.78
OK,2022-09-01,ACGL,45.66,45.76,45.21,45.72,1106476.0,45.72,45.66
OK,2022-09-02,ACGL,46.0,46.71,45.32,45.5,945415.0,45.5,46.0
OK,2022-09-06,ACGL,45.53,46.43,44.76,45.04,1153128.0,45.04,45.53
OK,2022-09-07,ACGL,45.03,46.205,45.03,46.14,914110.0,46.14,45.03
OK,2022-09-08,ACGL,46.0,46.56,45.81,46.47,885061.0,46.47,46.0
OK,2022-09-09,ACGL,46.52,46.8615,46.32,46.52,855848.0,46.52,46.6
OK,2022-09-12,ACGL,46.79,47.4,46.73,47.09,1187061.0,47.09,46.79
OK,2022-09-13,ACGL,46.7,47.505,46.1383,47.05,1636545.0,47.05,46.7
OK,2022-09-14,ACGL,47.1,47.38,46.58,47.02,1194757.0,47.02,47.1
OK,2022-09-15,ACGL,46.94,47.695,46.77,47.28,911933.0,47.28,46.94
OK,2022-09-16,ACGL,46.98,47.11,46.28,46.52,2268026.0,46.52,46.98
OK,2022-09-19,ACGL,46.12,47.49,46.09,47.48,1131974.0,47.48,46.12
OK,2022-09-20,ACGL,47.17,47.33,45.98,46.43,1180154.0,47.25,47.99
OK,2022-09-21,ACGL,46.54,46.73,44.79,44.8,1304322.0,44.8,46.54
OK,2022-09-22,ACGL,44.68,44.81,43.69,43.93,1311584.0,43.93,44.78
OK,2022-09-23,ACGL,43.63,43.81,42.605,43.1,1301665.0,43.15,43.63
OK,2022-09-26,ACGL,42.79,42.93,41.05,41.67,2021990.0,41.67,42.76
OK,2022-09-27,ACGL,41.82,43.27,41.54,43.1,2626467.0,43.34,41.88
OK,2022-09-28,ACGL,43.14,44.84,43.14,44.47,3209459.0,44.47,43.14
OK,2022-09-29,ACGL,44.21,45.99,44.195,45.83,2830394.0,45.83,44.21
OK,2022-09-30,ACGL,45.73,46.48,45.48,45.54,2344345.0,45.54,45.73
OK,2022-10-03,ACGL,45.79,46.58,44.92,46.33,2149145.0,46.33,45.56
OK,2022-10-04,ACGL,46.46,48.72,46.42,48.69,2469273.0,48.69,46.42
OK,2022-10-05,ACGL,48.25,48.52,47.69,47.96,2197468.0,47.96,48.25
OK,2022-10-06,ACGL,47.73,48.105,47.66,48.0,2502586.0,48.0,47.71
OK,2022-10-07,ACGL,47.7,47.74,45.545,45.67,2712227.0,45.67,47.7
OK,2022-10-10,ACGL,45.74,46.85,45.67,46.64,1485913.0,46.64,45.74
OK,2022-10-11,ACGL,46.61,47.35,46.19,46.59,1479655.0,46.59,46.52
OK,2022-10-12,ACGL,46.44,46.79,45.55,45.56,1750295.0,45.8,46.48
OK,2022-10-13,ACGL,45.05,47.82,44.617,47.53,3025858.0,47.53,45.05
OK,2022-10-14,ACGL,47.98,48.07,46.74,47.0,1909432.0,47.0,47.98
OK,2022-10-17,ACGL,47.36,48.21,47.08,48.08,1735951.0,48.08,47.36
OK,2022-10-18,ACGL,48.64,49.18,48.195,48.64,1556764.0,48.64,48.64
OK,2022-10-19,ACGL,48.16,49.22,48.16,48.72,1543462.0,48.72,48.6
OK,2022-10-20,ACGL,47.99,48.57,47.305,47.52,1970141.0,47.52,47.89
OK,2022-10-21,ACGL,47.95,48.5,47.38,48.23,1935493.0,48.23,47.95
OK,2022-10-24,ACGL,48.43,49.48,48.43,49.34,1063354.0,49.34,48.43
OK,2022-10-25,ACGL,48.77,49.27,47.9,49.22,1851239.0,49.22,48.77
OK,2022-10-26,ACGL,49.31,49.66,48.595,48.79,2069277.0,47.32,49.31
OK,2022-10-27,ACGL,49.76,51.86,49.405,51.69,4057896.0,55.15,48.9
OK,2022-10-28,ACGL,55.2,56.99,55.11,56.68,13153316.0,56.61,54.86
OK,2022-10-31,ACGL,56.318,58.0,56.17,57.5,93699409.0,57.2,56.62
OK,2022-11-01,ACGL,57.52,57.95,55.33,55.44,9579301.0,55.52,57.21
OK,2022-11-02,ACGL,55.17,57.84,54.82,56.22,6391141.0,56.13,55.0
OK,2022-11-03,ACGL,55.87,57.21,55.76,56.53,3742721.0,56.53,56.11
OK,2022-11-04,ACGL,56.82,57.19,55.6,56.86,3714137.0,56.87,56.71
OK,2022-11-07,ACGL,57.03,58.2,56.65,58.01,2725655.0,58.15,56.83
OK,2022-11-08,ACGL,57.91,58.13,57.425,57.72,3021122.0,60.18,57.96
OK,2022-11-09,ACGL,57.53,58.6,57.17,57.56,1982885.0,57.56,57.75
OK,2022-11-10,ACGL,58.78,58.99,57.35,58.4,2463343.0,58.4,58.78
OK,2022-11-11,ACGL,58.84,59.14,56.415,56.77,3240207.0,56.77,58.84
OK,2022-11-14,ACGL,56.91,57.23,56.34,56.36,2036568.0,56.36,56.94
OK,2022-11-15,ACGL,56.75,56.88,55.62,56.21,2373617.0,56.21,56.56
OK,2022-11-16,ACGL,56.29,56.85,56.16,56.52,1392059.0,56.52,56.32
OK,2022-11-17,ACGL,56.18,56.77,56.0,56.55,2028014.0,56.55,56.18
OK,2022-11-18,ACGL,56.84,57.785,56.78,57.67,2015192.0,57.67,56.88
OK,2022-11-21,ACGL,57.71,58.02,57.09,57.16,1448397.0,57.16,57.71
OK,2022-11-22,ACGL,57.52,57.94,57.3401,57.78,1685687.0,57.78,57.55
OK,2022-11-23,ACGL,57.78,58.41,57.7,58.05,1046174.0,58.05,57.78
OK,2022-11-25,ACGL,58.21,58.9,58.1506,58.73,614807.0,58.73,58.21
OK,2022-11-28,ACGL,58.58,58.78,57.99,58.02,1608064.0,58.02,58.58
OK,2022-11-29,ACGL,58.21,59.02,57.72,58.98,2059165.0,58.87,58.19
OK,2022-11-30,ACGL,58.68,60.07,58.38,59.91,4182355.0,59.91,58.89
OK,2022-12-01,ACGL,60.46,60.46,59.21,59.76,1685535.0,59.76,60.47
OK,2022-12-02,ACGL,59.39,60.745,59.155,60.6,2161693.0,60.6,60.24
OK,2022-12-05,ACGL,60.37,60.43,58.71,59.17,1492444.0,59.17,60.51
OK,2022-12-06,ACGL,59.23,60.7,59.095,60.54,1809802.0,60.4,59.23
OK,2022-12-07,ACGL,60.35,60.68,59.815,60.15,1853225.0,60.15,60.41
OK,2022-12-08,ACGL,60.43,61.2,60.42,60.56,2142859.0,60.56,60.43
OK,2022-12-09,ACGL,60.44,60.97,59.99,60.04,1561013.0,60.04,60.47
OK,2022-12-12,ACGL,60.09,60.31,59.56,60.0,2142156.0,60.0,60.09
OK,2022-12-13,ACGL,60.67,60.88,59.345,59.9,1540691.0,59.9,60.57
OK,2022-12-14,ACGL,60.12,60.88,59.86,60.32,2016602.0,60.32,60.13
OK,2022-12-15,ACGL,60.09,60.945,60.02,60.75,2116411.0,60.81,60.35
OK,2022-12-16,ACGL,60.46,61.45,59.96,61.03,6451227.0,61.03,60.85
OK,2022-12-19,ACGL,60.88,61.69,60.4,60.54,1738280.0,60.95,60.97
OK,2022-12-20,ACGL,61.73,62.35,60.99,62.24,2582438.0,62.84,61.35
OK,2022-12-21,ACGL,62.45,63.53,62.23,63.36,1831646.0,63.36,62.39
OK,2022-12-22,ACGL,63.09,63.36,62.37,62.85,1396385.0,62.85,63.11
OK,2022-12-23,ACGL,62.91,63.44,62.65,63.38,890275.0,63.38,62.91
OK,2022-12-27,ACGL,63.38,63.875,63.12,63.62,666742.0,63.62,63.38
