status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2021-06-14,ACGLN,25.43,25.49,25.28,25.4,264056.0,25.47,25.43
OK,2021-06-15,ACGLN,25.35,25.4,25.25,25.32,349408.0,25.3,25.35
OK,2021-06-16,ACGLN,25.32,25.38,25.29,25.37,245881.0,25.37,25.32
OK,2021-06-17,ACGLN,25.32,25.52,25.3,25.46,197890.0,25.46,25.32
OK,2021-06-18,ACGLN,25.4,25.5,25.4,25.46,78922.0,25.46,25.4
OK,2021-06-21,ACGLN,25.48,25.5,25.37,25.47,155195.0,25.47,25.48
OK,2021-06-22,ACGLN,25.45,25.74,25.43,25.65,259406.0,25.65,25.45
OK,2021-06-23,ACGLN,25.65,25.75,25.56,25.66,380398.0,25.75,25.65
OK,2021-06-24,ACGLN,25.75,25.85,25.69,25.85,239501.0,25.85,25.75
OK,2021-06-25,ACGLN,25.85,25.85,25.57,25.66,125344.0,25.6472,25.85
OK,2021-06-28,ACGLN,25.705,25.77,25.66,25.77,53905.0,25.76,25.705
OK,2021-06-29,ACGLN,25.75,25.9,25.72,25.84,273825.0,25.84,25.75
OK,2021-06-30,ACGLN,25.85,25.99,25.68,25.81,3592448.0,25.8,25.85
OK,2021-07-01,ACGLN,25.78,25.84,25.7,25.73,300557.0,25.72,25.78
OK,2021-07-02,ACGLN,25.8,25.8299,25.72,25.78,38203.0,25.8,25.8
OK,2021-07-06,ACGLN,25.83,25.92,25.71,25.9,49743.0,25.88,25.83
OK,2021-07-07,ACGLN,25.96,26.07,25.72,26.0,90605.0,26.04,25.96
OK,2021-07-08,ACGLN,25.84,26.03,25.6772,25.7,101293.0,25.7,25.84
OK,2021-07-09,ACGLN,25.8,25.84,25.65,25.7,91418.0,25.75,25.8
OK,2021-07-12,ACGLN,25.74,25.8293,25.73,25.81,126059.0,25.807,25.74
OK,2021-07-13,ACGLN,25.81,25.9,25.77,25.78,509894.0,25.78,25.81
OK,2021-07-14,ACGLN,25.88,25.88,25.75,25.86,76613.0,25.83,25.88
OK,2021-07-15,ACGLN,25.84,25.93,25.82,25.84,130754.0,25.84,25.84
OK,2021-07-16,ACGLN,25.9,26.0,25.84,25.89,284191.0,25.89,25.9
OK,2021-07-19,ACGLN,25.9,25.9,25.715,25.8,44501.0,25.75,25.9
OK,2021-07-20,ACGLN,25.87,25.95,25.79,25.86,59672.0,25.86,25.87
OK,2021-07-21,ACGLN,25.9,25.93,25.85,25.88,36973.0,25.86,25.9
OK,2021-07-22,ACGLN,25.85,25.9585,25.53,25.62,122949.0,25.57,25.85
OK,2021-07-23,ACGLN,25.68,25.735,25.46,25.52,70770.0,25.5,25.68
OK,2021-07-26,ACGLN,25.53,25.67,25.53,25.65,60497.0,25.6714,25.53
OK,2021-07-27,ACGLN,25.51,25.64,25.41,25.63,104573.0,25.64,25.51
OK,2021-07-28,ACGLN,25.63,25.74,25.5,25.65,74477.0,25.67,25.63
OK,2021-07-29,ACGLN,25.71,25.84,25.71,25.76,44399.0,25.75,25.71
OK,2021-07-30,ACGLN,25.78,25.79,25.68,25.76,28382.0,25.74,25.78
OK,2021-08-02,ACGLN,25.81,25.9,25.77,25.85,18401.0,25.85,25.81
OK,2021-08-03,ACGLN,25.9,25.98,25.8771,25.98,46485.0,25.98,25.9
OK,2021-08-04,ACGLN,25.97,26.24,25.96,26.24,71782.0,25.99,25.97
