status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2019-06-28,BDC,58.5,59.88,58.1,59.57,691283,59.57,58.08
OK,2019-07-01,BDC,60.96,61.04,58.55,59,969959,59,60.96
OK,2019-07-02,BDC,58.69,58.98,54.8,55.33,791694,55.33,58.69
OK,2019-07-03,BDC,55.74,56.16,55.44,55.56,359804,55.56,55.33
OK,2019-07-05,BDC,55.2,56.45,55.185,56.37,221577,56.37,55.2
OK,2019-07-08,BDC,55.8,55.93,53.295,53.49,493611,53.49,55.8
OK,2019-07-09,BDC,53.17,53.77,52.38,53.71,353239,53.71,53.17
OK,2019-07-10,BDC,54.07,54.97,53.81,54.22,406856,54.22,53.65
OK,2019-07-11,BDC,54.3,54.61,52.78,53.34,254476,53.34,54.3
OK,2019-07-12,BDC,53.26,55.4,53.145,54.78,338706,54.78,53.26
OK,2019-07-15,BDC,54.85,55,53.68,54.48,191184,54.48,54.85
OK,2019-07-16,BDC,54.43,55.58,53.6501,54.56,281524,54.66,54.43
OK,2019-07-17,BDC,54.09,55.02,53.67,53.79,441826,53.79,54.09
OK,2019-07-18,BDC,53.95,54.52,53.32,54.32,281456,54.33,53.95
OK,2019-07-19,BDC,54.31,54.79,53.85,53.9,221474,53.9,54.31
OK,2019-07-22,BDC,54.03,54.9,53.97,54.41,253456,54.41,54.03
OK,2019-07-23,BDC,54.47,54.99,54.18,54.8,302271,54.8,54.47
OK,2019-07-24,BDC,54.5,56.5,54.5,56.44,337223,56.44,54.5
OK,2019-07-25,BDC,56.48,56.79,55.87,56.13,281728,56.13,56.48
OK,2019-07-26,BDC,56.52,57,56.2891,56.62,191142,56.67,56.52
OK,2019-07-29,BDC,56.19,56.73,55.78,55.98,212827,55.98,56.19
OK,2019-07-30,BDC,54.92,56.42,54.85,56.28,289133,54,54.92
OK,2019-07-31,BDC,53,54.4199,44.85,45.46,2245781.0,45.46,53
OK,2019-08-01,BDC,45.92,47.24,44.69,45.81,849219,45.81,45.92
OK,2019-08-02,BDC,45.35,45.68,44.28,45.16,491825,45.16,45.35
OK,2019-08-05,BDC,43.95,45.44,43.59,45,467660,45,43.95
OK,2019-08-06,BDC,45.53,46.275,44.28,45.07,459883,45.07,45.53
OK,2019-08-07,BDC,44.45,45.6,44.03,44.93,416417,45.01,44.45
OK,2019-08-08,BDC,45.24,46.3,45.02,46.25,412450,46.25,45.24
OK,2019-08-09,BDC,45.76,46.37,44.77,45.21,362006,45.21,45.76
OK,2019-08-12,BDC,44.7,44.715,43.6,44.11,308050,44.11,44.7
OK,2019-08-13,BDC,43.82,45.71,43.55,44.86,303413,44.86,43.82
OK,2019-08-14,BDC,43.86,44.04,42.79,42.83,453212,42.83,43.86
OK,2019-08-15,BDC,43.02,43.02,41.5,41.92,498117,41.92,43.02
OK,2019-08-16,BDC,42.21,43.635,42.21,43.49,336374,43.4925,42.21
OK,2019-08-19,BDC,44.49,44.84,44.08,44.16,224692,44.16,44.49
OK,2019-08-20,BDC,43.89,43.967,43.05,43.66,280869,43.66,43.89
OK,2019-08-21,BDC,44.4,44.99,43.94,44.66,293168,44.66,43.66
OK,2019-08-22,BDC,45.01,45.59,44.68,45.32,239484,45.32,45.01
OK,2019-08-23,BDC,44.85,45.54,43.69,43.99,462985,43.99,44.85
OK,2019-08-26,BDC,44.74,44.74,43.69,44.13,317206,44.13,44.74
OK,2019-08-27,BDC,44.5,44.5374,42.78,43.11,326914,43.11,44.5
OK,2019-08-28,BDC,42.99,44.46,42.79,44.04,212756,44.04,43.01
OK,2019-08-29,BDC,44.83,46.175,44.83,45.76,334854,45.76,44.83
OK,2019-08-30,BDC,46.05,46.5,45.46,45.61,229402,45.61,46.05
OK,2019-09-03,BDC,44.95,45.0305,43.93,45,298786,45,44.95
OK,2019-09-04,BDC,45.72,46.54,45.72,46.31,402491,46.31,45.72
OK,2019-09-05,BDC,47.18,48.65,46.775,48.03,454067,48.03,47.18
OK,2019-09-06,BDC,48.19,48.56,47.86,48.36,252668,48.36,48.19
OK,2019-09-09,BDC,48.47,49.11,47.92,49.06,412876,49.06,48.47
OK,2019-09-10,BDC,49.13,51.76,49.13,51.73,298492,51.73,49.13
OK,2019-09-11,BDC,51.85,53.09,51.09,53.07,339229,53.07,51.73
OK,2019-09-12,BDC,53.5,53.93,52.03,53.57,249995,53.57,53.47
OK,2019-09-13,BDC,54.13,54.65,53.29,53.55,252996,53.55,53.82
OK,2019-09-16,BDC,53.21,54.45,53.19,54.19,198764,54.19,53.21
OK,2019-09-17,BDC,53.52,54.12,52.61,53.64,274184,53.64,53.52
OK,2019-09-18,BDC,53.51,53.56,52.49,53.03,316583,53.03,53.51
OK,2019-09-19,BDC,53.16,53.57,52.72,52.74,268127,52.74,53.16
OK,2019-09-20,BDC,52.75,52.895,50.84,50.88,548565,50.88,52.75
OK,2019-09-23,BDC,50.46,51.05,49.665,51,426324,51,50.46
OK,2019-09-24,BDC,51.02,51.605,50.77,51.25,286096,51.25,51.02
OK,2019-09-25,BDC,50.89,53.47,50.89,53.23,297235,53.23,50.89
OK,2019-09-26,BDC,53.11,53.75,52.62,53.32,192826,53.32,53.11
OK,2019-09-27,BDC,53.63,54.26,52.52,52.97,182722,52.97,53.63
OK,2019-09-30,BDC,53.39,53.77,52.92,53.34,186076,53.34,53.39
OK,2019-10-01,BDC,53.75,54.94,52.48,52.65,211433,52.65,53.75
OK,2019-10-02,BDC,52.12,52.24,50.73,51.95,267184,51.95,52.12
OK,2019-10-03,BDC,51.52,52.42,50.485,52.35,166028,52.35,51.52
OK,2019-10-04,BDC,51.9,52.17,50.88,52.09,279412,52.09,51.9
OK,2019-10-07,BDC,52.03,52.87,51.56,52.16,289616,52.16,52.03
OK,2019-10-08,BDC,51.61,51.61,49.25,49.3,588850,49.3,51.61
OK,2019-10-09,BDC,49.85,50.14,49.1,49.68,364103,49.68,49.85
OK,2019-10-10,BDC,49.93,50.8,49.13,49.55,297526,49.55,49.93
OK,2019-10-11,BDC,50.55,52.33,50.55,51.58,329481,51.58,50.55
OK,2019-10-14,BDC,51.45,51.78,50.51,51.65,123410,51.65,51.45
OK,2019-10-15,BDC,51.66,53.22,51.48,52.52,177147,52.52,51.66
OK,2019-10-16,BDC,52.6,53.35,52.32,52.9,170439,52.9,52.6
OK,2019-10-17,BDC,53.32,53.62,52.59,53.11,187976,53.11,53.32
OK,2019-10-18,BDC,52.77,53.86,52.77,53.39,184399,53.39,52.77
OK,2019-10-21,BDC,54.42,55.2392,53.77,53.97,224623,53.97,54.42
OK,2019-10-22,BDC,53.78,55.25,53.085,55.21,330869,55.21,53.78
OK,2019-10-23,BDC,55.32,55.92,54.98,55.6,284694,55.6,55.32
OK,2019-10-24,BDC,55.76,56,54.14,54.73,147273,54.73,55.76
OK,2019-10-25,BDC,54.47,55.28,54.47,54.92,241488,54.92,54.47
OK,2019-10-28,BDC,55.05,56.36,55.05,56.33,215928,56.33,55.05
OK,2019-10-29,BDC,56.16,56.81,55.19,55.41,367682,55.41,56.16
OK,2019-10-30,BDC,47.76,51.69,46.02,51.13,1370145.0,51.14,48.76
OK,2019-10-31,BDC,50.76,53.02,50.66,51.28,680490,51.29,50.76
OK,2019-11-01,BDC,51.69,53.25,51.55,52.9,408273,52.9,51.69
OK,2019-11-04,BDC,53.15,54.21,52.78,54.14,377197,54.14,53.15
OK,2019-11-05,BDC,54.75,55.74,53.96,53.98,314268,53.98,54.75
OK,2019-11-06,BDC,53.7,53.7,51.69,52.03,278409,52.03,53.7
OK,2019-11-07,BDC,52.57,52.9929,51.795,52.64,350225,52.64,52.57
OK,2019-11-08,BDC,52.35,53.11,51.98,52.88,185647,52.88,52.35
OK,2019-11-11,BDC,52.25,53.05,52.05,52.45,149127,52.45,52.25
OK,2019-11-12,BDC,52.49,53.315,52.08,52.34,155451,52.34,52.49
OK,2019-11-13,BDC,51.65,52.05,51.4635,51.84,188500,51.84,51.65
OK,2019-11-14,BDC,51.69,52.41,51.28,52.03,193145,52.03,51.69
OK,2019-11-15,BDC,52.53,53.38,51.93,53.26,201680,53.26,52.53
OK,2019-11-18,BDC,52.88,52.88,51.875,52.58,160797,52.58,52.88
OK,2019-11-19,BDC,53.11,53.615,52.37,53.36,222994,53.36,53.11
OK,2019-11-20,BDC,52.91,53.52,52.18,52.8,282140,52.8,52.91
OK,2019-11-21,BDC,53,53,52.1799,52.48,177116,52.48,53
OK,2019-11-22,BDC,53.08,53.12,52.125,52.9,167819,52.9,53.04
OK,2019-11-25,BDC,53.13,54.96,52.96,54.72,207050,54.72,53.13
OK,2019-11-26,BDC,54.42,54.99,54,54.62,337831,54.62,54.42
OK,2019-11-27,BDC,54.55,55.54,54.55,55.44,156878,55.44,54.55
OK,2019-11-29,BDC,54.98,55.03,53.63,53.74,118323,53.74,54.98
OK,2019-12-02,BDC,53.65,54.42,53.39,53.47,246309,53.47,53.65
OK,2019-12-03,BDC,52.5,53.0364,51.075,51.23,311394,51.23,52.5
OK,2019-12-04,BDC,51.95,53.74,51.89,52.99,255597,52.99,51.95
OK,2019-12-05,BDC,53.12,53.47,52.655,53.01,370018,53.01,53.12
OK,2019-12-06,BDC,53.9,54.65,53.38,53.45,211726,53.45,53.9
OK,2019-12-09,BDC,53.17,53.65,52.795,53.11,189261,53.11,53.17
OK,2019-12-10,BDC,52.94,53.37,52.39,52.89,180420,52.89,52.94
OK,2019-12-11,BDC,53.01,54.24,53.01,54.01,280086,54.01,53.01
OK,2019-12-12,BDC,54.12,55.97,53.69,55.28,284595,55.28,54.12
OK,2019-12-13,BDC,55.28,55.75,54.23,54.48,156098,54.48,55.28
OK,2019-12-16,BDC,55.03,55.66,54.44,54.6,213738,54.6,55.03
OK,2019-12-17,BDC,54.98,55.61,54.29,55.55,216257,55.55,54.98
OK,2019-12-18,BDC,55.64,55.88,55,55.78,170973,55.78,55.64
OK,2019-12-19,BDC,55.68,55.94,55.27,55.76,150607,55.76,55.68
OK,2019-12-20,BDC,55.99,56.19,54.98,55.35,516824,55.35,55.99
OK,2019-12-23,BDC,55.57,55.81,54.46,55.47,298166,55.47,55.57
OK,2019-12-24,BDC,55.37,55.37,54.46,54.83,134406,54.83,55.75
OK,2019-12-26,BDC,54.86,55.63,54.67,55.54,294701,55.54,54.86
OK,2019-12-27,BDC,56.06,56.2525,55.315,55.52,140783,55.52,56.06
OK,2019-12-30,BDC,55.42,55.42,54.34,54.93,182271,54.93,55.42
OK,2019-12-31,BDC,54.84,55.5,54.29,55,206990,55,54.84
OK,2020-01-02,BDC,55.79,55.79,54.3,55.24,160344,55.24,55.79
OK,2020-01-03,BDC,53.79,54.14,53.36,53.73,211466,53.73,53.79
OK,2020-01-06,BDC,53.12,53.75,52.8,53.29,135057,53.29,53.12
OK,2020-01-07,BDC,52.87,53.74,52.8,53.44,139152,53.44,52.87
OK,2020-01-08,BDC,53.25,54.11,53.2,53.89,285880,53.4346,53.25
OK,2020-01-09,BDC,54.54,55.13,54.13,54.51,156543,54.51,54.54
OK,2020-01-10,BDC,54.45,54.45,53.07,54.1,251923,54.1,54.45
OK,2020-01-13,BDC,54.2,55.17,53.93,55.13,144697,55.13,54.2
OK,2020-01-14,BDC,54.88,55.31,54.555,54.89,183298,54.89,54.88
OK,2020-01-15,BDC,54.68,55.535,54.36,54.77,201547,54.77,54.68
OK,2020-01-16,BDC,55.27,55.99,55.06,55.65,143853,55.65,55.27
OK,2020-01-17,BDC,56.04,56.07,54.9,55.33,154006,55.33,56.04
OK,2020-01-21,BDC,54.78,55.01,54.38,54.43,173367,54.43,54.78
OK,2020-01-22,BDC,54.72,54.82,53.15,53.21,272189,53.21,54.72
OK,2020-01-23,BDC,51.67,51.67,49.73,50.23,475664,50.23,51.67
OK,2020-01-24,BDC,50.53,50.66,49.39,50.38,322650,50.38,50.53
OK,2020-01-27,BDC,48.64,50.6099,48.4,50.18,337874,50.18,48.64
OK,2020-01-28,BDC,50.62,50.72,49.62,49.99,251893,49.99,50.62
OK,2020-01-29,BDC,50.14,50.64,49.61,49.85,262631,49.85,50.14
OK,2020-01-30,BDC,49.19,50.25,49.13,50.15,324141,50.15,49.19
OK,2020-01-31,BDC,49.72,50.1,49.04,49.27,359996,49.27,49.72
OK,2020-02-03,BDC,49.71,50.925,49.71,49.9,286827,49.9,49.71
OK,2020-02-04,BDC,55.8,56.94,52.21,52.75,360688,49.9,55.8
OK,2020-02-05,BDC,53.6,54.72,51.95,53.84,635069,53.84,53.6
OK,2020-02-06,BDC,54.05,54.41,52.2,53,454003,53,54.05
OK,2020-02-07,BDC,52.61,53.04,51.31,51.55,374735,51.55,52.61
OK,2020-02-10,BDC,51.34,51.38,50.37,50.77,238458,50.77,51.34
OK,2020-02-11,BDC,51.17,52.27,51.015,51.14,294255,51.14,50.9
OK,2020-02-12,BDC,51.66,51.93,50.8,51.52,201919,51.52,51.66
OK,2020-02-13,BDC,51.09,51.755,50.81,51.59,226652,51.59,51.09
OK,2020-02-14,BDC,51.67,51.67,50.26,50.44,151020,50.44,51.67
