status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2019-06-28,CATY,35.63,36.2,35.46,35.91,721840.0,35.91,35.63
OK,2019-07-01,CATY,36.2,36.51,35.95,36.21,335772.0,36.21,36.2
OK,2019-07-02,CATY,36.25,36.25,35.47,35.68,265409.0,35.68,36.25
OK,2019-07-03,CATY,35.78,36.11,35.56,35.9,147438.0,35.9,35.78
OK,2019-07-05,CATY,36.12,36.6505,35.99,36.32,216705.0,36.32,36.06
OK,2019-07-08,CATY,35.88,35.99,35.37,35.57,454076.0,35.57,35.95
OK,2019-07-09,CATY,35.37,35.62,35.2,35.47,256159.0,35.47,35.43
OK,2019-07-10,CATY,35.55,35.58,35.19,35.24,281176.0,35.24,35.55
OK,2019-07-11,CATY,35.35,35.45,34.69,35.33,421132.0,35.33,35.35
OK,2019-07-12,CATY,35.43,35.88,35.37,35.77,306309.0,35.77,35.39
OK,2019-07-15,CATY,35.78,35.94,34.74,34.82,208370.0,34.82,35.78
OK,2019-07-16,CATY,34.84,34.98,34.4,34.8,308868.0,34.8,34.82
OK,2019-07-17,CATY,34.6,34.8,34.3,34.77,442215.0,34.77,34.6
OK,2019-07-18,CATY,35.31,36.07,34.4,35.96,614029.0,35.96,35.31
OK,2019-07-19,CATY,35.88,36.91,35.88,36.34,662587.0,36.34,35.92
OK,2019-07-22,CATY,36.25,36.26,35.77,36.0,452237.0,36.0,36.25
OK,2019-07-23,CATY,36.0,36.76,35.9,36.73,421588.0,36.73,36.0
OK,2019-07-24,CATY,36.63,37.48,36.63,37.32,681893.0,37.32,36.64
OK,2019-07-25,CATY,37.47,37.73,36.83,37.06,356280.0,37.06,37.47
OK,2019-07-26,CATY,37.09,37.54,36.95,37.45,251873.0,37.45,37.14
OK,2019-07-29,CATY,37.43,37.49,36.87,36.93,377629.0,36.93,37.43
OK,2019-07-30,CATY,36.54,37.33,36.52,37.32,335095.0,37.32,36.64
OK,2019-07-31,CATY,37.24,37.62,36.99,37.22,582048.0,37.22,37.24
OK,2019-08-01,CATY,37.11,37.4,35.59,35.73,699323.0,35.73,37.13
OK,2019-08-02,CATY,35.56,35.76,34.82,35.26,504345.0,35.26,35.56
OK,2019-08-05,CATY,34.56,34.72,33.55,34.07,536320.0,34.07,34.56
OK,2019-08-06,CATY,34.32,34.46,33.56,34.23,293939.0,34.23,34.32
OK,2019-08-07,CATY,33.56,34.07,33.22,33.97,396704.0,33.97,33.66
OK,2019-08-08,CATY,34.36,35.02,34.17,34.94,464451.0,34.94,34.36
OK,2019-08-09,CATY,34.7,34.99,34.44,34.85,387922.0,34.85,34.74
OK,2019-08-12,CATY,34.48,34.58,34.04,34.14,420816.0,34.14,34.48
