status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2019-06-28,CPHI,16.0,16.5,15.0,16.17,5904.66,16.5,16.0
OK,2019-07-01,CPHI,17.25,17.25,14.27,14.75,10597.54,14.825,16.995
OK,2019-07-02,CPHI,15.5,15.5,14.5,14.75,4393.64,15.0,14.875
OK,2019-07-03,CPHI,15.3,16.25,14.97,15.0,4968.96,15.0,15.5
OK,2019-07-05,CPHI,15.45,15.495,14.7,15.388,4153.48,15.5,15.5
OK,2019-07-08,CPHI,15.8,15.8,15.0,15.47,1727.64,15.47,15.1
OK,2019-07-09,CPHI,15.47,16.0,15.0,15.539,6092.82,15.5,15.465
OK,2019-07-10,CPHI,15.77,16.0,14.815,14.815,5595.76,14.5,15.535
OK,2019-07-11,CPHI,14.7,15.585,14.7,15.025,5324.92,14.75,14.814
OK,2019-07-12,CPHI,15.45,15.45,14.56,14.665,2268.28,14.665,15.025
OK,2019-07-15,CPHI,15.0,15.5,14.505,14.8,12952.16,14.805,15.395
OK,2019-07-16,CPHI,14.995,14.995,14.005,14.375,4929.1,14.375,14.995
OK,2019-07-17,CPHI,14.005,14.49,14.005,14.207,2054.88,14.207,14.005
OK,2019-07-18,CPHI,14.19,14.345,13.75,13.81,3445.34,13.8,14.19
OK,2019-07-19,CPHI,14.49,14.49,13.84,13.84,1321.02,13.58,14.49
OK,2019-07-22,CPHI,14.0,14.0,13.67,13.74,1925.96,13.975,14.0
OK,2019-07-23,CPHI,13.74,14.84,13.74,14.445,7967.38,14.445,13.74
OK,2019-07-24,CPHI,14.995,14.995,14.005,14.53,2145.42,14.53,14.995
OK,2019-07-25,CPHI,14.55,15.495,14.005,15.05,7882.96,15.0,14.55
OK,2019-07-26,CPHI,15.41,15.5,14.6,14.99,1910.86,14.945,15.0
OK,2019-07-29,CPHI,14.9,16.06,14.545,14.885,10590.02,14.5,14.25
OK,2019-07-30,CPHI,14.68,14.87,14.005,14.4,2895.84,14.99,14.68
OK,2019-07-31,CPHI,14.5,14.865,14.005,14.35,2280.4,14.35,14.5
OK,2019-08-01,CPHI,14.49,14.9,14.1,14.105,3422.92,14.105,14.49
OK,2019-08-02,CPHI,14.685,14.685,14.1,14.255,1653.96,14.255,14.685
OK,2019-08-05,CPHI,14.25,14.5,11.5,13.5,14528.84,13.75,14.0
OK,2019-08-06,CPHI,13.5,13.55,13.0,13.45,2962.42,13.243,13.5
OK,2019-08-07,CPHI,13.0,13.5,12.5,13.03,1906.52,13.03,13.0
OK,2019-08-08,CPHI,13.065,13.5,12.965,13.5,1671.66,13.5,13.065
OK,2019-08-09,CPHI,13.985,13.985,12.585,13.26,2676.04,13.26,13.985
OK,2019-08-12,CPHI,13.92,13.985,12.65,13.1,2074.66,13.1,13.92
OK,2019-08-13,CPHI,13.0,13.5,12.65,12.9,1353.1,12.9,13.0
OK,2019-08-14,CPHI,13.15,13.4,12.5,12.89,1318.94,12.89,13.15
OK,2019-08-15,CPHI,12.85,13.235,12.4,12.895,2177.92,12.895,12.85
OK,2019-08-16,CPHI,13.0,13.0,12.01,12.83,1782.24,12.83,12.895
OK,2019-08-19,CPHI,13.05,13.05,12.16,13.0,2265.72,13.0,13.05
OK,2019-08-20,CPHI,12.5,12.985,12.0,12.98,875.24,12.98,12.5
OK,2019-08-21,CPHI,12.975,13.1,12.25,13.03,2318.5,13.03,12.975
OK,2019-08-22,CPHI,13.0,13.21,12.515,13.1,1485.44,13.1,13.0
OK,2019-08-23,CPHI,12.06,13.99,12.06,13.35,5335.86,13.475,12.06
OK,2019-08-26,CPHI,14.015,14.015,12.11,13.01,11067.5,13.015,13.5
OK,2019-08-27,CPHI,13.25,13.45,12.5,12.998,1745.28,12.875,13.05
OK,2019-08-28,CPHI,12.5,12.95,12.26,12.5,2721.68,12.6,13.25
OK,2019-08-29,CPHI,13.125,13.5,12.95,13.274,2714.26,13.0,13.125
OK,2019-08-30,CPHI,13.2,13.305,13.0,13.13,634.4,13.13,13.5
OK,2019-09-03,CPHI,13.13,13.75,12.85,13.22,3766.78,13.22,13.13
OK,2019-09-04,CPHI,13.22,13.705,12.645,13.05,1990.62,13.0,13.22
OK,2019-09-05,CPHI,13.45,13.45,12.5,13.12,1219.14,13.0,13.075
OK,2019-09-06,CPHI,12.65,13.1,12.65,12.91,815.62,12.91,12.65
OK,2019-09-09,CPHI,12.65,13.12,12.65,12.99,1111.42,12.99,12.65
OK,2019-09-10,CPHI,13.0,13.469,12.71,12.905,5786.16,13.0,12.995
OK,2019-09-11,CPHI,14.5,14.5,13.134,13.43,6827.44,13.135,13.0
OK,2019-09-12,CPHI,14.5,14.5,13.32,13.355,1558.08,13.75,13.0
OK,2019-09-13,CPHI,13.7,13.75,13.355,13.405,1636.06,13.9,13.7
OK,2019-09-16,CPHI,13.7,13.87,13.125,13.215,2001.94,13.8,13.405
OK,2019-09-17,CPHI,13.215,13.865,13.215,13.56,1652.56,13.23,13.215
OK,2019-09-18,CPHI,13.89,14.0,13.155,13.725,826.32,13.23,13.89
OK,2019-09-19,CPHI,14.5,14.5,13.0,13.175,1756.14,13.175,14.5
OK,2019-09-20,CPHI,13.5,13.555,13.2,13.2,2346.52,13.2,13.5
OK,2019-09-23,CPHI,13.45,13.45,13.05,13.05,1489.32,13.05,13.45
OK,2019-09-24,CPHI,13.35,13.35,12.51,12.88,1362.84,12.88,13.35
OK,2019-09-25,CPHI,12.51,13.48,12.51,13.02,1371.52,13.02,12.9
OK,2019-09-26,CPHI,13.1,13.2,12.76,12.955,426.8,12.955,13.1
OK,2019-09-27,CPHI,13.1,13.1,12.5,12.505,1819.54,12.505,13.5
OK,2019-09-30,CPHI,12.5,12.82,12.0,12.255,4131.8,12.5,12.5
OK,2019-10-01,CPHI,12.005,12.565,12.005,12.475,478.46,12.475,12.005
OK,2019-10-02,CPHI,12.5,12.5,11.56,12.135,1250.1,12.135,12.5
OK,2019-10-03,CPHI,12.5,12.5,11.75,12.25,549.02,12.25,12.5
OK,2019-10-04,CPHI,12.35,12.55,11.995,12.505,503.28,12.505,12.35
OK,2019-10-07,CPHI,12.51,13.0,12.51,12.59,659.84,12.59,12.51
OK,2019-10-08,CPHI,12.58,12.775,12.312,12.5,422.08,12.5,12.6
OK,2019-10-09,CPHI,12.75,12.75,12.1,12.45,708.08,12.45,12.75
OK,2019-10-10,CPHI,12.3,12.985,12.009,12.985,1651.06,12.975,12.3
OK,2019-10-11,CPHI,13.0,13.4,11.755,12.9,5234.62,12.44,12.975
OK,2019-10-14,CPHI,12.975,12.975,11.755,12.25,8274.48,12.25,12.975
OK,2019-10-15,CPHI,12.65,13.93,12.35,13.295,19532.32,13.5,12.86
OK,2019-10-16,CPHI,13.5,13.721,12.5,12.781,5467.86,12.5,13.306
OK,2019-10-17,CPHI,13.125,13.25,12.63,12.635,3616.82,12.635,12.505
OK,2019-10-18,CPHI,12.7,13.75,12.65,12.95,1431.52,13.0,12.7
OK,2019-10-21,CPHI,13.0,13.0,12.725,12.995,724.04,12.975,13.0
OK,2019-10-22,CPHI,13.0,13.0,12.5,12.635,2602.66,12.635,13.0
OK,2019-10-23,CPHI,12.55,13.0,12.275,12.881,1457.54,12.881,12.55
OK,2019-10-24,CPHI,12.5,13.05,12.5,13.005,891.92,13.005,12.5
OK,2019-10-25,CPHI,13.125,13.46,12.61,13.42,1429.74,13.39,13.125
OK,2019-10-28,CPHI,13.42,13.5,12.7,13.26,1403.86,12.5,13.375
OK,2019-10-29,CPHI,12.72,13.25,12.5,12.735,2611.28,12.5,12.72
OK,2019-10-30,CPHI,13.05,13.17,12.51,12.995,1237.72,12.995,13.0
OK,2019-10-31,CPHI,12.75,13.21,12.7,13.19,752.1,13.0,12.75
OK,2019-11-01,CPHI,13.0,13.0,12.755,13.0,777.74,13.0,13.0
OK,2019-11-04,CPHI,13.5,13.5,12.81,13.01,817.82,13.01,13.0
OK,2019-11-05,CPHI,13.005,13.125,12.645,12.805,1559.28,12.945,13.005
OK,2019-11-06,CPHI,12.945,12.945,12.5,12.79,412.0,12.79,12.945
OK,2019-11-07,CPHI,12.59,12.85,12.5,12.685,841.14,12.685,12.59
OK,2019-11-08,CPHI,12.5,12.95,12.5,12.635,563.06,12.635,12.5
OK,2019-11-11,CPHI,12.5,12.935,12.5,12.835,902.68,12.835,12.5
OK,2019-11-12,CPHI,12.91,12.99,12.6,12.75,642.06,12.9,12.91
OK,2019-11-13,CPHI,12.75,12.93,12.5,12.565,931.38,12.935,12.75
OK,2019-11-14,CPHI,12.565,12.68,12.25,12.3,3157.2,12.3,12.565
OK,2019-11-15,CPHI,12.3,12.495,12.0,12.01,1532.76,12.01,12.3
OK,2019-11-18,CPHI,12.0,12.25,12.0,12.074,1434.54,12.075,12.0
OK,2019-11-19,CPHI,12.1,12.5,12.1,12.155,829.16,12.155,12.995
OK,2019-11-20,CPHI,12.155,12.18,10.605,11.105,9042.94,11.115,12.155
OK,2019-11-21,CPHI,11.67,11.85,11.235,11.575,714.72,11.575,10.0
OK,2019-11-22,CPHI,11.5,11.695,11.115,11.508,837.82,11.508,11.055
OK,2019-11-25,CPHI,11.16,11.87,11.16,11.62,933.72,11.75,11.16
OK,2019-11-26,CPHI,11.65,12.875,11.165,11.695,7641.42,11.695,11.65
OK,2019-11-27,CPHI,11.95,11.95,11.5,11.95,2431.72,12.25,11.95
OK,2019-11-29,CPHI,11.95,11.95,11.505,11.555,879.52,11.555,11.95
OK,2019-12-02,CPHI,11.555,11.95,11.075,11.95,1748.74,11.95,12.0
OK,2019-12-03,CPHI,11.95,11.95,11.16,11.9,1507.16,11.9,11.95
OK,2019-12-04,CPHI,11.5,12.0,11.5,11.64,1236.34,11.64,11.9
OK,2019-12-05,CPHI,11.65,12.5,11.515,11.935,1168.64,11.935,11.65
OK,2019-12-06,CPHI,11.75,12.145,11.57,12.1,815.72,12.12,11.935
OK,2019-12-09,CPHI,12.12,12.12,11.49,11.5,2217.24,11.5,12.12
OK,2019-12-10,CPHI,12.0,12.0,11.256,11.5,1581.16,11.5,12.0
OK,2019-12-11,CPHI,11.85,11.95,11.25,11.515,1801.5,11.85,11.85
OK,2019-12-12,CPHI,11.525,11.99,11.525,11.863,2881.12,15.0,11.94
OK,2019-12-13,CPHI,12.5,15.0,12.0,12.02,27631.4,12.85,15.01
OK,2019-12-16,CPHI,12.5,12.75,12.25,12.25,2013.98,12.25,12.45
OK,2019-12-17,CPHI,12.5,12.735,11.88,12.395,1445.38,12.5,11.25
OK,2019-12-18,CPHI,12.5,12.5,12.0,12.365,1822.72,12.365,12.5
OK,2019-12-19,CPHI,12.5,12.9,11.5,12.0,1839.02,12.0,12.425
OK,2019-12-20,CPHI,12.07,12.5,11.83,12.29,1160.48,12.29,12.07
OK,2019-12-23,CPHI,12.07,12.325,11.85,12.095,646.72,12.095,12.07
OK,2019-12-24,CPHI,12.25,12.25,11.93,12.25,463.94,12.25,12.25
OK,2019-12-26,CPHI,11.95,12.575,11.25,11.5,2278.36,12.07,11.95
OK,2019-12-27,CPHI,12.1,12.15,11.68,12.15,1488.92,12.15,12.0
OK,2019-12-30,CPHI,12.5,12.5,11.4,11.615,1381.52,11.615,12.5
OK,2019-12-31,CPHI,11.5,11.873,11.375,11.84,2587.42,11.795,11.055
OK,2020-01-02,CPHI,12.0,12.5,11.84,12.375,3724.18,12.25,13.095
OK,2020-01-03,CPHI,12.05,15.0,12.0,13.5,36938.98,13.5,11.395
OK,2020-01-06,CPHI,13.5,16.5,12.5,16.5,34955.68,15.5,13.5
OK,2020-01-07,CPHI,15.5,15.5,13.025,14.0,18325.66,13.525,16.495
OK,2020-01-08,CPHI,13.515,15.995,13.5,15.4,24886.58,15.465,14.5
OK,2020-01-09,CPHI,15.5,15.5,14.25,14.775,10103.9,15.5,15.375
OK,2020-01-10,CPHI,15.0,17.5,14.375,16.688,55732.72,18.0,14.75
OK,2020-01-13,CPHI,19.0,19.0,15.6,17.44,39029.7,18.0,17.95
OK,2020-01-14,CPHI,17.5,17.5,15.0,16.025,23596.62,15.445,17.4
OK,2020-01-15,CPHI,15.5,16.5,14.5,15.2,18628.76,15.5,16.025
OK,2020-01-16,CPHI,15.5,15.5,14.5,14.675,10040.14,14.505,15.005
OK,2020-01-17,CPHI,14.55,14.98,14.25,14.655,5787.7,14.25,14.5
OK,2020-01-21,CPHI,16.5,21.895,15.035,20.5,145766.74,23.0,14.505
OK,2020-01-22,CPHI,20.0,22.0,15.55,21.05,117438.86,20.0,23.0
OK,2020-01-23,CPHI,18.5,21.15,17.555,18.78,36602.62,18.6,17.89
OK,2020-01-24,CPHI,17.7,18.75,16.505,17.74,24174.38,18.5,18.75
OK,2020-01-27,CPHI,19.95,23.25,18.0,20.505,112836.42,21.0,19.5
OK,2020-01-28,CPHI,21.0,27.45,20.75,22.7,185855.4,23.495,21.5
OK,2020-01-29,CPHI,24.0,24.66,19.5,21.52,73402.4,21.5,23.495
OK,2020-01-30,CPHI,22.0,22.0,19.04,21.0,38076.46,21.035,22.25
OK,2020-01-31,CPHI,21.0,23.65,19.841,23.415,70459.7,26.5,20.995
OK,2020-02-03,CPHI,37.5,47.875,34.025,46.0,715809.38,41.85,26.5
OK,2020-02-04,CPHI,40.745,41.0,26.0,31.475,199874.16,31.5,41.85
OK,2020-02-05,CPHI,27.75,35.75,24.0,29.585,97334.3,28.0,31.475
OK,2020-02-06,CPHI,28.845,29.9,25.575,25.905,38460.84,25.55,28.0
OK,2020-02-07,CPHI,26.455,34.4,25.5,32.885,170028.9,31.925,25.0
OK,2020-02-10,CPHI,32.37,32.37,27.5,28.5,66580.5,28.5,33.0
OK,2020-02-11,CPHI,28.445,28.5,26.0,26.215,35212.78,27.0,28.5
OK,2020-02-12,CPHI,26.0,27.598,21.25,23.245,64759.62,25.0,26.205
OK,2020-02-13,CPHI,25.455,26.0,23.65,25.0,31178.4,25.2,25.0
OK,2020-02-14,CPHI,24.95,24.95,22.5,22.735,26108.14,23.495,24.005
OK,2020-02-18,CPHI,23.0,23.67,20.15,21.0,35075.92,20.275,22.5
OK,2020-02-19,CPHI,22.5,22.5,20.0,21.29,22853.16,21.29,20.0
OK,2020-02-20,CPHI,20.5,22.5,19.25,21.44,32688.02,21.5,20.0
OK,2020-02-21,CPHI,21.36,24.5,20.05,23.415,42574.46,23.25,21.44
OK,2020-02-24,CPHI,24.05,29.89,24.0,25.23,112929.6,25.5,23.635
OK,2020-02-25,CPHI,24.5,26.5,21.4,26.49,77144.36,26.565,25.0
OK,2020-02-26,CPHI,25.5,28.0,23.005,27.95,107137.24,28.995,26.5
OK,2020-02-27,CPHI,30.9,37.45,28.09,31.635,216723.56,34.0,28.5
OK,2020-02-28,CPHI,37.01,39.5,27.5,28.5,154369.68,28.5,34.0
OK,2020-03-02,CPHI,50.0,70.0,45.5,57.0,742957.94,51.5,29.015
OK,2020-03-03,CPHI,47.5,49.5,37.5,43.75,198132.74,46.0,51.0
OK,2020-03-04,CPHI,42.5,42.5,38.5,40.535,74527.92,42.0,41.5
OK,2020-03-05,CPHI,45.995,53.5,42.5,44.8,142162.88,45.5,42.75
OK,2020-03-06,CPHI,46.08,47.45,40.675,42.46,66783.68,43.5,44.25
OK,2020-03-09,CPHI,42.195,42.195,32.5,34.28,54342.44,36.495,45.0
OK,2020-03-10,CPHI,35.0,35.8,29.0,29.005,38287.66,31.505,35.0
OK,2020-03-11,CPHI,30.0,38.0,28.797,37.0,90711.34,36.505,30.0
OK,2020-03-12,CPHI,35.0,35.17,30.0,31.21,24940.86,28.5,36.37
OK,2020-03-13,CPHI,30.0,35.5,27.5,28.165,29822.26,28.0,31.0
OK,2020-03-16,CPHI,28.595,28.595,25.5,26.475,13136.66,26.22,28.0
OK,2020-03-17,CPHI,27.965,33.0,27.5,28.95,40112.88,29.0,26.475
OK,2020-03-18,CPHI,28.5,28.5,25.5,26.8,22717.9,25.7,28.25
OK,2020-03-19,CPHI,27.45,31.5,25.55,30.99,34558.82,31.245,29.0
OK,2020-03-20,CPHI,30.75,33.84,28.4,28.505,27381.74,29.0,31.5
OK,2020-03-23,CPHI,29.07,37.25,28.5,33.125,53884.58,33.5,28.5
OK,2020-03-24,CPHI,36.0,36.0,30.0,32.05,23312.66,32.05,33.5
OK,2020-03-25,CPHI,31.0,32.0,30.0,30.505,14801.26,29.0,31.0
OK,2020-03-26,CPHI,30.0,31.0,29.0,30.25,15012.58,30.25,30.5
OK,2020-03-27,CPHI,29.0,32.0,29.0,31.296,15547.16,31.25,30.3
OK,2020-03-30,CPHI,32.81,33.995,31.0,33.555,22417.7,33.0,32.5
OK,2020-03-31,CPHI,20.55,27.49,17.5,25.195,51536.8,25.0,31.0
OK,2020-04-01,CPHI,24.5,24.5,21.67,22.485,23239.56,20.255,25.475
OK,2020-04-02,CPHI,21.5,22.5,20.145,20.145,7746.3,21.5,22.485
OK,2020-04-03,CPHI,20.15,21.5,20.0,20.5,10260.6,20.5,20.05
OK,2020-04-06,CPHI,18.75,21.0,18.005,19.57,14399.14,20.575,21.5
OK,2020-04-07,CPHI,20.505,22.495,19.305,21.0,49724.5,21.0,21.0
OK,2020-04-08,CPHI,21.0,22.25,19.5,20.51,22633.66,21.5,21.0
OK,2020-04-09,CPHI,20.0,21.45,19.5,20.25,13315.38,20.25,20.5
