status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2019-06-28,DRRX,7.0,7.0,6.321,6.52,1631750.7,6.53,6.9
OK,2019-07-01,DRRX,6.664,7.0,6.0,6.077,66845.7,6.077,6.54
OK,2019-07-02,DRRX,6.353,6.8,6.11,6.7,47166.5,6.7,6.1
OK,2019-07-03,DRRX,6.65,7.0,6.5323,6.8,24654.1,6.8,6.7
OK,2019-07-05,DRRX,7.1,7.1,6.7,6.712,25433.2,6.712,7.1
OK,2019-07-08,DRRX,6.8,6.96,6.7,6.752,20485.7,6.776,6.712
OK,2019-07-09,DRRX,6.869,6.9,6.7,6.7,30587.0,6.7,6.869
OK,2019-07-10,DRRX,6.992,6.992,6.7,6.796,25979.6,6.8,6.7
OK,2019-07-11,DRRX,6.7,6.704,6.409,6.574,39476.5,6.312,6.7
OK,2019-07-12,DRRX,6.6,6.825,6.4,6.62,107274.2,6.62,6.361
OK,2019-07-15,DRRX,6.772,6.9,6.7,6.847,38108.8,6.505,6.772
OK,2019-07-16,DRRX,6.8,6.9,6.8,6.897,16803.3,6.848,6.8
OK,2019-07-17,DRRX,6.9,7.5,6.9,6.954,66112.1,6.7,6.85
OK,2019-07-18,DRRX,7.026,7.085,6.7,6.739,26647.9,6.6,6.7
OK,2019-07-19,DRRX,6.9,7.3,6.9,7.266,36298.8,7.299,6.9
OK,2019-07-22,DRRX,8.001,10.5,8.001,9.71,1316510.4,10.2,8.2
OK,2019-07-23,DRRX,10.2,11.1,9.0,9.6,280230.8,9.1,10.0
OK,2019-07-24,DRRX,10.0,10.1,9.303,10.0,58345.3,10.1,9.1
OK,2019-07-25,DRRX,9.6,9.899,9.301,9.58,62765.0,9.554,10.0
OK,2019-07-26,DRRX,9.68,9.944,9.3,9.75,134912.4,9.8,9.5
OK,2019-07-29,DRRX,9.5,10.1,9.4,9.759,68664.6,10.0,10.0
OK,2019-07-30,DRRX,9.9,10.4,9.801,10.4,47123.4,10.5,10.1
OK,2019-07-31,DRRX,10.6,11.9,10.1,10.4,341928.1,10.5,10.4
OK,2019-08-01,DRRX,10.4,11.8,10.4,10.9,127519.8,10.717,10.4
OK,2019-08-02,DRRX,11.0,12.5,10.8,12.5,151174.0,12.2,10.6
OK,2019-08-05,DRRX,12.5,12.8,12.0,12.7,97015.9,13.0,12.5
OK,2019-08-06,DRRX,12.9,14.9,12.9,14.4,284659.0,14.5,13.0
OK,2019-08-07,DRRX,14.2,14.4,12.5,13.4,131181.8,13.4,14.4
OK,2019-08-08,DRRX,13.4,14.8,13.372,14.3,80429.6,14.4,13.8
OK,2019-08-09,DRRX,14.1,14.6,13.0,14.4,82768.3,13.7,14.3
OK,2019-08-12,DRRX,14.2,14.4,13.7,14.4,65375.7,14.301,14.4
OK,2019-08-13,DRRX,14.2,14.4,13.5,13.6,73311.6,13.2,14.7
OK,2019-08-14,DRRX,13.4,13.6,13.0,13.1,54102.6,13.0,13.6
OK,2019-08-15,DRRX,13.1,13.45,12.2,13.0,180992.5,13.0,13.1
OK,2019-08-16,DRRX,13.0,14.0,12.9,13.6,30771.0,13.6,13.0
OK,2019-08-19,DRRX,13.9,13.9,13.2,13.6,40622.6,13.6,13.9
OK,2019-08-20,DRRX,13.5,14.1,13.3,13.7,75660.7,13.8,13.5
OK,2019-08-21,DRRX,13.7,14.1,13.6,13.9,49955.7,13.95,13.7
OK,2019-08-22,DRRX,13.9,16.0,13.8,15.3,188162.7,15.3,13.9
OK,2019-08-23,DRRX,15.1,16.3,15.0,15.7,71718.5,16.1,15.074
OK,2019-08-26,DRRX,16.1,16.6,15.7,16.4,86721.3,16.4,16.2
OK,2019-08-27,DRRX,16.7,16.8,15.0,16.1,104782.5,16.2,17.0
OK,2019-08-28,DRRX,16.0,16.1,15.4,15.9,46782.0,15.8,16.1
OK,2019-08-29,DRRX,15.9,16.2,15.7,15.9,19963.8,15.9,15.9
OK,2019-08-30,DRRX,15.9,16.7,15.7,16.6,40435.9,16.1,15.9
OK,2019-09-03,DRRX,16.7,17.45,16.339,17.2,74574.2,17.1,16.601
OK,2019-09-04,DRRX,17.2,17.4,16.616,16.8,69330.3,16.0,17.3
OK,2019-09-05,DRRX,16.5,17.0,15.6,16.6,52352.0,17.1,16.8
OK,2019-09-06,DRRX,17.6,18.6,17.3,17.8,129998.2,17.6,18.0
OK,2019-09-09,DRRX,18.2,18.8,18.0,18.3,110417.1,18.7,17.8
OK,2019-09-10,DRRX,18.6,18.8,17.8,18.0,81216.0,18.398,18.4
OK,2019-09-11,DRRX,18.0,18.3,17.1,17.2,73759.2,17.2,18.0
OK,2019-09-12,DRRX,17.4,17.737,16.6,17.0,54683.5,17.0,17.4
OK,2019-09-13,DRRX,16.9,17.6,16.7,17.5,47451.2,17.5,16.9
OK,2019-09-16,DRRX,17.5,17.9,17.2,17.5,35987.5,17.5,17.8
OK,2019-09-17,DRRX,19.5,20.0,18.6,19.0,234462.6,19.5,17.8
OK,2019-09-18,DRRX,19.4,19.6,18.3,19.4,93268.8,19.0,19.999
OK,2019-09-19,DRRX,19.4,19.6,18.9,19.0,68070.1,19.025,19.1
OK,2019-09-20,DRRX,19.2,21.9,19.001,21.4,231947.7,21.5,19.2
OK,2019-09-23,DRRX,21.7,24.6,21.7,22.1,317846.7,22.4,21.6
