status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2019-06-28,FCN,84.16,84.19,83.28,83.84,468161.0,83.84,84.16
OK,2019-07-01,FCN,84.61,85.11,83.86,84.28,188198.0,84.28,84.61
OK,2019-07-02,FCN,84.02,85.41,84.02,84.84,135479.0,84.84,84.02
OK,2019-07-03,FCN,85.17,85.37,84.84,85.04,86765.0,85.04,85.17
OK,2019-07-05,FCN,84.62,85.33,84.24,85.21,64853.0,85.21,84.62
OK,2019-07-08,FCN,85.21,86.1,85.19,85.31,131305.0,85.31,85.21
OK,2019-07-09,FCN,84.87,85.17,84.6,84.7,195798.0,84.7,84.87
OK,2019-07-10,FCN,87.0,92.23,86.565,90.65,692177.0,90.65,87.0
OK,2019-07-11,FCN,91.08,91.4,89.23,91.0,398467.0,91.0,91.08
OK,2019-07-12,FCN,91.49,92.25,90.38,91.94,374769.0,91.94,91.49
OK,2019-07-15,FCN,92.21,93.2,91.63,92.81,437663.0,92.81,92.21
OK,2019-07-16,FCN,92.41,93.47,92.41,92.99,241098.0,92.99,92.41
OK,2019-07-17,FCN,93.0,93.73,92.425,93.02,253016.0,93.02,93.0
OK,2019-07-18,FCN,93.32,94.33,92.96,94.05,236910.0,94.05,93.32
OK,2019-07-19,FCN,93.78,94.51,93.04,93.15,224177.0,93.15,93.78
OK,2019-07-22,FCN,93.53,93.945,92.98,93.01,271816.0,93.01,93.53
OK,2019-07-23,FCN,93.51,94.18,92.46,94.13,193939.0,94.13,93.51
OK,2019-07-24,FCN,93.98,94.86,93.305,94.23,360433.0,94.23,93.98
OK,2019-07-25,FCN,96.31,103.78,96.31,103.38,724839.0,104.0,96.31
OK,2019-07-26,FCN,103.4,103.4,102.44,102.62,477870.0,102.62,103.4
OK,2019-07-29,FCN,102.56,105.81,102.34,104.78,337417.0,104.78,102.56
OK,2019-07-30,FCN,104.7,105.46,104.2,105.09,235218.0,105.09,104.74
OK,2019-07-31,FCN,105.49,106.22,104.4,104.45,307572.0,104.45,105.49
OK,2019-08-01,FCN,104.65,105.88,103.47,103.71,262936.0,103.71,104.65
OK,2019-08-02,FCN,103.56,103.98,102.22,102.78,237471.0,102.78,103.56
OK,2019-08-05,FCN,101.3,101.96,100.09,101.39,443550.0,101.39,101.3
OK,2019-08-06,FCN,102.01,104.18,101.34,103.85,252162.0,103.85,102.01
OK,2019-08-07,FCN,103.03,106.46,102.49,105.9,282635.0,105.9,103.85
