status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2019-06-28,NATH,75.98,79.42,75.98,78.12,80205,78.12,75.98
OK,2019-07-01,NATH,78.07,79.21,75.5,77,5383,78.07,78.07
OK,2019-07-02,NATH,77,78.6,77,78.6,2823,78.31,77
OK,2019-07-03,NATH,78.75,78.75,76.07,77.07,3861,77.07,78.75
OK,2019-07-05,NATH,77.18,78.43,75.57,76.64,4332,76.33,77.18
OK,2019-07-08,NATH,77.81,79.3099,76.33,78.28,2355,76.33,77.81
OK,2019-07-09,NATH,77,77.7,76.83,77.24,5831,77.7,77
OK,2019-07-10,NATH,77,77.6,75.53,76.31,7455,76.1,77
OK,2019-07-11,NATH,78.4502,78.4502,76.7,77.5,2350,77.72,78.4502
OK,2019-07-12,NATH,78,78,76.39,76.87,2811,76.39,78
OK,2019-07-15,NATH,76.2917,76.2917,74.11,75.52,4646,75.4,76.2917
OK,2019-07-16,NATH,74.0201,76.12,74.0201,76,6886,75.918,74.0201
OK,2019-07-17,NATH,76.21,77.6576,74.3166,74.56,6180,74.93,76.21
OK,2019-07-18,NATH,74.5,75.3,73.52,74.19,2847,74.18,74.5
OK,2019-07-19,NATH,73.74,75.38,73.74,74.6,5144,74.5,73.74
OK,2019-07-22,NATH,74.54,75.87,74.54,75.87,1357,75.87,74.54
OK,2019-07-23,NATH,75.87,77.51,75,75.35,3692,75.86,75.87
OK,2019-07-24,NATH,75.625,75.625,74.75,74.75,1821,75.13,75.625
OK,2019-07-25,NATH,73.2891,75,72.51,72.51,4221,72.51,73.2891
OK,2019-07-26,NATH,72.5,72.925,72.03,72.04,4246,72.21,72.5
OK,2019-07-29,NATH,72.9,72.92,72.1,72.13,2834,72.92,72.9
OK,2019-07-30,NATH,72.03,72.95,69.625,72.62,11363,72.8,72.03
OK,2019-07-31,NATH,72.68,73.16,70.61,70.61,6888,71.85,72.68
OK,2019-08-01,NATH,70.75,71.03,68.2,69.5,8212,69.72,70.75
OK,2019-08-02,NATH,70.12,71.2936,69.34,69.71,5657,70.99,70.12
OK,2019-08-05,NATH,68.34,69.04,66.5284,66.63,5362,66.5284,68.34
OK,2019-08-06,NATH,67.77,67.77,67.77,67.77,1020
OK,2019-08-07,NATH,67.19,69.51,67.19,69.51,5626,68.61,67.19
OK,2019-08-08,NATH,69.25,71.9,69.25,70.3,10691,70.5,69.25
OK,2019-08-09,NATH,71.5,71.5,70.01,70.33,4653,70.01,71.5
OK,2019-08-12,NATH,70.78,70.78,68.76,69.5,4619,69.33,70.78
OK,2019-08-13,NATH,69.72,69.91,68.136,69.39,4903,69.391,69.72
OK,2019-08-14,NATH,68.69,68.69,65.62,66.14,3981,66.16,68.69
OK,2019-08-15,NATH,65.99,66.33,65.2671,65.7,2554,66.29,65.99
OK,2019-08-16,NATH,66.2,66.2,64.9,64.99,3572,65.22,66.2
OK,2019-08-19,NATH,66.5365,67.56,66,67.05,3468,67.56,66.5365
OK,2019-08-20,NATH,66.57,66.5783,66.31,66.31,2297,66.55,66.57
OK,2019-08-21,NATH,67.29,68.17,66.1,67.9,20668,68,66.31
OK,2019-08-22,NATH,70.12,70.12,68.41,68.41,3676,68.9,70.12
OK,2019-08-23,NATH,68.31,68.31,66,66,18932,66,68.31
OK,2019-08-26,NATH,66.84,67,66.38,66.9,3711,67,66.84
OK,2019-08-27,NATH,66.62,66.89,66.11,66.89,3133,66.11,66.62
OK,2019-08-28,NATH,67.18,67.18,67.18,67.18,982
OK,2019-08-29,NATH,67.23,67.47,67.23,67.47,1763,67.29,67.23
OK,2019-08-30,NATH,67.68,67.68,66.48,66.6,18852,66.6,67.68
OK,2019-09-03,NATH,66.99,66.99,65.335,65.71,4974,65.7,66.99
OK,2019-09-04,NATH,66.02,66.61,65.78,66.4,1745,65.78,66.02
OK,2019-09-05,NATH,66.04,68.78,66,68.2,9314,68.27,66.04
OK,2019-09-06,NATH,67.275,68.6625,67.275,67.73,2566,68.6625,67.275
OK,2019-09-09,NATH,67.22,67.46,67.1,67.46,1703,67.1,67.22
OK,2019-09-10,NATH,67.51,68.7,67.3,68.7,2297,67.3,67.51
OK,2019-09-11,NATH,68.35,70.29,68.32,69.98,4164,68.7,68.35
OK,2019-09-12,NATH,70.17,71.39,68.77,69.99,3006,68.77,70.17
OK,2019-09-13,NATH,69.5,71.8793,69.5,71.86,4951,70.96,69.5
OK,2019-09-16,NATH,71.3,72.47,70.7896,71.39,6410,71.5,71.3
OK,2019-09-17,NATH,71.43,71.88,70.38,70.38,7238,70.68,71.43
OK,2019-09-18,NATH,71.9225,72.01,69.33,69.66,11820,69.85,71.9225
OK,2019-09-19,NATH,70.557,70.95,70.395,70.8,2362,70.42,70.557
OK,2019-09-20,NATH,70.39,70.75,70.0312,70.75,13715,70.73,70.39
OK,2019-09-23,NATH,70.92,71.25,70.75,71,4138,70.925,70.92
OK,2019-09-24,NATH,70.75,71,70.5,71,5898,71,70.75
OK,2019-09-25,NATH,71.51,71.5779,70.3,70.6,3715,70.32,71.51
OK,2019-09-26,NATH,71,73.0211,70.23,71.79,14959,71.79,71
OK,2019-09-27,NATH,72.62,73.3,71.05,71.25,7552,71.6,72.62
OK,2019-09-30,NATH,71.0167,72.84,71.0167,71.85,3453,71.85,71.0167
OK,2019-10-01,NATH,72.26,72.35,71.6547,71.72,3236,71.9,72.26
OK,2019-10-02,NATH,71.67,71.97,70.37,71.5,11082,71.13,71.67
OK,2019-10-03,NATH,71.36,74.5424,71.36,73.85,7796,73.62,71.36
OK,2019-10-04,NATH,73.51,74.46,71.5,74.2,7682,74.21,73.51
OK,2019-10-07,NATH,74.52,74.52,72.84,72.95,4397,72.87,74.52
OK,2019-10-08,NATH,72.9,73.46,72.15,72.15,6858,73.04,72.9
OK,2019-10-09,NATH,72.1171,72.74,72.1,72.1,1993,72.68,72.1171
OK,2019-10-10,NATH,72.26,73.35,71.7,71.7,2161,72.39,72.26
OK,2019-10-11,NATH,72.02,74.53,70.06,72.9,9787,73.97,72.02
OK,2019-10-14,NATH,72.32,73.16,71.72,72.7,2308,72.59,72.32
OK,2019-10-15,NATH,72.8,72.98,70.62,72.4,4187,70.62,72.8
OK,2019-10-16,NATH,71.93,72.2,71.7,72.07,1798,72.14,71.93
OK,2019-10-17,NATH,72.01,72.0875,71.95,71.95,2059,72.0875,72.01
OK,2019-10-18,NATH,71.52,71.52,70.406,70.72,3664,71.09,71.52
OK,2019-10-21,NATH,70.68,72.8,70.68,72.8,1495,70.72,70.68
OK,2019-10-22,NATH,72.96,73.95,71.79,72.56,1542,72.1,72.96
OK,2019-10-23,NATH,72.55,72.55,72.55,72.55,624,72.55,72.55
OK,2019-10-24,NATH,72.55,72.73,71.2471,71.99,2127,72,72.55
OK,2019-10-25,NATH,72,73.6,72,73.6,1029,72.3852,72
OK,2019-10-28,NATH,72.69,74.35,72.65,73.7,4538,74.01,72.69
OK,2019-10-29,NATH,73.5631,77.7,73.5631,75.91,8989,75.84,73.5631
OK,2019-10-30,NATH,76.52,76.52,71.71,72.7,10802,72.86,76.52
OK,2019-10-31,NATH,72.64,76.64,72.34,76.1,14287,76.3,72.64
OK,2019-11-01,NATH,77.2,77.6,73.74,75.85,10709,75.4,77.2
OK,2019-11-04,NATH,75.54,75.6,73.9223,74.2,2494,74.4994,75.54
