status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2019-06-28,RVLV,34.14,35.75,33.97,34.5,846668.0,34.5,34.5
OK,2019-07-01,RVLV,35.4,35.8574,31.67,32.79,1862411.0,32.61,35.49
OK,2019-07-02,RVLV,34.65,37.34,34.3,34.81,5371667.0,35.04,32.8
OK,2019-07-03,RVLV,34.5,35.62,33.62,34.9,1315480.0,34.98,35.35
OK,2019-07-05,RVLV,35.14,38.79,34.7605,38.6,2252496.0,38.59,34.9801
OK,2019-07-08,RVLV,38.05,41.22,37.05,37.3,2692821.0,37.22,38.6
OK,2019-07-09,RVLV,37.09,39.45,37.0,38.31,1081168.0,38.2,37.51
OK,2019-07-10,RVLV,38.73,38.94,36.15,37.05,1354936.0,37.01,38.0
OK,2019-07-11,RVLV,37.2,39.55,36.25,38.53,1447191.0,38.68,37.02
OK,2019-07-12,RVLV,38.42,39.35,37.44,37.74,697241.0,37.75,38.5
OK,2019-07-15,RVLV,37.9,40.0,37.535,37.85,1493584.0,37.9,38.19
OK,2019-07-16,RVLV,38.22,38.89,37.03,37.15,825192.0,37.35,38.8
OK,2019-07-17,RVLV,37.31,37.89,35.45,35.69,1012146.0,35.36,37.02
OK,2019-07-18,RVLV,35.46,35.6,33.4,33.94,1282495.0,33.93,34.92
OK,2019-07-19,RVLV,34.0,34.9,33.97,34.14,542071.0,34.16,34.0
OK,2019-07-22,RVLV,34.0,34.8,34.0,34.39,535088.0,34.45,34.03
OK,2019-07-23,RVLV,34.5,35.35,34.04,34.09,519062.0,34.0,34.62
OK,2019-07-24,RVLV,34.48,34.93,33.2,34.14,795382.0,33.99,34.0
OK,2019-07-25,RVLV,34.1,35.94,33.32,33.52,1119067.0,33.69,34.1
OK,2019-07-26,RVLV,33.8,34.65,32.51,34.29,893999.0,34.29,34.98
OK,2019-07-29,RVLV,34.29,35.43,34.1137,35.11,966201.0,34.7,34.29
OK,2019-07-30,RVLV,35.07,35.9,33.6,33.98,796551.0,33.98,35.07
OK,2019-07-31,RVLV,34.22,34.78,33.52,34.47,860438.0,33.8,34.3
OK,2019-08-01,RVLV,34.59,35.35,32.11,33.4,914360.0,33.4,34.59
OK,2019-08-02,RVLV,33.55,33.66,32.3679,33.57,701267.0,33.56,33.5
OK,2019-08-05,RVLV,32.97,32.99,30.65,31.56,961766.0,31.56,33.88
OK,2019-08-06,RVLV,31.88,32.42,31.48,32.32,616161.0,32.39,32.2
OK,2019-08-07,RVLV,32.12,32.14,29.78,29.99,1298749.0,30.3,32.34
OK,2019-08-08,RVLV,30.67,31.93,30.05,30.96,3330734.0,26.75,30.26
OK,2019-08-09,RVLV,25.71,27.6,25.55,26.12,3761547.0,26.08,27.0
