status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2021-07-23,SOPH,18.45,18.74,16.46,16.76,2567365.0,17.25,18.45
OK,2021-07-26,SOPH,17.5,17.69,16.76,17.0,666098.0,17.0,17.39
OK,2021-07-27,SOPH,17.0,17.24,16.61,16.8,359626.0,16.8,17.0
OK,2021-07-28,SOPH,16.75,16.87,15.66,15.94,628914.0,16.8,16.52
OK,2021-07-29,SOPH,16.0,16.0,14.88,15.18,353550.0,14.92,16.0
OK,2021-07-30,SOPH,15.18,16.575,15.12,15.65,324213.0,15.97,15.18
OK,2021-08-02,SOPH,16.0,18.04,16.0,16.28,225355.0,16.16,16.0
OK,2021-08-03,SOPH,16.64,18.09,16.35,18.0,294697.0,18.01,16.01
OK,2021-08-04,SOPH,18.0,18.37,17.31,17.63,300679.0,17.5,18.0
OK,2021-08-05,SOPH,17.94,18.1,17.2,17.8,108556.0,17.86,17.94
OK,2021-08-06,SOPH,17.98,18.16,17.34,18.16,74035.0,17.99,17.91
OK,2021-08-09,SOPH,18.0,18.0,16.78,16.82,178989.0,16.82,17.99
OK,2021-08-10,SOPH,17.39,17.45,16.8,17.11,38299.0,16.88,16.96
OK,2021-08-11,SOPH,17.83,17.83,16.84,16.88,26347.0,16.89,17.68
OK,2021-08-12,SOPH,16.78,18.15,16.78,18.14,126887.0,18.0,16.78
OK,2021-08-13,SOPH,18.34,18.72,17.66,18.0,82414.0,17.98,18.34
OK,2021-08-16,SOPH,18.29,18.72,17.97,18.09,89789.0,18.105,18.16
OK,2021-08-17,SOPH,18.1,18.5199,17.53,17.66,357679.0,17.54,18.9999
OK,2021-08-18,SOPH,17.89,18.59,17.66,18.08,154340.0,17.98,17.89
OK,2021-08-19,SOPH,17.98,18.0,16.9,17.47,134837.0,17.46,17.98
OK,2021-08-20,SOPH,17.46,18.162,16.03,18.0,279212.0,18.04,17.46
OK,2021-08-23,SOPH,18.4,18.4,17.54,18.19,36590.0,18.145,18.25
OK,2021-08-24,SOPH,18.25,18.25,17.4,17.7,51235.0,17.84,18.25
OK,2021-08-25,SOPH,17.82,18.25,17.52,18.15,40140.0,18.13,17.82
OK,2021-08-26,SOPH,18.18,19.28,17.96,19.18,86532.0,19.14,18.18
OK,2021-08-27,SOPH,19.02,19.67,18.77,19.0,101212.0,18.88,19.02
OK,2021-08-30,SOPH,19.04,19.43,18.72,19.43,38562.0,19.43,19.04
OK,2021-08-31,SOPH,19.42,19.8,19.41,19.77,56367.0,19.72,19.42
OK,2021-09-01,SOPH,19.8,19.8,19.19,19.21,55639.0,19.45,19.8
OK,2021-09-02,SOPH,19.55,19.6,19.34,19.5,62143.0,19.5,19.55
OK,2021-09-03,SOPH,19.6,19.6,19.115,19.46,35774.0,19.46,19.6
